pathway_id,profile_id,scenario_id,pathway_name,time_step,hybrid_risk,cascade_pressure,security_resilience,public_trust
ASP2,SFH2,SHS2,Cyber-Infrastructure Cascade Pathway,5,0.9217,0.8882,0.5324,0.4912
ASP2,SFH2,SHS2,Cyber-Infrastructure Cascade Pathway,6,0.9835,0.9269,0.5451,0.4995
ASP2,SFH2,SHS2,Cyber-Infrastructure Cascade Pathway,7,1.047,0.9653,0.5554,0.5059
ASP2,SFH2,SHS2,Cyber-Infrastructure Cascade Pathway,8,1.2281,1.1139,0.5564,0.5069
ASP2,SFH2,SHS2,Cyber-Infrastructure Cascade Pathway,9,1.3631,1.2115,0.553,0.5014
ASP2,SFH2,SHS2,Cyber-Infrastructure Cascade Pathway,10,1.5352,1.3399,0.5421,0.4932
ASP2,SFH2,SHS2,Cyber-Infrastructure Cascade Pathway,11,1.6716,1.4281,0.5263,0.4808
ASP2,SFH2,SHS2,Cyber-Infrastructure Cascade Pathway,12,1.7608,1.4671,0.5076,0.4658
ASP2,SFH2,SHS2,Cyber-Infrastructure Cascade Pathway,13,1.8,1.5659,0.486,0.4496
ASP2,SFH2,SHS2,Cyber-Infrastructure Cascade Pathway,14,1.8,1.6058,0.4652,0.4334
ASP2,SFH2,SHS2,Cyber-Infrastructure Cascade Pathway,15,1.8,1.6462,0.444,0.4172
ASP2,SFH2,SHS2,Cyber-Infrastructure Cascade Pathway,16,1.8,1.7975,0.4204,0.401
ASP2,SFH2,SHS2,Cyber-Infrastructure Cascade Pathway,17,1.8,1.8,0.3986,0.3848
ASP2,SFH2,SHS2,Cyber-Infrastructure Cascade Pathway,18,1.8,1.8,0.3753,0.3662
ASP2,SFH2,SHS2,Cyber-Infrastructure Cascade Pathway,19,1.8,1.8,0.3528,0.35
ASP2,SFH2,SHS2,Cyber-Infrastructure Cascade Pathway,20,1.8,1.8,0.3282,0.3338
ASP2,SFH2,SHS2,Cyber-Infrastructure Cascade Pathway,21,1.8,1.8,0.3051,0.3176
ASP2,SFH2,SHS2,Cyber-Infrastructure Cascade Pathway,22,1.8,1.8,0.2807,0.3014
ASP2,SFH2,SHS2,Cyber-Infrastructure Cascade Pathway,23,1.8,1.8,0.2569,0.2852
ASP2,SFH2,SHS2,Cyber-Infrastructure Cascade Pathway,24,1.8,1.8,0.2306,0.269
ASP2,SFH2,SHS2,Cyber-Infrastructure Cascade Pathway,25,1.8,1.8,0.2062,0.2528
ASP2,SFH2,SHS2,Cyber-Infrastructure Cascade Pathway,26,1.8,1.8,0.1802,0.2366
ASP2,SFH2,SHS2,Cyber-Infrastructure Cascade Pathway,27,1.8,1.8,0.154,0.218
ASP2,SFH2,SHS2,Cyber-Infrastructure Cascade Pathway,28,1.8,1.8,0.1285,0.2018
ASP2,SFH2,SHS2,Cyber-Infrastructure Cascade Pathway,29,1.8,1.8,0.1028,0.1856
ASP2,SFH2,SHS2,Cyber-Infrastructure Cascade Pathway,30,1.8,1.8,0.0749,0.1694
ASP2,SFH2,SHS2,Cyber-Infrastructure Cascade Pathway,31,1.8,1.8,0.0485,0.1532
ASP2,SFH2,SHS2,Cyber-Infrastructure Cascade Pathway,32,1.8,1.8,0.0195,0.137
ASP2,SFH2,SHS2,Cyber-Infrastructure Cascade Pathway,33,1.8,1.8,0.0,0.1208
ASP2,SFH2,SHS2,Cyber-Infrastructure Cascade Pathway,34,1.8,1.8,0.0,0.1046
ASP2,SFH2,SHS2,Cyber-Infrastructure Cascade Pathway,35,1.8,1.8,0.0,0.0884
ASP2,SFH2,SHS2,Cyber-Infrastructure Cascade Pathway,36,1.8,1.8,0.0,0.0699
ASP2,SFH2,SHS2,Cyber-Infrastructure Cascade Pathway,37,1.8,1.8,0.0,0.0537
ASP2,SFH2,SHS2,Cyber-Infrastructure Cascade Pathway,38,1.8,1.8,0.0,0.0375
ASP2,SFH2,SHS2,Cyber-Infrastructure Cascade Pathway,39,1.8,1.8,0.0,0.0213
ASP2,SFH2,SHS2,Cyber-Infrastructure Cascade Pathway,40,1.8,1.8,0.0,0.0051
ASP3,SFH3,SHS3,Information Disorder Crisis Pathway,1,0.6206,0.61,0.42,0.28
ASP3,SFH3,SHS3,Information Disorder Crisis Pathway,2,0.6845,0.6342,0.4388,0.2969
ASP3,SFH3,SHS3,Information Disorder Crisis Pathway,3,0.7491,0.6579,0.4554,0.3118
ASP3,SFH3,SHS3,Information Disorder Crisis Pathway,4,0.8144,0.6811,0.4697,0.3248
ASP3,SFH3,SHS3,Information Disorder Crisis Pathway,5,0.8805,0.704,0.4815,0.3357
ASP3,SFH3,SHS3,Information Disorder Crisis Pathway,6,0.9473,0.7265,0.491,0.3447
ASP3,SFH3,SHS3,Information Disorder Crisis Pathway,7,1.015,0.7488,0.4978,0.3517
ASP3,SFH3,SHS3,Information Disorder Crisis Pathway,8,1.1668,0.85,0.4972,0.3541
ASP3,SFH3,SHS3,Information Disorder Crisis Pathway,9,1.3273,0.9548,0.4902,0.3483
ASP3,SFH3,SHS3,Information Disorder Crisis Pathway,10,1.4693,1.037,0.4778,0.3417
ASP3,SFH3,SHS3,Information Disorder Crisis Pathway,11,1.5929,1.0977,0.4607,0.3313
ASP3,SFH3,SHS3,Information Disorder Crisis Pathway,12,1.6796,1.1204,0.4407,0.3183
ASP3,SFH3,SHS3,Information Disorder Crisis Pathway,13,1.8,1.194,0.4147,0.3017
ASP3,SFH3,SHS3,Information Disorder Crisis Pathway,14,1.8,1.2176,0.3893,0.2851
ASP3,SFH3,SHS3,Information Disorder Crisis Pathway,15,1.8,1.2416,0.3636,0.2685
ASP3,SFH3,SHS3,Information Disorder Crisis Pathway,16,1.8,1.3454,0.336,0.2519
ASP3,SFH3,SHS3,Information Disorder Crisis Pathway,17,1.8,1.3704,0.3097,0.2353
ASP3,SFH3,SHS3,Information Disorder Crisis Pathway,18,1.8,1.4788,0.2813,0.2154
ASP3,SFH3,SHS3,Information Disorder Crisis Pathway,19,1.8,1.5049,0.2542,0.1988
ASP3,SFH3,SHS3,Information Disorder Crisis Pathway,20,1.8,1.5915,0.2256,0.1822
ASP3,SFH3,SHS3,Information Disorder Crisis Pathway,21,1.8,1.6187,0.1978,0.1656
ASP3,SFH3,SHS3,Information Disorder Crisis Pathway,22,1.8,1.6847,0.169,0.149
ASP3,SFH3,SHS3,Information Disorder Crisis Pathway,23,1.8,1.7128,0.1406,0.1324
ASP3,SFH3,SHS3,Information Disorder Crisis Pathway,24,1.8,1.8,0.1102,0.1158
ASP3,SFH3,SHS3,Information Disorder Crisis Pathway,25,1.8,1.8,0.0811,0.0992
ASP3,SFH3,SHS3,Information Disorder Crisis Pathway,26,1.8,1.8,0.0507,0.0826
ASP3,SFH3,SHS3,Information Disorder Crisis Pathway,27,1.8,1.8,0.0193,0.0627
ASP3,SFH3,SHS3,Information Disorder Crisis Pathway,28,1.8,1.8,0.0,0.0461
ASP3,SFH3,SHS3,Information Disorder Crisis Pathway,29,1.8,1.8,0.0,0.0295
ASP3,SFH3,SHS3,Information Disorder Crisis Pathway,30,1.8,1.8,0.0,0.0129
ASP3,SFH3,SHS3,Information Disorder Crisis Pathway,31,1.8,1.8,0.0,0.0
ASP3,SFH3,SHS3,Information Disorder Crisis Pathway,32,1.8,1.8,0.0,0.0
ASP3,SFH3,SHS3,Information Disorder Crisis Pathway,33,1.8,1.8,0.0,0.0
ASP3,SFH3,SHS3,Information Disorder Crisis Pathway,34,1.8,1.8,0.0,0.0
ASP3,SFH3,SHS3,Information Disorder Crisis Pathway,35,1.8,1.8,0.0,0.0
ASP3,SFH3,SHS3,Information Disorder Crisis Pathway,36,1.8,1.8,0.0,0.0
ASP3,SFH3,SHS3,Information Disorder Crisis Pathway,37,1.8,1.8,0.0,0.0
ASP3,SFH3,SHS3,Information Disorder Crisis Pathway,38,1.8,1.8,0.0,0.0
ASP3,SFH3,SHS3,Information Disorder Crisis Pathway,39,1.8,1.8,0.0,0.0
ASP3,SFH3,SHS3,Information Disorder Crisis Pathway,40,1.8,1.8,0.0,0.0
ASP4,SFH4,SHS4,Climate-Security Compound Shock Pathway,1,0.6574,0.6844,0.5,0.42
ASP4,SFH4,SHS4,Climate-Security Compound Shock Pathway,2,0.7138,0.7044,0.5272,0.4416
ASP4,SFH4,SHS4,Climate-Security Compound Shock Pathway,3,0.7706,0.7238,0.5527,0.4615
ASP4,SFH4,SHS4,Climate-Security Compound Shock Pathway,4,0.8276,0.7425,0.5762,0.4796
ASP4,SFH4,SHS4,Climate-Security Compound Shock Pathway,5,0.8851,0.7607,0.5978,0.4961
ASP4,SFH4,SHS4,Climate-Security Compound Shock Pathway,6,0.9429,0.7784,0.6174,0.5108
ASP4,SFH4,SHS4,Climate-Security Compound Shock Pathway,7,1.0012,0.7957,0.6349,0.5238
ASP4,SFH4,SHS4,Climate-Security Compound Shock Pathway,8,1.133,0.8822,0.6461,0.5328
ASP4,SFH4,SHS4,Climate-Security Compound Shock Pathway,9,1.2562,0.9564,0.6528,0.5358
ASP4,SFH4,SHS4,Climate-Security Compound Shock Pathway,10,1.4024,1.0489,0.6533,0.5367
ASP4,SFH4,SHS4,Climate-Security Compound Shock Pathway,11,1.5338,1.123,0.6489,0.5337
ASP4,SFH4,SHS4,Climate-Security Compound Shock Pathway,12,1.6086,1.1396,0.6426,0.5284
ASP4,SFH4,SHS4,Climate-Security Compound Shock Pathway,13,1.793,1.2598,0.6268,0.5176
ASP4,SFH4,SHS4,Climate-Security Compound Shock Pathway,14,1.8,1.2768,0.6126,0.5066
ASP4,SFH4,SHS4,Climate-Security Compound Shock Pathway,15,1.8,1.2942,0.5981,0.4956
ASP4,SFH4,SHS4,Climate-Security Compound Shock Pathway,16,1.8,1.3816,0.582,0.4846
ASP4,SFH4,SHS4,Climate-Security Compound Shock Pathway,17,1.8,1.3996,0.5671,0.4736
ASP4,SFH4,SHS4,Climate-Security Compound Shock Pathway,18,1.8,1.4756,0.5508,0.4603
ASP4,SFH4,SHS4,Climate-Security Compound Shock Pathway,19,1.8,1.4944,0.5354,0.4493
ASP4,SFH4,SHS4,Climate-Security Compound Shock Pathway,20,1.8,1.5895,0.5183,0.4383
ASP4,SFH4,SHS4,Climate-Security Compound Shock Pathway,21,1.8,1.609,0.5025,0.4273
ASP4,SFH4,SHS4,Climate-Security Compound Shock Pathway,22,1.8,1.6864,0.4853,0.4163
ASP4,SFH4,SHS4,Climate-Security Compound Shock Pathway,23,1.8,1.7065,0.469,0.4053
ASP4,SFH4,SHS4,Climate-Security Compound Shock Pathway,24,1.8,1.7965,0.4511,0.3943
ASP4,SFH4,SHS4,Climate-Security Compound Shock Pathway,25,1.8,1.8,0.4344,0.3833
ASP4,SFH4,SHS4,Climate-Security Compound Shock Pathway,26,1.8,1.8,0.4154,0.3723
ASP4,SFH4,SHS4,Climate-Security Compound Shock Pathway,27,1.8,1.8,0.3971,0.359
ASP4,SFH4,SHS4,Climate-Security Compound Shock Pathway,28,1.8,1.8,0.3797,0.348
ASP4,SFH4,SHS4,Climate-Security Compound Shock Pathway,29,1.8,1.8,0.362,0.337
ASP4,SFH4,SHS4,Climate-Security Compound Shock Pathway,30,1.8,1.8,0.3426,0.326
ASP4,SFH4,SHS4,Climate-Security Compound Shock Pathway,31,1.8,1.8,0.3246,0.315
ASP4,SFH4,SHS4,Climate-Security Compound Shock Pathway,32,1.8,1.8,0.3049,0.304
ASP4,SFH4,SHS4,Climate-Security Compound Shock Pathway,33,1.8,1.8,0.2852,0.293
ASP4,SFH4,SHS4,Climate-Security Compound Shock Pathway,34,1.8,1.8,0.2665,0.282
ASP4,SFH4,SHS4,Climate-Security Compound Shock Pathway,35,1.8,1.8,0.2475,0.271
ASP4,SFH4,SHS4,Climate-Security Compound Shock Pathway,36,1.8,1.8,0.2272,0.2577
ASP4,SFH4,SHS4,Climate-Security Compound Shock Pathway,37,1.8,1.8,0.2077,0.2467
ASP4,SFH4,SHS4,Climate-Security Compound Shock Pathway,38,1.8,1.8,0.1881,0.2357
ASP4,SFH4,SHS4,Climate-Security Compound Shock Pathway,39,1.8,1.8,0.1661,0.2247
ASP4,SFH4,SHS4,Climate-Security Compound Shock Pathway,40,1.8,1.8,0.1431,0.2137
ASP5,SFH5,SHS5,Autonomous Escalation Risk Pathway,1,0.639,0.6508,0.44,0.4
ASP5,SFH5,SHS5,Autonomous Escalation Risk Pathway,2,0.6904,0.6804,0.4618,0.4165
ASP5,SFH5,SHS5,Autonomous Escalation Risk Pathway,3,0.7428,0.7095,0.4818,0.4314
ASP5,SFH5,SHS5,Autonomous Escalation Risk Pathway,4,0.7962,0.7382,0.5,0.4447
ASP5,SFH5,SHS5,Autonomous Escalation Risk Pathway,5,0.8505,0.7664,0.5163,0.4564
ASP5,SFH5,SHS5,Autonomous Escalation Risk Pathway,6,0.906,0.7943,0.5305,0.4664
ASP5,SFH5,SHS5,Autonomous Escalation Risk Pathway,7,0.9625,0.8219,0.5428,0.4747
ASP5,SFH5,SHS5,Autonomous Escalation Risk Pathway,8,1.1184,0.9429,0.5471,0.4784
ASP5,SFH5,SHS5,Autonomous Escalation Risk Pathway,9,1.2481,1.0331,0.5468,0.4756
ASP5,SFH5,SHS5,Autonomous Escalation Risk Pathway,10,1.3918,1.1325,0.5406,0.4711
ASP5,SFH5,SHS5,Autonomous Escalation Risk Pathway,11,1.5138,1.2063,0.53,0.4629
ASP5,SFH5,SHS5,Autonomous Escalation Risk Pathway,12,1.591,1.2341,0.517,0.4523
ASP5,SFH5,SHS5,Autonomous Escalation Risk Pathway,13,1.7277,1.3171,0.4972,0.4377
ASP5,SFH5,SHS5,Autonomous Escalation Risk Pathway,14,1.8,1.3456,0.4754,0.4209
ASP5,SFH5,SHS5,Autonomous Escalation Risk Pathway,15,1.8,1.3745,0.4532,0.4041
ASP5,SFH5,SHS5,Autonomous Escalation Risk Pathway,16,1.8,1.4976,0.4288,0.3873
ASP5,SFH5,SHS5,Autonomous Escalation Risk Pathway,17,1.8,1.5276,0.406,0.3705
ASP5,SFH5,SHS5,Autonomous Escalation Risk Pathway,18,1.8,1.6211,0.3815,0.3512
ASP5,SFH5,SHS5,Autonomous Escalation Risk Pathway,19,1.8,1.6521,0.3579,0.3344
ASP5,SFH5,SHS5,Autonomous Escalation Risk Pathway,20,1.8,1.7557,0.3326,0.3176
ASP5,SFH5,SHS5,Autonomous Escalation Risk Pathway,21,1.8,1.7878,0.3083,0.3008
ASP5,SFH5,SHS5,Autonomous Escalation Risk Pathway,22,1.8,1.8,0.2828,0.284
ASP5,SFH5,SHS5,Autonomous Escalation Risk Pathway,23,1.8,1.8,0.2579,0.2672
ASP5,SFH5,SHS5,Autonomous Escalation Risk Pathway,24,1.8,1.8,0.2308,0.2504
ASP5,SFH5,SHS5,Autonomous Escalation Risk Pathway,25,1.8,1.8,0.2052,0.2336
ASP5,SFH5,SHS5,Autonomous Escalation Risk Pathway,26,1.8,1.8,0.1782,0.2168
ASP5,SFH5,SHS5,Autonomous Escalation Risk Pathway,27,1.8,1.8,0.1506,0.1975
ASP5,SFH5,SHS5,Autonomous Escalation Risk Pathway,28,1.8,1.8,0.124,0.1807
ASP5,SFH5,SHS5,Autonomous Escalation Risk Pathway,29,1.8,1.8,0.097,0.1639
ASP5,SFH5,SHS5,Autonomous Escalation Risk Pathway,30,1.8,1.8,0.0682,0.1471
ASP5,SFH5,SHS5,Autonomous Escalation Risk Pathway,31,1.8,1.8,0.0406,0.1303
ASP5,SFH5,SHS5,Autonomous Escalation Risk Pathway,32,1.8,1.8,0.0107,0.1135
ASP5,SFH5,SHS5,Autonomous Escalation Risk Pathway,33,1.8,1.8,0.0,0.0967
ASP5,SFH5,SHS5,Autonomous Escalation Risk Pathway,34,1.8,1.8,0.0,0.0799
ASP5,SFH5,SHS5,Autonomous Escalation Risk Pathway,35,1.8,1.8,0.0,0.0631
ASP5,SFH5,SHS5,Autonomous Escalation Risk Pathway,36,1.8,1.8,0.0,0.0437
ASP5,SFH5,SHS5,Autonomous Escalation Risk Pathway,37,1.8,1.8,0.0,0.0269
ASP5,SFH5,SHS5,Autonomous Escalation Risk Pathway,38,1.8,1.8,0.0,0.0101
ASP5,SFH5,SHS5,Autonomous Escalation Risk Pathway,39,1.8,1.8,0.0,0.0
ASP5,SFH5,SHS5,Autonomous Escalation Risk Pathway,40,1.8,1.8,0.0,0.0
ASP6,SFH6,SHS6,Resource Coercion Pathway,1,0.6198,0.6588,0.54,0.48
ASP6,SFH6,SHS6,Resource Coercion Pathway,2,0.6573,0.6774,0.5729,0.5045
ASP6,SFH6,SHS6,Resource Coercion Pathway,3,0.6949,0.6953,0.6048,0.5278
ASP6,SFH6,SHS6,Resource Coercion Pathway,4,0.7327,0.7124,0.6357,0.5501
ASP6,SFH6,SHS6,Resource Coercion Pathway,5,0.7706,0.7289,0.6654,0.5711
ASP6,SFH6,SHS6,Resource Coercion Pathway,6,0.8087,0.7448,0.6941,0.5911
ASP6,SFH6,SHS6,Resource Coercion Pathway,7,0.847,0.7601,0.7216,0.6099
ASP6,SFH6,SHS6,Resource Coercion Pathway,8,0.951,0.8372,0.7442,0.6255
ASP6,SFH6,SHS6,Resource Coercion Pathway,9,1.0476,0.9036,0.7633,0.6362
ASP6,SFH6,SHS6,Resource Coercion Pathway,10,1.1743,0.9955,0.7771,0.6452
ASP6,SFH6,SHS6,Resource Coercion Pathway,11,1.299,1.0812,0.7862,0.6504
ASP6,SFH6,SHS6,Resource Coercion Pathway,12,1.3522,1.0946,0.7947,0.6541
ASP6,SFH6,SHS6,Resource Coercion Pathway,13,1.4845,1.1828,0.7965,0.6537
ASP6,SFH6,SHS6,Resource Coercion Pathway,14,1.5427,1.1962,0.7975,0.6516
ASP6,SFH6,SHS6,Resource Coercion Pathway,15,1.6016,1.2097,0.7961,0.6478
ASP6,SFH6,SHS6,Resource Coercion Pathway,16,1.7269,1.2856,0.7883,0.6402
ASP6,SFH6,SHS6,Resource Coercion Pathway,17,1.7907,1.2994,0.7791,0.6307
ASP6,SFH6,SHS6,Resource Coercion Pathway,18,1.8,1.3657,0.7683,0.6188
ASP6,SFH6,SHS6,Resource Coercion Pathway,19,1.8,1.3801,0.7582,0.609
ASP6,SFH6,SHS6,Resource Coercion Pathway,20,1.8,1.4729,0.7464,0.5992
ASP6,SFH6,SHS6,Resource Coercion Pathway,21,1.8,1.4879,0.736,0.5894
ASP6,SFH6,SHS6,Resource Coercion Pathway,22,1.8,1.5752,0.724,0.5796
ASP6,SFH6,SHS6,Resource Coercion Pathway,23,1.8,1.5908,0.7132,0.5698
ASP6,SFH6,SHS6,Resource Coercion Pathway,24,1.8,1.6691,0.7009,0.56
ASP6,SFH6,SHS6,Resource Coercion Pathway,25,1.8,1.6853,0.6897,0.5502
ASP6,SFH6,SHS6,Resource Coercion Pathway,26,1.8,1.7766,0.6768,0.5404
ASP6,SFH6,SHS6,Resource Coercion Pathway,27,1.8,1.8,0.6642,0.5285
ASP6,SFH6,SHS6,Resource Coercion Pathway,28,1.8,1.8,0.6524,0.5187
ASP6,SFH6,SHS6,Resource Coercion Pathway,29,1.8,1.8,0.6403,0.5089
ASP6,SFH6,SHS6,Resource Coercion Pathway,30,1.8,1.8,0.6265,0.4991
ASP6,SFH6,SHS6,Resource Coercion Pathway,31,1.8,1.8,0.6141,0.4893
ASP6,SFH6,SHS6,Resource Coercion Pathway,32,1.8,1.8,0.6003,0.4795
ASP6,SFH6,SHS6,Resource Coercion Pathway,33,1.8,1.8,0.586,0.4697
ASP6,SFH6,SHS6,Resource Coercion Pathway,34,1.8,1.8,0.573,0.4599
ASP6,SFH6,SHS6,Resource Coercion Pathway,35,1.8,1.8,0.5598,0.4501
ASP6,SFH6,SHS6,Resource Coercion Pathway,36,1.8,1.8,0.5454,0.4382
ASP6,SFH6,SHS6,Resource Coercion Pathway,37,1.8,1.8,0.5317,0.4284
ASP6,SFH6,SHS6,Resource Coercion Pathway,38,1.8,1.8,0.5179,0.4186
ASP6,SFH6,SHS6,Resource Coercion Pathway,39,1.8,1.8,0.5024,0.4088
ASP6,SFH6,SHS6,Resource Coercion Pathway,40,1.8,1.8,0.4853,0.399
ASP7,SFH7,SHS7,Human Security Resilience Pathway,1,0.3526,0.4068,0.86,0.84
ASP7,SFH7,SHS7,Human Security Resilience Pathway,2,0.2827,0.3344,0.9501,0.9085
ASP7,SFH7,SHS7,Human Security Resilience Pathway,3,0.2071,0.2599,1.0446,0.9793
ASP7,SFH7,SHS7,Human Security Resilience Pathway,4,0.1255,0.1834,1.1437,1.0525
ASP7,SFH7,SHS7,Human Security Resilience Pathway,5,0.0377,0.1046,1.2479,1.1284
ASP7,SFH7,SHS7,Human Security Resilience Pathway,6,0.0,0.0235,1.3551,1.2054
ASP7,SFH7,SHS7,Human Security Resilience Pathway,7,0.0,0.0,1.4638,1.2824
ASP7,SFH7,SHS7,Human Security Resilience Pathway,8,0.0,0.0,1.573,1.3594
ASP7,SFH7,SHS7,Human Security Resilience Pathway,9,0.0,0.0,1.6841,1.435
ASP7,SFH7,SHS7,Human Security Resilience Pathway,10,0.0,0.0,1.7963,1.512
ASP7,SFH7,SHS7,Human Security Resilience Pathway,11,0.0,0.0,1.8,1.589
ASP7,SFH7,SHS7,Human Security Resilience Pathway,12,0.0,0.0,1.8,1.666
ASP7,SFH7,SHS7,Human Security Resilience Pathway,13,0.0,0.0,1.8,1.743
ASP7,SFH7,SHS7,Human Security Resilience Pathway,14,0.0,0.0,1.8,1.8
ASP7,SFH7,SHS7,Human Security Resilience Pathway,15,0.0,0.0,1.8,1.8
ASP7,SFH7,SHS7,Human Security Resilience Pathway,16,0.0,0.0,1.8,1.8
ASP7,SFH7,SHS7,Human Security Resilience Pathway,17,0.0,0.0,1.8,1.8
ASP7,SFH7,SHS7,Human Security Resilience Pathway,18,0.0,0.0,1.8,1.8
ASP7,SFH7,SHS7,Human Security Resilience Pathway,19,0.0,0.0,1.8,1.8
ASP7,SFH7,SHS7,Human Security Resilience Pathway,20,0.0,0.0,1.8,1.8
ASP7,SFH7,SHS7,Human Security Resilience Pathway,21,0.0,0.0,1.8,1.8
ASP7,SFH7,SHS7,Human Security Resilience Pathway,22,0.0,0.0,1.8,1.8
ASP7,SFH7,SHS7,Human Security Resilience Pathway,23,0.0,0.0,1.8,1.8
ASP7,SFH7,SHS7,Human Security Resilience Pathway,24,0.0,0.0,1.8,1.8
ASP7,SFH7,SHS7,Human Security Resilience Pathway,25,0.0,0.0,1.8,1.8
ASP7,SFH7,SHS7,Human Security Resilience Pathway,26,0.0,0.0,1.8,1.8
ASP7,SFH7,SHS7,Human Security Resilience Pathway,27,0.0,0.0,1.8,1.8
ASP7,SFH7,SHS7,Human Security Resilience Pathway,28,0.0,0.0,1.8,1.8
ASP7,SFH7,SHS7,Human Security Resilience Pathway,29,0.0,0.0,1.8,1.8
ASP7,SFH7,SHS7,Human Security Resilience Pathway,30,0.0,0.0,1.8,1.8
ASP7,SFH7,SHS7,Human Security Resilience Pathway,31,0.0,0.0,1.8,1.8
ASP7,SFH7,SHS7,Human Security Resilience Pathway,32,0.0,0.0,1.8,1.8
ASP7,SFH7,SHS7,Human Security Resilience Pathway,33,0.0,0.0,1.8,1.8
