pathway_id,scenario_id,pathway_name,time_step,present_benefit,future_benefit,present_risk,future_risk,legitimacy,justice_adjusted_score
IEP3,EFS3,Corporate Future Capture Pathway,6,0.8716,0.5661,0.4244,0.694,0.3514,0.0391
IEP3,EFS3,Corporate Future Capture Pathway,7,0.8803,0.5794,0.4253,0.6928,0.3501,0.0433
IEP3,EFS3,Corporate Future Capture Pathway,8,0.889,0.5926,0.4262,0.6916,0.3488,0.0474
IEP3,EFS3,Corporate Future Capture Pathway,9,0.8978,0.6058,0.4271,0.6904,0.3474,0.0516
IEP3,EFS3,Corporate Future Capture Pathway,10,0.9065,0.6191,0.428,0.6892,0.3461,0.0557
IEP3,EFS3,Corporate Future Capture Pathway,11,0.9152,0.6323,0.4288,0.688,0.3448,0.0599
IEP3,EFS3,Corporate Future Capture Pathway,12,0.9319,0.6455,0.4297,0.6868,0.3434,0.0661
IEP3,EFS3,Corporate Future Capture Pathway,13,0.9406,0.6587,0.4306,0.6857,0.3421,0.0702
IEP3,EFS3,Corporate Future Capture Pathway,14,0.9494,0.672,0.4315,0.6845,0.3407,0.0744
IEP3,EFS3,Corporate Future Capture Pathway,15,0.9581,0.6852,0.4324,0.6833,0.3393,0.0785
IEP3,EFS3,Corporate Future Capture Pathway,16,0.9668,0.6984,0.4332,0.6821,0.338,0.0827
IEP3,EFS3,Corporate Future Capture Pathway,17,0.9755,0.7117,0.4341,0.6809,0.3366,0.0868
IEP3,EFS3,Corporate Future Capture Pathway,18,0.9922,0.7248,0.435,0.6798,0.3352,0.093
IEP3,EFS3,Corporate Future Capture Pathway,19,1.001,0.7381,0.4359,0.6786,0.3338,0.0971
IEP3,EFS3,Corporate Future Capture Pathway,20,1.0097,0.7513,0.4368,0.6774,0.3325,0.1013
IEP3,EFS3,Corporate Future Capture Pathway,21,1.0184,0.7645,0.4377,0.6762,0.3311,0.1054
IEP3,EFS3,Corporate Future Capture Pathway,22,1.0271,0.7778,0.4386,0.675,0.3297,0.1096
IEP3,EFS3,Corporate Future Capture Pathway,23,1.0358,0.791,0.4394,0.6738,0.3283,0.1138
IEP3,EFS3,Corporate Future Capture Pathway,24,1.0526,0.8042,0.4403,0.6726,0.3269,0.1199
IEP3,EFS3,Corporate Future Capture Pathway,25,1.0613,0.8174,0.4412,0.6714,0.3255,0.1241
IEP3,EFS3,Corporate Future Capture Pathway,26,1.07,0.8307,0.4421,0.6702,0.3241,0.1282
IEP3,EFS3,Corporate Future Capture Pathway,27,1.0787,0.8439,0.443,0.6691,0.3227,0.1323
IEP3,EFS3,Corporate Future Capture Pathway,28,1.0874,0.8571,0.4439,0.6679,0.3212,0.1365
IEP3,EFS3,Corporate Future Capture Pathway,29,1.0962,0.8704,0.4447,0.6667,0.3198,0.1406
IEP3,EFS3,Corporate Future Capture Pathway,30,1.1129,0.8835,0.4456,0.6655,0.3184,0.1468
IEP3,EFS3,Corporate Future Capture Pathway,31,1.1216,0.8968,0.4465,0.6643,0.3169,0.1509
IEP3,EFS3,Corporate Future Capture Pathway,32,1.1303,0.91,0.4474,0.6631,0.3155,0.1551
IEP3,EFS3,Corporate Future Capture Pathway,33,1.139,0.9233,0.4483,0.6619,0.3141,0.1592
IEP3,EFS3,Corporate Future Capture Pathway,34,1.1478,0.9365,0.4491,0.6607,0.3126,0.1634
IEP3,EFS3,Corporate Future Capture Pathway,35,1.1565,0.9497,0.45,0.6595,0.3112,0.1675
IEP3,EFS3,Corporate Future Capture Pathway,36,1.1732,0.9629,0.4509,0.6583,0.3097,0.1737
IEP3,EFS3,Corporate Future Capture Pathway,37,1.1819,0.9761,0.4518,0.6571,0.3083,0.1778
IEP3,EFS3,Corporate Future Capture Pathway,38,1.1906,0.9894,0.4527,0.6559,0.3068,0.182
IEP3,EFS3,Corporate Future Capture Pathway,39,1.1994,1.0026,0.4536,0.6548,0.3053,0.1861
IEP3,EFS3,Corporate Future Capture Pathway,40,1.2081,1.0158,0.4545,0.6536,0.3039,0.1902
IEP4,EFS4,Climate Justice Foresight Pathway,1,0.58,0.88,0.34,0.26,0.8068,0.2869
IEP4,EFS4,Climate Justice Foresight Pathway,2,0.5839,0.9039,0.3329,0.2436,0.8197,0.2996
IEP4,EFS4,Climate Justice Foresight Pathway,3,0.5878,0.9278,0.3259,0.2272,0.8327,0.3123
IEP4,EFS4,Climate Justice Foresight Pathway,4,0.5916,0.9516,0.3188,0.2108,0.8457,0.325
IEP4,EFS4,Climate Justice Foresight Pathway,5,0.5955,0.9755,0.3118,0.1944,0.8588,0.3376
IEP4,EFS4,Climate Justice Foresight Pathway,6,0.6074,0.9993,0.3047,0.178,0.8718,0.3523
IEP4,EFS4,Climate Justice Foresight Pathway,7,0.6113,1.0232,0.2976,0.1616,0.8849,0.365
IEP4,EFS4,Climate Justice Foresight Pathway,8,0.6152,1.0471,0.2906,0.1452,0.8981,0.3777
IEP4,EFS4,Climate Justice Foresight Pathway,9,0.619,1.0709,0.2836,0.1288,0.9113,0.3904
IEP4,EFS4,Climate Justice Foresight Pathway,10,0.6229,1.0948,0.2765,0.1124,0.9245,0.4031
IEP4,EFS4,Climate Justice Foresight Pathway,11,0.6268,1.1187,0.2694,0.096,0.9377,0.4159
IEP4,EFS4,Climate Justice Foresight Pathway,12,0.6387,1.1425,0.2624,0.0796,0.951,0.4306
IEP4,EFS4,Climate Justice Foresight Pathway,13,0.6426,1.1664,0.2553,0.0633,0.9644,0.4433
IEP4,EFS4,Climate Justice Foresight Pathway,14,0.6464,1.1903,0.2483,0.0469,0.9777,0.456
IEP4,EFS4,Climate Justice Foresight Pathway,15,0.6503,1.2142,0.2412,0.0305,0.9911,0.4687
IEP4,EFS4,Climate Justice Foresight Pathway,16,0.6542,1.238,0.2341,0.0141,1.0045,0.4815
IEP4,EFS4,Climate Justice Foresight Pathway,17,0.6581,1.2619,0.2271,0.0,1.018,0.4938
IEP4,EFS4,Climate Justice Foresight Pathway,18,0.67,1.2857,0.2201,0.0,1.0315,0.5052
IEP4,EFS4,Climate Justice Foresight Pathway,19,0.6738,1.3096,0.213,0.0,1.045,0.5147
IEP4,EFS4,Climate Justice Foresight Pathway,20,0.6777,1.3335,0.2059,0.0,1.0586,0.5241
IEP4,EFS4,Climate Justice Foresight Pathway,21,0.6816,1.3573,0.1989,0.0,1.0722,0.5336
IEP4,EFS4,Climate Justice Foresight Pathway,22,0.6855,1.3812,0.1918,0.0,1.0859,0.5431
IEP4,EFS4,Climate Justice Foresight Pathway,23,0.6894,1.4051,0.1848,0.0,1.0995,0.5526
IEP4,EFS4,Climate Justice Foresight Pathway,24,0.7012,1.4289,0.1777,0.0,1.1132,0.564
IEP4,EFS4,Climate Justice Foresight Pathway,25,0.7051,1.4528,0.1706,0.0,1.127,0.5735
IEP4,EFS4,Climate Justice Foresight Pathway,26,0.709,1.4767,0.1636,0.0,1.1408,0.583
IEP4,EFS4,Climate Justice Foresight Pathway,27,0.7129,1.5005,0.1565,0.0,1.1546,0.5925
IEP4,EFS4,Climate Justice Foresight Pathway,28,0.7168,1.5244,0.1495,0.0,1.1684,0.602
IEP4,EFS4,Climate Justice Foresight Pathway,29,0.7206,1.5483,0.1424,0.0,1.1823,0.6115
IEP4,EFS4,Climate Justice Foresight Pathway,30,0.7325,1.5721,0.1354,0.0,1.1962,0.623
IEP4,EFS4,Climate Justice Foresight Pathway,31,0.7364,1.596,0.1283,0.0,1.2102,0.6325
IEP4,EFS4,Climate Justice Foresight Pathway,32,0.7403,1.6199,0.1212,0.0,1.2242,0.642
IEP4,EFS4,Climate Justice Foresight Pathway,33,0.7442,1.6437,0.1142,0.0,1.2382,0.6515
IEP4,EFS4,Climate Justice Foresight Pathway,34,0.748,1.6676,0.1071,0.0,1.2523,0.661
IEP4,EFS4,Climate Justice Foresight Pathway,35,0.7519,1.6915,0.1001,0.0,1.2664,0.6706
IEP4,EFS4,Climate Justice Foresight Pathway,36,0.7638,1.7153,0.093,0.0,1.2805,0.6821
IEP4,EFS4,Climate Justice Foresight Pathway,37,0.7677,1.7392,0.086,0.0,1.2947,0.6916
IEP4,EFS4,Climate Justice Foresight Pathway,38,0.7716,1.763,0.0789,0.0,1.3089,0.7011
IEP4,EFS4,Climate Justice Foresight Pathway,39,0.7754,1.7869,0.0719,0.0,1.3231,0.7107
IEP4,EFS4,Climate Justice Foresight Pathway,40,0.7793,1.8,0.0648,0.0,1.3374,0.7176
IEP5,EFS5,Security Foresight Drift Pathway,1,0.7,0.52,0.52,0.68,0.4524,-0.0034
IEP5,EFS5,Security Foresight Drift Pathway,2,0.7075,0.535,0.5189,0.675,0.4526,0.0023
IEP5,EFS5,Security Foresight Drift Pathway,3,0.715,0.5501,0.5179,0.6701,0.4527,0.0079
IEP5,EFS5,Security Foresight Drift Pathway,4,0.7224,0.5651,0.5168,0.6651,0.4529,0.0136
IEP5,EFS5,Security Foresight Drift Pathway,5,0.7299,0.5802,0.5158,0.6602,0.4531,0.0192
IEP5,EFS5,Security Foresight Drift Pathway,6,0.7454,0.5951,0.5147,0.6552,0.4533,0.0269
IEP5,EFS5,Security Foresight Drift Pathway,7,0.7529,0.6102,0.5136,0.6502,0.4535,0.0325
IEP5,EFS5,Security Foresight Drift Pathway,8,0.7604,0.6252,0.5126,0.6453,0.4537,0.0382
IEP5,EFS5,Security Foresight Drift Pathway,9,0.7678,0.6402,0.5116,0.6404,0.4539,0.0438
IEP5,EFS5,Security Foresight Drift Pathway,10,0.7753,0.6553,0.5105,0.6354,0.4541,0.0495
IEP5,EFS5,Security Foresight Drift Pathway,11,0.7828,0.6703,0.5094,0.6304,0.4543,0.0551
IEP5,EFS5,Security Foresight Drift Pathway,12,0.7983,0.6853,0.5084,0.6255,0.4545,0.0627
IEP5,EFS5,Security Foresight Drift Pathway,13,0.8058,0.7003,0.5073,0.6206,0.4547,0.0684
IEP5,EFS5,Security Foresight Drift Pathway,14,0.8132,0.7154,0.5063,0.6156,0.455,0.074
IEP5,EFS5,Security Foresight Drift Pathway,15,0.8207,0.7304,0.5052,0.6107,0.4552,0.0797
IEP5,EFS5,Security Foresight Drift Pathway,16,0.8282,0.7454,0.5041,0.6057,0.4554,0.0853
IEP5,EFS5,Security Foresight Drift Pathway,17,0.8357,0.7605,0.5031,0.6008,0.4557,0.091
IEP5,EFS5,Security Foresight Drift Pathway,18,0.8512,0.7754,0.5021,0.5958,0.4559,0.0986
IEP5,EFS5,Security Foresight Drift Pathway,19,0.8586,0.7905,0.501,0.5909,0.4562,0.1043
IEP5,EFS5,Security Foresight Drift Pathway,20,0.8661,0.8055,0.4999,0.5859,0.4564,0.1099
IEP5,EFS5,Security Foresight Drift Pathway,21,0.8736,0.8205,0.4989,0.581,0.4567,0.1156
IEP5,EFS5,Security Foresight Drift Pathway,22,0.8811,0.8356,0.4978,0.576,0.457,0.1213
IEP5,EFS5,Security Foresight Drift Pathway,23,0.8886,0.8506,0.4968,0.571,0.4573,0.1269
IEP5,EFS5,Security Foresight Drift Pathway,24,0.904,0.8656,0.4957,0.5661,0.4575,0.1346
IEP5,EFS5,Security Foresight Drift Pathway,25,0.9115,0.8806,0.4946,0.5611,0.4578,0.1402
IEP5,EFS5,Security Foresight Drift Pathway,26,0.919,0.8957,0.4936,0.5562,0.4581,0.1459
IEP5,EFS5,Security Foresight Drift Pathway,27,0.9265,0.9107,0.4925,0.5513,0.4584,0.1515
IEP5,EFS5,Security Foresight Drift Pathway,28,0.934,0.9257,0.4915,0.5463,0.4587,0.1572
IEP5,EFS5,Security Foresight Drift Pathway,29,0.9414,0.9408,0.4904,0.5414,0.459,0.1628
IEP5,EFS5,Security Foresight Drift Pathway,30,0.9569,0.9557,0.4894,0.5364,0.4593,0.1705
IEP5,EFS5,Security Foresight Drift Pathway,31,0.9644,0.9708,0.4883,0.5315,0.4597,0.1761
IEP5,EFS5,Security Foresight Drift Pathway,32,0.9719,0.9858,0.4872,0.5265,0.46,0.1818
IEP5,EFS5,Security Foresight Drift Pathway,33,0.9794,1.0009,0.4862,0.5215,0.4603,0.1875
IEP5,EFS5,Security Foresight Drift Pathway,34,0.9868,1.0159,0.4851,0.5166,0.4606,0.1931
IEP5,EFS5,Security Foresight Drift Pathway,35,0.9943,1.0309,0.4841,0.5116,0.461,0.1988
IEP5,EFS5,Security Foresight Drift Pathway,36,1.0098,1.0459,0.483,0.5067,0.4613,0.2064
IEP5,EFS5,Security Foresight Drift Pathway,37,1.0173,1.0609,0.482,0.5017,0.4617,0.2121
IEP5,EFS5,Security Foresight Drift Pathway,38,1.0248,1.076,0.4809,0.4968,0.462,0.2178
IEP5,EFS5,Security Foresight Drift Pathway,39,1.0322,1.091,0.4799,0.4919,0.4624,0.2234
IEP5,EFS5,Security Foresight Drift Pathway,40,1.0397,1.106,0.4788,0.4869,0.4628,0.2291
IEP6,EFS6,AI-Accelerated Anticipation Pathway,1,0.78,0.6,0.44,0.64,0.4404,0.056
IEP6,EFS6,AI-Accelerated Anticipation Pathway,2,0.7878,0.6155,0.4393,0.6351,0.4419,0.0618
IEP6,EFS6,AI-Accelerated Anticipation Pathway,3,0.7957,0.631,0.4386,0.6302,0.4435,0.0676
IEP6,EFS6,AI-Accelerated Anticipation Pathway,4,0.8035,0.6464,0.4379,0.6254,0.445,0.0734
IEP6,EFS6,AI-Accelerated Anticipation Pathway,5,0.8114,0.6619,0.4372,0.6205,0.4465,0.0792
IEP6,EFS6,AI-Accelerated Anticipation Pathway,6,0.8272,0.6773,0.4365,0.6156,0.4481,0.0869
IEP6,EFS6,AI-Accelerated Anticipation Pathway,7,0.835,0.6928,0.4358,0.6107,0.4496,0.0927
IEP6,EFS6,AI-Accelerated Anticipation Pathway,8,0.8429,0.7083,0.4351,0.6058,0.4511,0.0985
IEP6,EFS6,AI-Accelerated Anticipation Pathway,9,0.8507,0.7237,0.4344,0.601,0.4527,0.1043
IEP6,EFS6,AI-Accelerated Anticipation Pathway,10,0.8586,0.7392,0.4337,0.5961,0.4542,0.1101
IEP6,EFS6,AI-Accelerated Anticipation Pathway,11,0.8664,0.7547,0.433,0.5912,0.4558,0.1159
IEP6,EFS6,AI-Accelerated Anticipation Pathway,12,0.8822,0.7701,0.4323,0.5864,0.4574,0.1236
IEP6,EFS6,AI-Accelerated Anticipation Pathway,13,0.8901,0.7856,0.4316,0.5816,0.4589,0.1294
IEP6,EFS6,AI-Accelerated Anticipation Pathway,14,0.8979,0.8011,0.4309,0.5767,0.4605,0.1352
IEP6,EFS6,AI-Accelerated Anticipation Pathway,15,0.9058,0.8166,0.4302,0.5718,0.462,0.141
IEP6,EFS6,AI-Accelerated Anticipation Pathway,16,0.9136,0.832,0.4295,0.5669,0.4636,0.1468
IEP6,EFS6,AI-Accelerated Anticipation Pathway,17,0.9214,0.8475,0.4288,0.562,0.4652,0.1525
IEP6,EFS6,AI-Accelerated Anticipation Pathway,18,0.9373,0.8629,0.4282,0.5572,0.4668,0.1603
IEP6,EFS6,AI-Accelerated Anticipation Pathway,19,0.9451,0.8784,0.4275,0.5523,0.4684,0.1661
IEP6,EFS6,AI-Accelerated Anticipation Pathway,20,0.953,0.8939,0.4268,0.5474,0.4699,0.1719
IEP6,EFS6,AI-Accelerated Anticipation Pathway,21,0.9608,0.9093,0.4261,0.5426,0.4715,0.1777
IEP6,EFS6,AI-Accelerated Anticipation Pathway,22,0.9686,0.9248,0.4254,0.5377,0.4731,0.1835
IEP6,EFS6,AI-Accelerated Anticipation Pathway,23,0.9765,0.9403,0.4247,0.5328,0.4747,0.1892
IEP6,EFS6,AI-Accelerated Anticipation Pathway,24,0.9923,0.9557,0.424,0.5279,0.4763,0.197
IEP6,EFS6,AI-Accelerated Anticipation Pathway,25,1.0002,0.9712,0.4233,0.523,0.4779,0.2028
IEP6,EFS6,AI-Accelerated Anticipation Pathway,26,1.008,0.9867,0.4226,0.5182,0.4795,0.2086
IEP6,EFS6,AI-Accelerated Anticipation Pathway,27,1.0158,1.0021,0.4219,0.5134,0.4811,0.2144
IEP6,EFS6,AI-Accelerated Anticipation Pathway,28,1.0237,1.0176,0.4212,0.5085,0.4828,0.2202
IEP6,EFS6,AI-Accelerated Anticipation Pathway,29,1.0315,1.0331,0.4205,0.5036,0.4844,0.2259
IEP6,EFS6,AI-Accelerated Anticipation Pathway,30,1.0474,1.0485,0.4198,0.4987,0.486,0.2337
IEP6,EFS6,AI-Accelerated Anticipation Pathway,31,1.0552,1.064,0.4191,0.4939,0.4876,0.2395
IEP6,EFS6,AI-Accelerated Anticipation Pathway,32,1.063,1.0795,0.4184,0.489,0.4892,0.2453
IEP6,EFS6,AI-Accelerated Anticipation Pathway,33,1.0709,1.0949,0.4177,0.4841,0.4909,0.2511
IEP6,EFS6,AI-Accelerated Anticipation Pathway,34,1.0787,1.1104,0.417,0.4792,0.4925,0.2569
IEP6,EFS6,AI-Accelerated Anticipation Pathway,35,1.0866,1.1259,0.4163,0.4743,0.4942,0.2627
IEP6,EFS6,AI-Accelerated Anticipation Pathway,36,1.1024,1.1413,0.4156,0.4695,0.4958,0.2705
IEP6,EFS6,AI-Accelerated Anticipation Pathway,37,1.1102,1.1568,0.4149,0.4646,0.4974,0.2763
IEP6,EFS6,AI-Accelerated Anticipation Pathway,38,1.1181,1.1722,0.4142,0.4597,0.4991,0.282
IEP6,EFS6,AI-Accelerated Anticipation Pathway,39,1.1259,1.1877,0.4135,0.4549,0.5007,0.2878
IEP6,EFS6,AI-Accelerated Anticipation Pathway,40,1.1338,1.2032,0.4128,0.4501,0.5024,0.2936
