pathway_id,profile_id,scenario_id,pathway_name,time_step,population,demographic_stress,care_stress,mobility_pressure,adaptive_capacity
ADP3,MDF3,MDS3,Rights-Based Migration Renewal Pathway,23,11655804.36,0.4347,0.1546,0.2452,1.4236
ADP3,MDF3,MDS3,Rights-Based Migration Renewal Pathway,24,11716414.54,0.41,0.1436,0.2362,1.4648
ADP3,MDF3,MDS3,Rights-Based Migration Renewal Pathway,25,11798429.45,0.3829,0.1296,0.2272,1.5071
ADP3,MDF3,MDS3,Rights-Based Migration Renewal Pathway,26,11881018.45,0.3534,0.1156,0.2182,1.5506
ADP3,MDF3,MDS3,Rights-Based Migration Renewal Pathway,27,11964185.58,0.3215,0.1016,0.2092,1.5953
ADP3,MDF3,MDS3,Rights-Based Migration Renewal Pathway,28,12047934.88,0.2872,0.0876,0.2002,1.6414
ADP3,MDF3,MDS3,Rights-Based Migration Renewal Pathway,29,12132270.42,0.2502,0.0736,0.1912,1.6888
ADP3,MDF3,MDS3,Rights-Based Migration Renewal Pathway,30,12237578.53,0.2109,0.0596,0.1862,1.7377
ADP3,MDF3,MDS3,Rights-Based Migration Renewal Pathway,31,12323241.58,0.1688,0.0456,0.1772,1.7881
ADP3,MDF3,MDS3,Rights-Based Migration Renewal Pathway,32,12387322.44,0.1241,0.0316,0.1682,1.8
ADP3,MDF3,MDS3,Rights-Based Migration Renewal Pathway,33,12474033.69,0.0782,0.0176,0.1592,1.8
ADP3,MDF3,MDS3,Rights-Based Migration Renewal Pathway,34,12561351.93,0.0316,0.0036,0.1502,1.8
ADP3,MDF3,MDS3,Rights-Based Migration Renewal Pathway,35,12649281.39,0.0,0.0,0.1412,1.8
ADP3,MDF3,MDS3,Rights-Based Migration Renewal Pathway,36,12737826.36,0.0,0.0,0.1322,1.8
ADP3,MDF3,MDS3,Rights-Based Migration Renewal Pathway,37,12826991.15,0.0,0.0,0.1232,1.8
ADP3,MDF3,MDS3,Rights-Based Migration Renewal Pathway,38,12916780.09,0.0,0.0,0.1142,1.8
ADP3,MDF3,MDS3,Rights-Based Migration Renewal Pathway,39,13007197.55,0.0,0.0,0.1052,1.8
ADP3,MDF3,MDS3,Rights-Based Migration Renewal Pathway,40,13096687.07,0.0,0.0,0.1002,1.8
ADP4,MDF4,MDS4,Restrictive Border Spiral Pathway,1,10000000.0,0.5864,0.6052,0.6244,0.34
ADP4,MDF4,MDS4,Restrictive Border Spiral Pathway,2,9980000.0,0.6347,0.6154,0.6474,0.3405
ADP4,MDF4,MDS4,Restrictive Border Spiral Pathway,3,9960040.0,0.6839,0.6256,0.6704,0.3392
ADP4,MDF4,MDS4,Restrictive Border Spiral Pathway,4,9940119.92,0.7343,0.6358,0.6934,0.3363
ADP4,MDF4,MDS4,Restrictive Border Spiral Pathway,5,9920239.68,0.7857,0.646,0.7164,0.3316
ADP4,MDF4,MDS4,Restrictive Border Spiral Pathway,6,9900399.2,0.8383,0.6562,0.7394,0.3251
ADP4,MDF4,MDS4,Restrictive Border Spiral Pathway,7,9880598.4,0.8921,0.6664,0.7624,0.3168
ADP4,MDF4,MDS4,Restrictive Border Spiral Pathway,8,9838309.44,0.9473,0.6766,0.7854,0.3067
ADP4,MDF4,MDS4,Restrictive Border Spiral Pathway,9,9818632.82,1.0039,0.6868,0.8084,0.2946
ADP4,MDF4,MDS4,Restrictive Border Spiral Pathway,10,9820989.29,1.0621,0.697,0.8354,0.2806
ADP4,MDF4,MDS4,Restrictive Border Spiral Pathway,11,9801347.32,1.1218,0.7072,0.8584,0.2646
ADP4,MDF4,MDS4,Restrictive Border Spiral Pathway,12,9781744.62,1.1833,0.7204,0.8814,0.2465
ADP4,MDF4,MDS4,Restrictive Border Spiral Pathway,13,9762181.13,1.2465,0.7306,0.9044,0.2263
ADP4,MDF4,MDS4,Restrictive Border Spiral Pathway,14,9742656.77,1.3115,0.7408,0.9274,0.2039
ADP4,MDF4,MDS4,Restrictive Border Spiral Pathway,15,9723171.46,1.3784,0.751,0.9504,0.1794
ADP4,MDF4,MDS4,Restrictive Border Spiral Pathway,16,9681556.28,1.4472,0.7612,0.9734,0.1525
ADP4,MDF4,MDS4,Restrictive Border Spiral Pathway,17,9662193.17,1.5182,0.7714,0.9964,0.1234
ADP4,MDF4,MDS4,Restrictive Border Spiral Pathway,18,9642868.78,1.5913,0.7816,1.0194,0.0918
ADP4,MDF4,MDS4,Restrictive Border Spiral Pathway,19,9623583.05,1.6666,0.7918,1.0424,0.0577
ADP4,MDF4,MDS4,Restrictive Border Spiral Pathway,20,9625892.71,1.7445,0.802,1.0694,0.0212
ADP4,MDF4,MDS4,Restrictive Border Spiral Pathway,21,9606640.92,1.8,0.8122,1.0924,0.0
ADP4,MDF4,MDS4,Restrictive Border Spiral Pathway,22,9587427.64,1.8,0.8224,1.1154,0.0
ADP4,MDF4,MDS4,Restrictive Border Spiral Pathway,23,9568252.78,1.8,0.8326,1.1384,0.0
ADP4,MDF4,MDS4,Restrictive Border Spiral Pathway,24,9527300.66,1.8,0.8458,1.1614,0.0
ADP4,MDF4,MDS4,Restrictive Border Spiral Pathway,25,9508246.06,1.8,0.856,1.1844,0.0
ADP4,MDF4,MDS4,Restrictive Border Spiral Pathway,26,9489229.57,1.8,0.8662,1.2074,0.0
ADP4,MDF4,MDS4,Restrictive Border Spiral Pathway,27,9470251.11,1.8,0.8764,1.2304,0.0
ADP4,MDF4,MDS4,Restrictive Border Spiral Pathway,28,9451310.61,1.8,0.8866,1.2534,0.0
ADP4,MDF4,MDS4,Restrictive Border Spiral Pathway,29,9432407.99,1.8,0.8968,1.2764,0.0
ADP4,MDF4,MDS4,Restrictive Border Spiral Pathway,30,9434671.76,1.8,0.907,1.3034,0.0
ADP4,MDF4,MDS4,Restrictive Border Spiral Pathway,31,9415802.42,1.8,0.9172,1.3264,0.0
ADP4,MDF4,MDS4,Restrictive Border Spiral Pathway,32,9375502.79,1.8,0.9274,1.3494,0.0
ADP4,MDF4,MDS4,Restrictive Border Spiral Pathway,33,9356751.78,1.8,0.9376,1.3724,0.0
ADP4,MDF4,MDS4,Restrictive Border Spiral Pathway,34,9338038.28,1.8,0.9478,1.3954,0.0
ADP4,MDF4,MDS4,Restrictive Border Spiral Pathway,35,9319362.2,1.8,0.958,1.4184,0.0
ADP4,MDF4,MDS4,Restrictive Border Spiral Pathway,36,9300723.48,1.8,0.9712,1.4414,0.0
ADP4,MDF4,MDS4,Restrictive Border Spiral Pathway,37,9282122.03,1.8,0.9814,1.4644,0.0
ADP4,MDF4,MDS4,Restrictive Border Spiral Pathway,38,9263557.78,1.8,0.9916,1.4874,0.0
ADP4,MDF4,MDS4,Restrictive Border Spiral Pathway,39,9245030.67,1.8,1.0018,1.5104,0.0
ADP4,MDF4,MDS4,Restrictive Border Spiral Pathway,40,9226170.81,1.8,1.012,1.5374,0.0
ADP5,MDF5,MDS5,Climate Mobility Shock Pathway,1,10000000.0,0.6624,0.5632,0.736,0.38
ADP5,MDF5,MDS5,Climate Mobility Shock Pathway,2,10120000.0,0.7087,0.5712,0.773,0.3819
ADP5,MDF5,MDS5,Climate Mobility Shock Pathway,3,10241440.0,0.7563,0.5792,0.81,0.3822
ADP5,MDF5,MDS5,Climate Mobility Shock Pathway,4,10364337.28,0.8053,0.5872,0.847,0.3809
ADP5,MDF5,MDS5,Climate Mobility Shock Pathway,5,10488709.33,0.8556,0.5952,0.884,0.378
ADP5,MDF5,MDS5,Climate Mobility Shock Pathway,6,10614573.84,0.9074,0.6032,0.921,0.3733
ADP5,MDF5,MDS5,Climate Mobility Shock Pathway,7,10741948.73,0.9608,0.6112,0.958,0.3668
ADP5,MDF5,MDS5,Climate Mobility Shock Pathway,8,10844426.92,1.0157,0.6192,0.995,0.3586
ADP5,MDF5,MDS5,Climate Mobility Shock Pathway,9,10974560.04,1.0723,0.6272,1.032,0.3485
ADP5,MDF5,MDS5,Climate Mobility Shock Pathway,10,11147519.11,1.1308,0.6352,1.073,0.3364
ADP5,MDF5,MDS5,Climate Mobility Shock Pathway,11,11281289.33,1.1912,0.6432,1.11,0.3224
ADP5,MDF5,MDS5,Climate Mobility Shock Pathway,12,11416664.81,1.2535,0.6542,1.147,0.3063
ADP5,MDF5,MDS5,Climate Mobility Shock Pathway,13,11553664.78,1.3179,0.6622,1.184,0.2882
ADP5,MDF5,MDS5,Climate Mobility Shock Pathway,14,11692308.76,1.3843,0.6702,1.221,0.2678
ADP5,MDF5,MDS5,Climate Mobility Shock Pathway,15,11832616.47,1.4528,0.6782,1.258,0.2453
ADP5,MDF5,MDS5,Climate Mobility Shock Pathway,16,11945499.63,1.5237,0.6862,1.295,0.2205
ADP5,MDF5,MDS5,Climate Mobility Shock Pathway,17,12088845.62,1.5968,0.6942,1.332,0.1933
ADP5,MDF5,MDS5,Climate Mobility Shock Pathway,18,12233911.77,1.6724,0.7022,1.369,0.1636
ADP5,MDF5,MDS5,Climate Mobility Shock Pathway,19,12380718.71,1.7506,0.7102,1.406,0.1315
ADP5,MDF5,MDS5,Climate Mobility Shock Pathway,20,12575838.84,1.8,0.7182,1.447,0.0978
ADP5,MDF5,MDS5,Climate Mobility Shock Pathway,21,12726748.91,1.8,0.7262,1.484,0.0638
ADP5,MDF5,MDS5,Climate Mobility Shock Pathway,22,12879469.89,1.8,0.7342,1.521,0.0298
ADP5,MDF5,MDS5,Climate Mobility Shock Pathway,23,13034023.53,1.8,0.7422,1.558,0.0
ADP5,MDF5,MDS5,Climate Mobility Shock Pathway,24,13158368.12,1.8,0.7532,1.595,0.0
ADP5,MDF5,MDS5,Climate Mobility Shock Pathway,25,13316268.53,1.8,0.7612,1.632,0.0
ADP5,MDF5,MDS5,Climate Mobility Shock Pathway,26,13476063.76,1.8,0.7692,1.669,0.0
ADP5,MDF5,MDS5,Climate Mobility Shock Pathway,27,13637776.52,1.8,0.7772,1.706,0.0
ADP5,MDF5,MDS5,Climate Mobility Shock Pathway,28,13801429.84,1.8,0.7852,1.743,0.0
ADP5,MDF5,MDS5,Climate Mobility Shock Pathway,29,13967047.0,1.8,0.7932,1.78,0.0
ADP5,MDF5,MDS5,Climate Mobility Shock Pathway,30,14187167.66,1.8,0.8012,1.8,0.0
ADP5,MDF5,MDS5,Climate Mobility Shock Pathway,31,14357413.67,1.8,0.8092,1.8,0.0
ADP5,MDF5,MDS5,Climate Mobility Shock Pathway,32,14494383.4,1.8,0.8172,1.8,0.0
ADP5,MDF5,MDS5,Climate Mobility Shock Pathway,33,14668316.0,1.8,0.8252,1.8,0.0
ADP5,MDF5,MDS5,Climate Mobility Shock Pathway,34,14844335.79,1.8,0.8332,1.8,0.0
ADP5,MDF5,MDS5,Climate Mobility Shock Pathway,35,15022467.82,1.8,0.8412,1.8,0.0
ADP5,MDF5,MDS5,Climate Mobility Shock Pathway,36,15202737.43,1.8,0.8522,1.8,0.0
ADP5,MDF5,MDS5,Climate Mobility Shock Pathway,37,15385170.28,1.8,0.8602,1.8,0.0
ADP5,MDF5,MDS5,Climate Mobility Shock Pathway,38,15569792.32,1.8,0.8682,1.8,0.0
ADP5,MDF5,MDS5,Climate Mobility Shock Pathway,39,15756629.83,1.8,0.8762,1.8,0.0
ADP5,MDF5,MDS5,Climate Mobility Shock Pathway,40,15966193.01,1.8,0.8842,1.8,0.0
ADP6,MDF6,MDS6,Care Migration Dependency Pathway,1,10000000.0,0.6008,0.6692,0.5644,0.36
ADP6,MDF6,MDS6,Care Migration Dependency Pathway,2,10020000.0,0.6516,0.6894,0.576,0.3625
ADP6,MDF6,MDS6,Care Migration Dependency Pathway,3,10040040.0,0.7032,0.7096,0.5876,0.363
ADP6,MDF6,MDS6,Care Migration Dependency Pathway,4,10060120.08,0.7557,0.7298,0.5992,0.3615
ADP6,MDF6,MDS6,Care Migration Dependency Pathway,5,10080240.32,0.8093,0.75,0.6108,0.358
ADP6,MDF6,MDS6,Care Migration Dependency Pathway,6,10100400.8,0.864,0.7702,0.6224,0.3525
ADP6,MDF6,MDS6,Care Migration Dependency Pathway,7,10120601.6,0.9198,0.7904,0.634,0.3449
ADP6,MDF6,MDS6,Care Migration Dependency Pathway,8,10120196.78,0.9769,0.8106,0.6456,0.3352
ADP6,MDF6,MDS6,Care Migration Dependency Pathway,9,10140437.17,1.0353,0.8308,0.6572,0.3233
ADP6,MDF6,MDS6,Care Migration Dependency Pathway,10,10180998.92,1.0953,0.851,0.6728,0.3092
ADP6,MDF6,MDS6,Care Migration Dependency Pathway,11,10201360.92,1.1568,0.8712,0.6844,0.2929
ADP6,MDF6,MDS6,Care Migration Dependency Pathway,12,10221763.64,1.22,0.8944,0.696,0.2742
ADP6,MDF6,MDS6,Care Migration Dependency Pathway,13,10242207.17,1.2849,0.9146,0.7076,0.2532
ADP6,MDF6,MDS6,Care Migration Dependency Pathway,14,10262691.58,1.3516,0.9348,0.7192,0.2297
ADP6,MDF6,MDS6,Care Migration Dependency Pathway,15,10283216.97,1.4202,0.955,0.7308,0.2038
ADP6,MDF6,MDS6,Care Migration Dependency Pathway,16,10282805.64,1.4907,0.9752,0.7424,0.1754
ADP6,MDF6,MDS6,Care Migration Dependency Pathway,17,10303371.25,1.5634,0.9954,0.754,0.1444
ADP6,MDF6,MDS6,Care Migration Dependency Pathway,18,10323977.99,1.6383,1.0156,0.7656,0.1107
ADP6,MDF6,MDS6,Care Migration Dependency Pathway,19,10344625.95,1.7154,1.0358,0.7772,0.0744
ADP6,MDF6,MDS6,Care Migration Dependency Pathway,20,10386004.45,1.7951,1.056,0.7928,0.0352
ADP6,MDF6,MDS6,Care Migration Dependency Pathway,21,10406776.46,1.8,1.0762,0.8044,0.0
ADP6,MDF6,MDS6,Care Migration Dependency Pathway,22,10427590.01,1.8,1.0964,0.816,0.0
ADP6,MDF6,MDS6,Care Migration Dependency Pathway,23,10448445.19,1.8,1.1166,0.8276,0.0
ADP6,MDF6,MDS6,Care Migration Dependency Pathway,24,10448027.25,1.8,1.1398,0.8392,0.0
ADP6,MDF6,MDS6,Care Migration Dependency Pathway,25,10468923.31,1.8,1.16,0.8508,0.0
ADP6,MDF6,MDS6,Care Migration Dependency Pathway,26,10489861.16,1.8,1.1802,0.8624,0.0
ADP6,MDF6,MDS6,Care Migration Dependency Pathway,27,10510840.88,1.8,1.2004,0.874,0.0
ADP6,MDF6,MDS6,Care Migration Dependency Pathway,28,10531862.56,1.8,1.2206,0.8856,0.0
ADP6,MDF6,MDS6,Care Migration Dependency Pathway,29,10552926.28,1.8,1.2408,0.8972,0.0
ADP6,MDF6,MDS6,Care Migration Dependency Pathway,30,10595137.99,1.8,1.261,0.9128,0.0
ADP6,MDF6,MDS6,Care Migration Dependency Pathway,31,10616328.27,1.8,1.2812,0.9244,0.0
ADP6,MDF6,MDS6,Care Migration Dependency Pathway,32,10615903.61,1.8,1.3014,0.936,0.0
ADP6,MDF6,MDS6,Care Migration Dependency Pathway,33,10637135.42,1.8,1.3216,0.9476,0.0
ADP6,MDF6,MDS6,Care Migration Dependency Pathway,34,10658409.69,1.8,1.3418,0.9592,0.0
ADP6,MDF6,MDS6,Care Migration Dependency Pathway,35,10679726.51,1.8,1.362,0.9708,0.0
ADP6,MDF6,MDS6,Care Migration Dependency Pathway,36,10701085.96,1.8,1.3852,0.9824,0.0
ADP6,MDF6,MDS6,Care Migration Dependency Pathway,37,10722488.13,1.8,1.4054,0.994,0.0
ADP6,MDF6,MDS6,Care Migration Dependency Pathway,38,10743933.11,1.8,1.4256,1.0056,0.0
ADP6,MDF6,MDS6,Care Migration Dependency Pathway,39,10765420.98,1.8,1.4458,1.0172,0.0
ADP6,MDF6,MDS6,Care Migration Dependency Pathway,40,10786521.2,1.8,1.466,1.0328,0.0
ADP7,MDF7,MDS7,Inclusive Urban Renewal Pathway,1,10000000.0,0.3588,0.3556,0.372,0.78
