pathway_id,profile_id,scenario_id,pathway_name,time_step,extraction_burden,community_voice,external_control,ecological_harm,local_benefit,reparative_capacity,consent_quality,sovereignty_recognition,legitimacy
ACF1,CFP1,CFS1,Green Extraction Continuity Pathway,22,0.9064,0.2024,0.8349,0.9544,0.4266,0.2416,0.3481,0.3136,0.0643
ACF1,CFP1,CFS1,Green Extraction Continuity Pathway,23,0.9079,0.1951,0.8363,0.9642,0.4264,0.2388,0.3477,0.3135,0.0617
ACF1,CFP1,CFS1,Green Extraction Continuity Pathway,24,0.9095,0.1878,0.8379,0.974,0.426,0.2359,0.3471,0.3134,0.059
ACF1,CFP1,CFS1,Green Extraction Continuity Pathway,25,0.9114,0.1803,0.8396,0.9839,0.4255,0.2328,0.3465,0.3131,0.0562
ACF1,CFP1,CFS1,Green Extraction Continuity Pathway,26,0.9134,0.1629,0.8516,0.9939,0.4246,0.2294,0.3455,0.3125,0.0506
ACF1,CFP1,CFS1,Green Extraction Continuity Pathway,27,0.9158,0.1752,0.8536,1.004,0.4239,0.2261,0.3446,0.312,0.0511
ACF1,CFP1,CFS1,Green Extraction Continuity Pathway,28,0.9361,0.1673,0.8558,1.0145,0.4231,0.2226,0.3436,0.3114,0.0465
ACF1,CFP1,CFS1,Green Extraction Continuity Pathway,29,0.9386,0.1594,0.8583,1.025,0.422,0.2188,0.3425,0.3106,0.0431
ACF1,CFP1,CFS1,Green Extraction Continuity Pathway,30,0.9413,0.1513,0.8609,1.0357,0.4209,0.215,0.3412,0.3097,0.0396
ACF1,CFP1,CFS1,Green Extraction Continuity Pathway,31,0.9442,0.1431,0.8637,1.0465,0.4196,0.2109,0.3397,0.3086,0.0359
ACF1,CFP1,CFS1,Green Extraction Continuity Pathway,32,0.9473,0.1348,0.8667,1.0574,0.4181,0.2066,0.3381,0.3074,0.032
ACF1,CFP1,CFS1,Green Extraction Continuity Pathway,33,0.9506,0.1264,0.8699,1.0684,0.4345,0.2202,0.3365,0.3061,0.0338
ACF1,CFP1,CFS1,Green Extraction Continuity Pathway,34,0.954,0.1182,0.8731,1.0793,0.4328,0.2156,0.3346,0.3047,0.0298
ACF1,CFP1,CFS1,Green Extraction Continuity Pathway,35,0.9755,0.1096,0.8768,1.0906,0.4311,0.2106,0.3326,0.3031,0.0241
ACF1,CFP1,CFS1,Green Extraction Continuity Pathway,36,0.9793,0.121,0.8803,1.102,0.4293,0.2058,0.3307,0.3016,0.0235
ACF1,CFP1,CFS1,Green Extraction Continuity Pathway,37,0.9831,0.1122,0.8841,1.1136,0.4274,0.2007,0.3286,0.2999,0.019
ACF1,CFP1,CFS1,Green Extraction Continuity Pathway,38,0.9871,0.1032,0.8882,1.1253,0.4253,0.1954,0.3263,0.298,0.0144
ACF1,CFP1,CFS1,Green Extraction Continuity Pathway,39,0.9914,0.0841,0.9025,1.1373,0.4229,0.1896,0.3236,0.2957,0.007
ACF1,CFP1,CFS1,Green Extraction Continuity Pathway,40,0.9961,0.0747,0.9072,1.1494,0.4202,0.1836,0.3207,0.2932,0.0018
ACF2,CFP2,CFS2,Technocratic Development Revival Pathway,1,0.72,0.4,0.86,0.66,0.46,0.32,0.4,0.36,0.1604
ACF2,CFP2,CFS2,Technocratic Development Revival Pathway,2,0.7177,0.3952,0.8556,0.6661,0.4628,0.322,0.4027,0.3629,0.1613
ACF2,CFP2,CFS2,Technocratic Development Revival Pathway,3,0.7153,0.3905,0.8511,0.672,0.4656,0.324,0.4054,0.3658,0.1623
ACF2,CFP2,CFS2,Technocratic Development Revival Pathway,4,0.7129,0.3859,0.8467,0.6779,0.4684,0.3261,0.4082,0.3688,0.1633
ACF2,CFP2,CFS2,Technocratic Development Revival Pathway,5,0.7105,0.3814,0.8422,0.6836,0.4712,0.3282,0.4109,0.3718,0.1644
ACF2,CFP2,CFS2,Technocratic Development Revival Pathway,6,0.7081,0.377,0.8378,0.6893,0.474,0.3303,0.4137,0.3748,0.1655
ACF2,CFP2,CFS2,Technocratic Development Revival Pathway,7,0.7236,0.3727,0.8335,0.695,0.4767,0.3324,0.4165,0.3779,0.1651
ACF2,CFP2,CFS2,Technocratic Development Revival Pathway,8,0.721,0.3685,0.8292,0.7007,0.4795,0.3346,0.4193,0.3809,0.1662
ACF2,CFP2,CFS2,Technocratic Development Revival Pathway,9,0.7185,0.3843,0.8246,0.7062,0.4825,0.337,0.4224,0.3843,0.1712
ACF2,CFP2,CFS2,Technocratic Development Revival Pathway,10,0.7155,0.3804,0.82,0.7116,0.4855,0.3396,0.4255,0.3876,0.1726
ACF2,CFP2,CFS2,Technocratic Development Revival Pathway,11,0.7126,0.3765,0.8154,0.7169,0.5066,0.3602,0.4288,0.3912,0.1799
ACF2,CFP2,CFS2,Technocratic Development Revival Pathway,12,0.7093,0.3731,0.8105,0.7218,0.5098,0.3629,0.4321,0.3948,0.1816
ACF2,CFP2,CFS2,Technocratic Development Revival Pathway,13,0.706,0.3598,0.8157,0.7266,0.5128,0.3654,0.4352,0.3983,0.1807
ACF2,CFP2,CFS2,Technocratic Development Revival Pathway,14,0.7209,0.3564,0.8111,0.7315,0.5159,0.3679,0.4384,0.4018,0.1809
ACF2,CFP2,CFS2,Technocratic Development Revival Pathway,15,0.7177,0.3531,0.8065,0.7363,0.519,0.3705,0.4416,0.4054,0.1826
ACF2,CFP2,CFS2,Technocratic Development Revival Pathway,16,0.7145,0.35,0.8018,0.741,0.5221,0.3732,0.4449,0.409,0.1843
ACF2,CFP2,CFS2,Technocratic Development Revival Pathway,17,0.7112,0.347,0.797,0.7455,0.5252,0.3759,0.4482,0.4127,0.1862
ACF2,CFP2,CFS2,Technocratic Development Revival Pathway,18,0.7078,0.3642,0.7919,0.7499,0.5285,0.3791,0.4518,0.4166,0.1918
ACF2,CFP2,CFS2,Technocratic Development Revival Pathway,19,0.704,0.3615,0.7868,0.7542,0.532,0.3823,0.4555,0.4207,0.194
ACF2,CFP2,CFS2,Technocratic Development Revival Pathway,20,0.7002,0.359,0.7816,0.7583,0.5354,0.3856,0.4592,0.4248,0.1963
ACF2,CFP2,CFS2,Technocratic Development Revival Pathway,21,0.7142,0.3566,0.7765,0.7624,0.5389,0.389,0.463,0.4289,0.1972
ACF2,CFP2,CFS2,Technocratic Development Revival Pathway,22,0.7102,0.3543,0.7713,0.7664,0.5604,0.4104,0.467,0.4333,0.2054
ACF2,CFP2,CFS2,Technocratic Development Revival Pathway,23,0.7058,0.3524,0.7658,0.77,0.5641,0.414,0.4711,0.4378,0.208
ACF2,CFP2,CFS2,Technocratic Development Revival Pathway,24,0.7013,0.3507,0.7603,0.7734,0.5679,0.4177,0.4752,0.4424,0.2108
ACF2,CFP2,CFS2,Technocratic Development Revival Pathway,25,0.6967,0.3492,0.7547,0.7767,0.5718,0.4215,0.4794,0.447,0.2137
ACF2,CFP2,CFS2,Technocratic Development Revival Pathway,26,0.692,0.3379,0.7591,0.7798,0.5755,0.4253,0.4835,0.4516,0.214
ACF2,CFP2,CFS2,Technocratic Development Revival Pathway,27,0.6874,0.3566,0.7531,0.7827,0.5795,0.4295,0.488,0.4565,0.2208
ACF2,CFP2,CFS2,Technocratic Development Revival Pathway,28,0.7004,0.3555,0.7472,0.7857,0.5836,0.4337,0.4925,0.4615,0.2225
ACF2,CFP2,CFS2,Technocratic Development Revival Pathway,29,0.6952,0.3545,0.7411,0.7885,0.5877,0.4381,0.4972,0.4666,0.2259
ACF2,CFP2,CFS2,Technocratic Development Revival Pathway,30,0.6899,0.3538,0.7349,0.7911,0.5919,0.4427,0.5019,0.4718,0.2294
ACF2,CFP2,CFS2,Technocratic Development Revival Pathway,31,0.6845,0.3532,0.7286,0.7934,0.5962,0.4475,0.5068,0.4771,0.233
ACF2,CFP2,CFS2,Technocratic Development Revival Pathway,32,0.6789,0.3529,0.7222,0.7956,0.6006,0.4524,0.5118,0.4826,0.2368
ACF2,CFP2,CFS2,Technocratic Development Revival Pathway,33,0.6731,0.3528,0.7156,0.7975,0.6231,0.4755,0.517,0.4883,0.2465
ACF2,CFP2,CFS2,Technocratic Development Revival Pathway,34,0.6669,0.3532,0.7087,0.799,0.6278,0.4808,0.5224,0.4942,0.2508
ACF2,CFP2,CFS2,Technocratic Development Revival Pathway,35,0.6785,0.3537,0.7017,0.8004,0.6326,0.4863,0.5279,0.5003,0.2538
ACF2,CFP2,CFS2,Technocratic Development Revival Pathway,36,0.6719,0.3745,0.6944,0.8016,0.6378,0.4922,0.5337,0.5067,0.2621
ACF2,CFP2,CFS2,Technocratic Development Revival Pathway,37,0.6648,0.3755,0.6868,0.8026,0.6431,0.4984,0.5398,0.5132,0.2671
ACF2,CFP2,CFS2,Technocratic Development Revival Pathway,38,0.6575,0.3768,0.679,0.8032,0.6486,0.5048,0.546,0.52,0.2722
ACF2,CFP2,CFS2,Technocratic Development Revival Pathway,39,0.6499,0.3684,0.6811,0.8037,0.654,0.5113,0.5522,0.5267,0.275
ACF2,CFP2,CFS2,Technocratic Development Revival Pathway,40,0.6424,0.3701,0.673,0.8039,0.6595,0.518,0.5586,0.5336,0.2804
ACF3,CFP3,CFS3,Data Colonial Futures Pathway,1,0.7,0.26,0.92,0.54,0.34,0.26,0.28,0.3,0.0822
ACF3,CFP3,CFS3,Data Colonial Futures Pathway,2,0.702,0.2532,0.9185,0.5481,0.3401,0.2578,0.2796,0.2995,0.0801
ACF3,CFP3,CFS3,Data Colonial Futures Pathway,3,0.7042,0.2464,0.9171,0.5562,0.3402,0.2555,0.2792,0.2989,0.0778
ACF3,CFP3,CFS3,Data Colonial Futures Pathway,4,0.7064,0.2396,0.9159,0.5643,0.3401,0.253,0.2786,0.2982,0.0755
ACF3,CFP3,CFS3,Data Colonial Futures Pathway,5,0.7088,0.2327,0.9148,0.5725,0.3399,0.2505,0.278,0.2974,0.0731
ACF3,CFP3,CFS3,Data Colonial Futures Pathway,6,0.7113,0.2258,0.9138,0.5808,0.3397,0.2478,0.2773,0.2966,0.0706
ACF3,CFP3,CFS3,Data Colonial Futures Pathway,7,0.7319,0.2187,0.9132,0.5894,0.3393,0.2449,0.2764,0.2956,0.0665
ACF3,CFP3,CFS3,Data Colonial Futures Pathway,8,0.7347,0.2115,0.9128,0.5981,0.3388,0.2419,0.2755,0.2946,0.0637
ACF3,CFP3,CFS3,Data Colonial Futures Pathway,9,0.7375,0.2243,0.9123,0.6068,0.3384,0.239,0.2747,0.2937,0.0646
ACF3,CFP3,CFS3,Data Colonial Futures Pathway,10,0.7403,0.217,0.9119,0.6156,0.338,0.236,0.2737,0.2926,0.0618
ACF3,CFP3,CFS3,Data Colonial Futures Pathway,11,0.7432,0.2097,0.9117,0.6245,0.3554,0.2508,0.2728,0.2916,0.0647
ACF3,CFP3,CFS3,Data Colonial Futures Pathway,12,0.746,0.2025,0.9115,0.6332,0.3548,0.2476,0.2718,0.2905,0.0618
ACF3,CFP3,CFS3,Data Colonial Futures Pathway,13,0.7489,0.1853,0.9216,0.6421,0.354,0.2439,0.2704,0.2891,0.0562
ACF3,CFP3,CFS3,Data Colonial Futures Pathway,14,0.7703,0.1777,0.922,0.6513,0.353,0.24,0.2689,0.2876,0.0514
ACF3,CFP3,CFS3,Data Colonial Futures Pathway,15,0.7739,0.1701,0.9227,0.6606,0.3519,0.2359,0.2673,0.2859,0.0479
ACF3,CFP3,CFS3,Data Colonial Futures Pathway,16,0.7776,0.1624,0.9236,0.67,0.3507,0.2317,0.2655,0.2841,0.0443
ACF3,CFP3,CFS3,Data Colonial Futures Pathway,17,0.7815,0.1545,0.9246,0.6796,0.3493,0.2272,0.2636,0.2822,0.0405
ACF3,CFP3,CFS3,Data Colonial Futures Pathway,18,0.7856,0.1666,0.9256,0.6893,0.348,0.2229,0.2618,0.2803,0.0404
ACF3,CFP3,CFS3,Data Colonial Futures Pathway,19,0.7896,0.1585,0.9268,0.6991,0.3466,0.2184,0.2598,0.2783,0.0365
ACF3,CFP3,CFS3,Data Colonial Futures Pathway,20,0.7938,0.1503,0.9282,0.7091,0.345,0.2137,0.2577,0.2762,0.0324
ACF3,CFP3,CFS3,Data Colonial Futures Pathway,21,0.8162,0.1419,0.9301,0.7194,0.3433,0.2087,0.2555,0.2739,0.0267
ACF3,CFP3,CFS3,Data Colonial Futures Pathway,22,0.8208,0.1333,0.9321,0.7299,0.3594,0.2215,0.2531,0.2715,0.028
ACF3,CFP3,CFS3,Data Colonial Futures Pathway,23,0.8255,0.1249,0.9343,0.7403,0.3575,0.216,0.2506,0.269,0.0236
ACF3,CFP3,CFS3,Data Colonial Futures Pathway,24,0.8303,0.1162,0.9366,0.7508,0.3554,0.2104,0.2479,0.2664,0.0189
ACF3,CFP3,CFS3,Data Colonial Futures Pathway,25,0.8354,0.1075,0.9392,0.7615,0.3532,0.2045,0.2451,0.2635,0.014
ACF3,CFP3,CFS3,Data Colonial Futures Pathway,26,0.8408,0.0885,0.9522,0.7725,0.3506,0.1982,0.2418,0.2603,0.0063
ACF3,CFP3,CFS3,Data Colonial Futures Pathway,27,0.8467,0.0993,0.9553,0.7837,0.348,0.1919,0.2386,0.2571,0.0046
ACF3,CFP3,CFS3,Data Colonial Futures Pathway,28,0.8705,0.0898,0.9587,0.7953,0.3453,0.1852,0.2352,0.2537,-0.0023
ACF3,CFP3,CFS3,Data Colonial Futures Pathway,29,0.8767,0.0801,0.9625,0.8071,0.3423,0.1782,0.2315,0.2501,-0.0081
ACF3,CFP3,CFS3,Data Colonial Futures Pathway,30,0.8831,0.0701,0.9666,0.8192,0.3391,0.171,0.2277,0.2462,-0.0141
ACF3,CFP3,CFS3,Data Colonial Futures Pathway,31,0.8899,0.06,0.9709,0.8315,0.3357,0.1635,0.2236,0.2422,-0.0204
ACF3,CFP3,CFS3,Data Colonial Futures Pathway,32,0.8969,0.0496,0.9756,0.844,0.3321,0.1556,0.2192,0.2379,-0.0269
ACF3,CFP3,CFS3,Data Colonial Futures Pathway,33,0.9043,0.039,0.9807,0.8568,0.3463,0.1655,0.2147,0.2334,-0.0279
ACF3,CFP3,CFS3,Data Colonial Futures Pathway,34,0.9118,0.0284,0.9859,0.8696,0.3423,0.157,0.21,0.2288,-0.0348
ACF3,CFP3,CFS3,Data Colonial Futures Pathway,35,0.9377,0.0174,0.9916,0.883,0.3382,0.1481,0.205,0.2238,-0.0435
ACF3,CFP3,CFS3,Data Colonial Futures Pathway,36,0.9459,0.0261,0.9974,0.8966,0.334,0.1391,0.2,0.2188,-0.0473
ACF3,CFP3,CFS3,Data Colonial Futures Pathway,37,0.9543,0.0145,1.0036,0.9105,0.3295,0.1297,0.1946,0.2135,-0.055
ACF3,CFP3,CFS3,Data Colonial Futures Pathway,38,0.963,0.0027,1.0102,0.9248,0.3248,0.12,0.189,0.208,-0.063
ACF3,CFP3,CFS3,Data Colonial Futures Pathway,39,0.9721,0.0,1.0271,0.9394,0.3198,0.1099,0.1831,0.2021,-0.0703
ACF3,CFP3,CFS3,Data Colonial Futures Pathway,40,0.9817,0.0,1.0342,0.9544,0.3147,0.0996,0.1771,0.196,-0.0766
ACF4,CFP4,CFS4,Climate Security Fortress Pathway,1,0.66,0.3,0.88,0.5,0.32,0.28,0.3,0.26,0.095
ACF4,CFP4,CFS4,Climate Security Fortress Pathway,2,0.6606,0.2938,0.8776,0.5069,0.3211,0.2787,0.3003,0.2605,0.0937
ACF4,CFP4,CFS4,Climate Security Fortress Pathway,3,0.6613,0.2875,0.8753,0.5138,0.322,0.2774,0.3005,0.261,0.0924
ACF4,CFP4,CFS4,Climate Security Fortress Pathway,4,0.662,0.2813,0.8731,0.5207,0.323,0.276,0.3006,0.2615,0.0911
ACF4,CFP4,CFS4,Climate Security Fortress Pathway,5,0.6628,0.2751,0.8711,0.5276,0.3238,0.2745,0.3007,0.2619,0.0896
ACF4,CFP4,CFS4,Climate Security Fortress Pathway,6,0.6637,0.2688,0.8691,0.5345,0.3245,0.273,0.3007,0.2622,0.0881
ACF4,CFP4,CFS4,Climate Security Fortress Pathway,7,0.6827,0.2625,0.8674,0.5417,0.3252,0.2712,0.3006,0.2625,0.0851
ACF4,CFP4,CFS4,Climate Security Fortress Pathway,8,0.6838,0.2561,0.8659,0.5489,0.3258,0.2694,0.3005,0.2626,0.0834
ACF4,CFP4,CFS4,Climate Security Fortress Pathway,9,0.685,0.2698,0.8642,0.5561,0.3266,0.2678,0.3005,0.263,0.0855
ACF4,CFP4,CFS4,Climate Security Fortress Pathway,10,0.6859,0.2634,0.8625,0.5633,0.3272,0.2661,0.3005,0.2632,0.0838
ACF4,CFP4,CFS4,Climate Security Fortress Pathway,11,0.687,0.257,0.861,0.5706,0.3458,0.2823,0.3005,0.2636,0.088
ACF4,CFP4,CFS4,Climate Security Fortress Pathway,12,0.688,0.2508,0.8595,0.5777,0.3465,0.2805,0.3004,0.2639,0.0864
ACF4,CFP4,CFS4,Climate Security Fortress Pathway,13,0.689,0.2347,0.8682,0.5848,0.3469,0.2783,0.3,0.2639,0.0821
ACF4,CFP4,CFS4,Climate Security Fortress Pathway,14,0.7084,0.2283,0.8672,0.5922,0.3472,0.276,0.2996,0.2638,0.0787
ACF4,CFP4,CFS4,Climate Security Fortress Pathway,15,0.7099,0.2219,0.8663,0.5997,0.3474,0.2735,0.2991,0.2637,0.0766
ACF4,CFP4,CFS4,Climate Security Fortress Pathway,16,0.7115,0.2154,0.8655,0.6072,0.3476,0.271,0.2985,0.2635,0.0745
ACF4,CFP4,CFS4,Climate Security Fortress Pathway,17,0.7132,0.2089,0.8649,0.6148,0.3476,0.2683,0.2978,0.2632,0.0723
ACF4,CFP4,CFS4,Climate Security Fortress Pathway,18,0.7151,0.2223,0.8642,0.6224,0.3478,0.2658,0.2972,0.263,0.0738
ACF4,CFP4,CFS4,Climate Security Fortress Pathway,19,0.7168,0.2157,0.8636,0.6301,0.3478,0.2633,0.2966,0.2627,0.0715
ACF4,CFP4,CFS4,Climate Security Fortress Pathway,20,0.7186,0.2091,0.8631,0.6378,0.3478,0.2606,0.2959,0.2624,0.0693
ACF4,CFP4,CFS4,Climate Security Fortress Pathway,21,0.7385,0.2023,0.8629,0.6458,0.3476,0.2576,0.295,0.2619,0.0654
ACF4,CFP4,CFS4,Climate Security Fortress Pathway,22,0.7406,0.1955,0.8629,0.6539,0.3654,0.2726,0.2942,0.2615,0.0686
ACF4,CFP4,CFS4,Climate Security Fortress Pathway,23,0.7426,0.1888,0.8629,0.6619,0.3652,0.2694,0.2933,0.261,0.0661
ACF4,CFP4,CFS4,Climate Security Fortress Pathway,24,0.7447,0.1821,0.863,0.6699,0.3649,0.2662,0.2922,0.2604,0.0635
ACF4,CFP4,CFS4,Climate Security Fortress Pathway,25,0.747,0.1753,0.8633,0.6779,0.3645,0.2628,0.2911,0.2597,0.0608
ACF4,CFP4,CFS4,Climate Security Fortress Pathway,26,0.7494,0.1585,0.8739,0.6862,0.3638,0.259,0.2896,0.2586,0.0553
ACF4,CFP4,CFS4,Climate Security Fortress Pathway,27,0.7523,0.1714,0.8743,0.6945,0.3632,0.2554,0.2883,0.2577,0.0559
ACF4,CFP4,CFS4,Climate Security Fortress Pathway,28,0.773,0.1642,0.8751,0.7031,0.3624,0.2515,0.2869,0.2567,0.0514
ACF4,CFP4,CFS4,Climate Security Fortress Pathway,29,0.7759,0.1569,0.8761,0.7119,0.3616,0.2475,0.2853,0.2555,0.0481
ACF4,CFP4,CFS4,Climate Security Fortress Pathway,30,0.7789,0.1495,0.8773,0.7208,0.3606,0.2433,0.2835,0.2542,0.0447
ACF4,CFP4,CFS4,Climate Security Fortress Pathway,31,0.7822,0.1419,0.8787,0.7297,0.3595,0.2389,0.2817,0.2527,0.0412
ACF4,CFP4,CFS4,Climate Security Fortress Pathway,32,0.7856,0.1343,0.8802,0.7389,0.3582,0.2344,0.2797,0.2511,0.0375
ACF4,CFP4,CFS4,Climate Security Fortress Pathway,33,0.7892,0.1266,0.882,0.7481,0.3747,0.2477,0.2776,0.2495,0.0394
ACF4,CFP4,CFS4,Climate Security Fortress Pathway,34,0.7929,0.119,0.8838,0.7572,0.3733,0.2428,0.2754,0.2478,0.0356
ACF4,CFP4,CFS4,Climate Security Fortress Pathway,35,0.8147,0.1111,0.886,0.7667,0.3718,0.2376,0.2731,0.2459,0.0301
ACF4,CFP4,CFS4,Climate Security Fortress Pathway,36,0.8187,0.1231,0.8881,0.7764,0.3703,0.2325,0.2708,0.2441,0.0296
ACF4,CFP4,CFS4,Climate Security Fortress Pathway,37,0.8227,0.115,0.8904,0.7862,0.3687,0.2272,0.2684,0.2421,0.0254
ACF4,CFP4,CFS4,Climate Security Fortress Pathway,38,0.8269,0.1067,0.893,0.7961,0.3669,0.2217,0.2658,0.2399,0.021
ACF4,CFP4,CFS4,Climate Security Fortress Pathway,39,0.8313,0.0883,0.906,0.8063,0.3647,0.2157,0.2628,0.2373,0.0138
ACF4,CFP4,CFS4,Climate Security Fortress Pathway,40,0.8363,0.0796,0.9091,0.8167,0.3624,0.2096,0.2597,0.2346,0.0089
ACF5,CFP5,CFS5,Conservation Without People Pathway,1,0.62,0.34,0.78,0.46,0.36,0.3,0.32,0.28,0.13
ACF5,CFP5,CFS5,Conservation Without People Pathway,2,0.6184,0.3355,0.7762,0.4653,0.3624,0.3008,0.3219,0.2821,0.1304
ACF5,CFP5,CFS5,Conservation Without People Pathway,3,0.6169,0.3311,0.7725,0.4706,0.3647,0.3016,0.3237,0.2843,0.1308
ACF5,CFP5,CFS5,Conservation Without People Pathway,4,0.6153,0.3267,0.7688,0.4758,0.367,0.3024,0.3256,0.2864,0.1313
ACF5,CFP5,CFS5,Conservation Without People Pathway,5,0.6137,0.3224,0.7651,0.4809,0.3693,0.3032,0.3274,0.2885,0.1317
ACF5,CFP5,CFS5,Conservation Without People Pathway,6,0.6121,0.3182,0.7614,0.4859,0.3716,0.3041,0.3293,0.2907,0.1322
ACF5,CFP5,CFS5,Conservation Without People Pathway,7,0.6285,0.314,0.758,0.4911,0.3739,0.3048,0.3312,0.2929,0.1312
ACF5,CFP5,CFS5,Conservation Without People Pathway,8,0.6269,0.3099,0.7545,0.4963,0.3761,0.3056,0.333,0.295,0.1317
ACF5,CFP5,CFS5,Conservation Without People Pathway,9,0.6253,0.3258,0.7508,0.5013,0.3786,0.3067,0.3351,0.2974,0.1359
ACF5,CFP5,CFS5,Conservation Without People Pathway,10,0.6234,0.3218,0.7471,0.5063,0.381,0.3078,0.3372,0.2998,0.1366
ACF5,CFP5,CFS5,Conservation Without People Pathway,11,0.6215,0.3179,0.7433,0.5112,0.4015,0.3269,0.3395,0.3024,0.1431
ACF5,CFP5,CFS5,Conservation Without People Pathway,12,0.6193,0.3144,0.7394,0.5158,0.4041,0.3281,0.3417,0.305,0.144
ACF5,CFP5,CFS5,Conservation Without People Pathway,13,0.6171,0.3009,0.7457,0.5203,0.4065,0.3291,0.3438,0.3074,0.1423
ACF5,CFP5,CFS5,Conservation Without People Pathway,14,0.6331,0.2974,0.7421,0.525,0.4089,0.3301,0.3458,0.3099,0.1416
ACF5,CFP5,CFS5,Conservation Without People Pathway,15,0.6311,0.2939,0.7385,0.5297,0.4113,0.3311,0.3479,0.3123,0.1424
ACF5,CFP5,CFS5,Conservation Without People Pathway,16,0.6291,0.2905,0.7349,0.5342,0.4137,0.3321,0.35,0.3148,0.1432
ACF5,CFP5,CFS5,Conservation Without People Pathway,17,0.6271,0.2872,0.7313,0.5387,0.4161,0.3331,0.3521,0.3173,0.144
ACF5,CFP5,CFS5,Conservation Without People Pathway,18,0.625,0.3039,0.7275,0.543,0.4187,0.3345,0.3545,0.32,0.1487
ACF5,CFP5,CFS5,Conservation Without People Pathway,19,0.6227,0.3008,0.7236,0.5473,0.4213,0.3359,0.3569,0.3228,0.1498
ACF5,CFP5,CFS5,Conservation Without People Pathway,20,0.6202,0.2978,0.7197,0.5515,0.4239,0.3374,0.3593,0.3256,0.1509
ACF5,CFP5,CFS5,Conservation Without People Pathway,21,0.6358,0.2947,0.7159,0.5559,0.4265,0.3389,0.3618,0.3284,0.1506
ACF5,CFP5,CFS5,Conservation Without People Pathway,22,0.6333,0.2918,0.7122,0.5601,0.4471,0.3584,0.3644,0.3314,0.1576
ACF5,CFP5,CFS5,Conservation Without People Pathway,23,0.6305,0.2892,0.7082,0.564,0.4499,0.3599,0.367,0.3345,0.159
ACF5,CFP5,CFS5,Conservation Without People Pathway,24,0.6277,0.2868,0.7042,0.5678,0.4528,0.3615,0.3696,0.3375,0.1604
