pathway_id,occupation_id,pathway_name,time_step,job_quality,transition_risk,skill_mobility
P2,O2,Skilled Trades Augmentation Pathway,17,1.178,0.4509,1.1792
P2,O2,Skilled Trades Augmentation Pathway,18,1.211,0.4538,1.2
P2,O2,Skilled Trades Augmentation Pathway,19,1.244,0.4564,1.2
P2,O2,Skilled Trades Augmentation Pathway,20,1.247,0.5188,1.2
P2,O2,Skilled Trades Augmentation Pathway,21,1.28,0.5149,1.2
P2,O2,Skilled Trades Augmentation Pathway,22,1.313,0.5114,1.2
P2,O2,Skilled Trades Augmentation Pathway,23,1.346,0.5083,1.2
P2,O2,Skilled Trades Augmentation Pathway,24,1.379,0.5054,1.2
P2,O2,Skilled Trades Augmentation Pathway,25,1.412,0.5029,1.2
P2,O2,Skilled Trades Augmentation Pathway,26,1.445,0.5006,1.2
P2,O2,Skilled Trades Augmentation Pathway,27,1.478,0.4985,1.2
P2,O2,Skilled Trades Augmentation Pathway,28,1.5,0.4967,1.2
P2,O2,Skilled Trades Augmentation Pathway,29,1.5,0.495,1.2
P2,O2,Skilled Trades Augmentation Pathway,30,1.5,0.5535,1.2
P2,O2,Skilled Trades Augmentation Pathway,31,1.5,0.5462,1.2
P2,O2,Skilled Trades Augmentation Pathway,32,1.5,0.5396,1.2
P2,O2,Skilled Trades Augmentation Pathway,33,1.5,0.5336,1.2
P2,O2,Skilled Trades Augmentation Pathway,34,1.5,0.5282,1.2
P2,O2,Skilled Trades Augmentation Pathway,35,1.5,0.5234,1.2
P2,O2,Skilled Trades Augmentation Pathway,36,1.5,0.5191,1.2
P2,O2,Skilled Trades Augmentation Pathway,37,1.5,0.5152,1.2
P2,O2,Skilled Trades Augmentation Pathway,38,1.5,0.5116,1.2
P2,O2,Skilled Trades Augmentation Pathway,39,1.5,0.5085,1.2
P2,O2,Skilled Trades Augmentation Pathway,40,1.5,0.5656,1.2
P3,O3,Care Work Under Automation Pressure,1,0.55,0.1904,0.44
P3,O3,Care Work Under Automation Pressure,2,0.5434,0.229,0.4624
P3,O3,Care Work Under Automation Pressure,3,0.5368,0.2637,0.4848
P3,O3,Care Work Under Automation Pressure,4,0.5302,0.2949,0.5072
P3,O3,Care Work Under Automation Pressure,5,0.5236,0.323,0.5296
P3,O3,Care Work Under Automation Pressure,6,0.517,0.3483,0.552
P3,O3,Care Work Under Automation Pressure,7,0.5104,0.3711,0.5744
P3,O3,Care Work Under Automation Pressure,8,0.5038,0.3916,0.5968
P3,O3,Care Work Under Automation Pressure,9,0.4972,0.41,0.6192
P3,O3,Care Work Under Automation Pressure,10,0.4606,0.4866,0.6416
P3,O3,Care Work Under Automation Pressure,11,0.454,0.4955,0.664
P3,O3,Care Work Under Automation Pressure,12,0.4474,0.5036,0.6864
P3,O3,Care Work Under Automation Pressure,13,0.4408,0.5108,0.7088
P3,O3,Care Work Under Automation Pressure,14,0.4342,0.5174,0.7312
P3,O3,Care Work Under Automation Pressure,15,0.4276,0.5232,0.7536
P3,O3,Care Work Under Automation Pressure,16,0.421,0.5285,0.776
P3,O3,Care Work Under Automation Pressure,17,0.4144,0.5332,0.7984
P3,O3,Care Work Under Automation Pressure,18,0.4078,0.5375,0.8208
P3,O3,Care Work Under Automation Pressure,19,0.4012,0.5414,0.8432
P3,O3,Care Work Under Automation Pressure,20,0.3646,0.6048,0.8656
P3,O3,Care Work Under Automation Pressure,21,0.358,0.6019,0.888
P3,O3,Care Work Under Automation Pressure,22,0.3514,0.5994,0.9104
P3,O3,Care Work Under Automation Pressure,23,0.3448,0.597,0.9328
P3,O3,Care Work Under Automation Pressure,24,0.3382,0.5949,0.9552
P3,O3,Care Work Under Automation Pressure,25,0.3316,0.593,0.9776
P3,O3,Care Work Under Automation Pressure,26,0.325,0.5913,1.0
P3,O3,Care Work Under Automation Pressure,27,0.3184,0.5898,1.0224
P3,O3,Care Work Under Automation Pressure,28,0.3118,0.5884,1.0448
P3,O3,Care Work Under Automation Pressure,29,0.3052,0.5872,1.0672
P3,O3,Care Work Under Automation Pressure,30,0.2686,0.6461,1.0896
P3,O3,Care Work Under Automation Pressure,31,0.262,0.639,1.112
P3,O3,Care Work Under Automation Pressure,32,0.2554,0.6327,1.1344
P3,O3,Care Work Under Automation Pressure,33,0.2488,0.6271,1.1568
P3,O3,Care Work Under Automation Pressure,34,0.2422,0.622,1.1792
P3,O3,Care Work Under Automation Pressure,35,0.2356,0.6174,1.2
P3,O3,Care Work Under Automation Pressure,36,0.229,0.6132,1.2
P3,O3,Care Work Under Automation Pressure,37,0.2224,0.6095,1.2
P3,O3,Care Work Under Automation Pressure,38,0.2158,0.6062,1.2
P3,O3,Care Work Under Automation Pressure,39,0.2092,0.6031,1.2
P3,O3,Care Work Under Automation Pressure,40,0.1726,0.6604,1.2
P4,O4,Knowledge Work AI Augmentation Pathway,1,0.7,0.1848,0.72
P4,O4,Knowledge Work AI Augmentation Pathway,2,0.7278,0.2291,0.7642
P4,O4,Knowledge Work AI Augmentation Pathway,3,0.7556,0.269,0.8084
P4,O4,Knowledge Work AI Augmentation Pathway,4,0.7834,0.3049,0.8526
P4,O4,Knowledge Work AI Augmentation Pathway,5,0.8112,0.3372,0.8968
P4,O4,Knowledge Work AI Augmentation Pathway,6,0.839,0.3663,0.941
P4,O4,Knowledge Work AI Augmentation Pathway,7,0.8668,0.3925,0.9852
P4,O4,Knowledge Work AI Augmentation Pathway,8,0.8946,0.416,1.0294
P4,O4,Knowledge Work AI Augmentation Pathway,9,0.9224,0.4372,1.0736
P4,O4,Knowledge Work AI Augmentation Pathway,10,0.9202,0.5163,1.1178
P4,O4,Knowledge Work AI Augmentation Pathway,11,0.948,0.5275,1.162
P4,O4,Knowledge Work AI Augmentation Pathway,12,0.9758,0.5375,1.2
P4,O4,Knowledge Work AI Augmentation Pathway,13,1.0036,0.5466,1.2
P4,O4,Knowledge Work AI Augmentation Pathway,14,1.0314,0.5547,1.2
P4,O4,Knowledge Work AI Augmentation Pathway,15,1.0592,0.562,1.2
P4,O4,Knowledge Work AI Augmentation Pathway,16,1.087,0.5686,1.2
P4,O4,Knowledge Work AI Augmentation Pathway,17,1.1148,0.5746,1.2
P4,O4,Knowledge Work AI Augmentation Pathway,18,1.1426,0.5799,1.2
P4,O4,Knowledge Work AI Augmentation Pathway,19,1.1704,0.5847,1.2
P4,O4,Knowledge Work AI Augmentation Pathway,20,1.1682,0.6491,1.2
P4,O4,Knowledge Work AI Augmentation Pathway,21,1.196,0.6469,1.2
P4,O4,Knowledge Work AI Augmentation Pathway,22,1.2238,0.6451,1.2
P4,O4,Knowledge Work AI Augmentation Pathway,23,1.2516,0.6433,1.2
P4,O4,Knowledge Work AI Augmentation Pathway,24,1.2794,0.6418,1.2
P4,O4,Knowledge Work AI Augmentation Pathway,25,1.3072,0.6404,1.2
P4,O4,Knowledge Work AI Augmentation Pathway,26,1.335,0.6392,1.2
P4,O4,Knowledge Work AI Augmentation Pathway,27,1.3628,0.6381,1.2
P4,O4,Knowledge Work AI Augmentation Pathway,28,1.3906,0.6371,1.2
P4,O4,Knowledge Work AI Augmentation Pathway,29,1.4184,0.6362,1.2
P4,O4,Knowledge Work AI Augmentation Pathway,30,1.4162,0.6953,1.2
P4,O4,Knowledge Work AI Augmentation Pathway,31,1.444,0.6886,1.2
P4,O4,Knowledge Work AI Augmentation Pathway,32,1.4718,0.6825,1.2
P4,O4,Knowledge Work AI Augmentation Pathway,33,1.4996,0.6771,1.2
P4,O4,Knowledge Work AI Augmentation Pathway,34,1.5,0.6722,1.2
P4,O4,Knowledge Work AI Augmentation Pathway,35,1.5,0.6678,1.2
P4,O4,Knowledge Work AI Augmentation Pathway,36,1.5,0.6638,1.2
P4,O4,Knowledge Work AI Augmentation Pathway,37,1.5,0.6602,1.2
P4,O4,Knowledge Work AI Augmentation Pathway,38,1.5,0.657,1.2
P4,O4,Knowledge Work AI Augmentation Pathway,39,1.5,0.6541,1.2
P4,O4,Knowledge Work AI Augmentation Pathway,40,1.4978,0.7115,1.2
P5,O5,Platform-Based Service Work Pathway,1,0.46,0.406,0.3
P5,O5,Platform-Based Service Work Pathway,2,0.393,0.4634,0.3068
P5,O5,Platform-Based Service Work Pathway,3,0.326,0.5151,0.3136
P5,O5,Platform-Based Service Work Pathway,4,0.259,0.5616,0.3204
P5,O5,Platform-Based Service Work Pathway,5,0.192,0.6034,0.3272
P5,O5,Platform-Based Service Work Pathway,6,0.125,0.6411,0.334
P5,O5,Platform-Based Service Work Pathway,7,0.058,0.675,0.3408
P5,O5,Platform-Based Service Work Pathway,8,0.0,0.7055,0.3476
P5,O5,Platform-Based Service Work Pathway,9,0.0,0.7329,0.3544
P5,O5,Platform-Based Service Work Pathway,10,0.0,0.8176,0.3612
P5,O5,Platform-Based Service Work Pathway,11,0.0,0.8339,0.368
P5,O5,Platform-Based Service Work Pathway,12,0.0,0.8485,0.3748
P5,O5,Platform-Based Service Work Pathway,13,0.0,0.8616,0.3816
P5,O5,Platform-Based Service Work Pathway,14,0.0,0.8735,0.3884
P5,O5,Platform-Based Service Work Pathway,15,0.0,0.8841,0.3952
P5,O5,Platform-Based Service Work Pathway,16,0.0,0.8937,0.402
P5,O5,Platform-Based Service Work Pathway,17,0.0,0.9023,0.4088
P5,O5,Platform-Based Service Work Pathway,18,0.0,0.9101,0.4156
P5,O5,Platform-Based Service Work Pathway,19,0.0,0.9171,0.4224
P5,O5,Platform-Based Service Work Pathway,20,0.0,0.9834,0.4292
P5,O5,Platform-Based Service Work Pathway,21,0.0,0.983,0.436
P5,O5,Platform-Based Service Work Pathway,22,0.0,0.9827,0.4428
P5,O5,Platform-Based Service Work Pathway,23,0.0,0.9825,0.4496
P5,O5,Platform-Based Service Work Pathway,24,0.0,0.9822,0.4564
P5,O5,Platform-Based Service Work Pathway,25,0.0,0.982,0.4632
P5,O5,Platform-Based Service Work Pathway,26,0.0,0.9818,0.47
P5,O5,Platform-Based Service Work Pathway,27,0.0,0.9816,0.4768
P5,O5,Platform-Based Service Work Pathway,28,0.0,0.9815,0.4836
P5,O5,Platform-Based Service Work Pathway,29,0.0,0.9813,0.4904
P5,O5,Platform-Based Service Work Pathway,30,0.0,1.0412,0.4972
P5,O5,Platform-Based Service Work Pathway,31,0.0,1.0351,0.504
P5,O5,Platform-Based Service Work Pathway,32,0.0,1.0296,0.5108
P5,O5,Platform-Based Service Work Pathway,33,0.0,1.0246,0.5176
P5,O5,Platform-Based Service Work Pathway,34,0.0,1.0201,0.5244
P5,O5,Platform-Based Service Work Pathway,35,0.0,1.0161,0.5312
P5,O5,Platform-Based Service Work Pathway,36,0.0,1.0125,0.538
P5,O5,Platform-Based Service Work Pathway,37,0.0,1.0093,0.5448
P5,O5,Platform-Based Service Work Pathway,38,0.0,1.0063,0.5516
P5,O5,Platform-Based Service Work Pathway,39,0.0,1.0037,0.5584
P5,O5,Platform-Based Service Work Pathway,40,0.0,1.0613,0.5652
P6,O6,Manufacturing Automation and Robotics Pathway,1,0.6,0.336,0.52
P6,O6,Manufacturing Automation and Robotics Pathway,2,0.5846,0.3872,0.5458
P6,O6,Manufacturing Automation and Robotics Pathway,3,0.5692,0.4333,0.5716
P6,O6,Manufacturing Automation and Robotics Pathway,4,0.5538,0.4748,0.5974
P6,O6,Manufacturing Automation and Robotics Pathway,5,0.5384,0.5121,0.6232
P6,O6,Manufacturing Automation and Robotics Pathway,6,0.523,0.5457,0.649
P6,O6,Manufacturing Automation and Robotics Pathway,7,0.5076,0.5759,0.6748
P6,O6,Manufacturing Automation and Robotics Pathway,8,0.4922,0.6031,0.7006
P6,O6,Manufacturing Automation and Robotics Pathway,9,0.4768,0.6276,0.7264
P6,O6,Manufacturing Automation and Robotics Pathway,10,0.4314,0.7096,0.7522
P6,O6,Manufacturing Automation and Robotics Pathway,11,0.416,0.7235,0.778
P6,O6,Manufacturing Automation and Robotics Pathway,12,0.4006,0.7359,0.8038
P6,O6,Manufacturing Automation and Robotics Pathway,13,0.3852,0.7471,0.8296
P6,O6,Manufacturing Automation and Robotics Pathway,14,0.3698,0.7572,0.8554
P6,O6,Manufacturing Automation and Robotics Pathway,15,0.3544,0.7663,0.8812
P6,O6,Manufacturing Automation and Robotics Pathway,16,0.339,0.7745,0.907
P6,O6,Manufacturing Automation and Robotics Pathway,17,0.3236,0.7818,0.9328
P6,O6,Manufacturing Automation and Robotics Pathway,18,0.3082,0.7884,0.9586
P6,O6,Manufacturing Automation and Robotics Pathway,19,0.2928,0.7944,0.9844
P6,O6,Manufacturing Automation and Robotics Pathway,20,0.2474,0.8598,1.0102
P6,O6,Manufacturing Automation and Robotics Pathway,21,0.232,0.8586,1.036
P6,O6,Manufacturing Automation and Robotics Pathway,22,0.2166,0.8575,1.0618
P6,O6,Manufacturing Automation and Robotics Pathway,23,0.2012,0.8566,1.0876
P6,O6,Manufacturing Automation and Robotics Pathway,24,0.1858,0.8557,1.1134
P6,O6,Manufacturing Automation and Robotics Pathway,25,0.1704,0.8549,1.1392
P6,O6,Manufacturing Automation and Robotics Pathway,26,0.155,0.8542,1.165
P6,O6,Manufacturing Automation and Robotics Pathway,27,0.1396,0.8536,1.1908
P6,O6,Manufacturing Automation and Robotics Pathway,28,0.1242,0.8531,1.2
P6,O6,Manufacturing Automation and Robotics Pathway,29,0.1088,0.8526,1.2
P6,O6,Manufacturing Automation and Robotics Pathway,30,0.0634,0.9121,1.2
P6,O6,Manufacturing Automation and Robotics Pathway,31,0.048,0.9057,1.2
P6,O6,Manufacturing Automation and Robotics Pathway,32,0.0326,0.8999,1.2
P6,O6,Manufacturing Automation and Robotics Pathway,33,0.0172,0.8947,1.2
P6,O6,Manufacturing Automation and Robotics Pathway,34,0.0018,0.8901,1.2
P6,O6,Manufacturing Automation and Robotics Pathway,35,0.0,0.8859,1.2
P6,O6,Manufacturing Automation and Robotics Pathway,36,0.0,0.8821,1.2
P6,O6,Manufacturing Automation and Robotics Pathway,37,0.0,0.8787,1.2
P6,O6,Manufacturing Automation and Robotics Pathway,38,0.0,0.8756,1.2
P6,O6,Manufacturing Automation and Robotics Pathway,39,0.0,0.8728,1.2
P6,O6,Manufacturing Automation and Robotics Pathway,40,0.0,0.9304,1.2
P7,O7,Logistics Algorithmic Management Pathway,1,0.5,0.4736,0.36
P7,O7,Logistics Algorithmic Management Pathway,2,0.4428,0.5316,0.3724
P7,O7,Logistics Algorithmic Management Pathway,3,0.3856,0.5839,0.3848
P7,O7,Logistics Algorithmic Management Pathway,4,0.3284,0.6309,0.3972
P7,O7,Logistics Algorithmic Management Pathway,5,0.2712,0.6732,0.4096
P7,O7,Logistics Algorithmic Management Pathway,6,0.214,0.7113,0.422
P7,O7,Logistics Algorithmic Management Pathway,7,0.1568,0.7456,0.4344
P7,O7,Logistics Algorithmic Management Pathway,8,0.0996,0.7764,0.4468
P7,O7,Logistics Algorithmic Management Pathway,9,0.0424,0.8042,0.4592
P7,O7,Logistics Algorithmic Management Pathway,10,0.0,0.8891,0.4716
P7,O7,Logistics Algorithmic Management Pathway,11,0.0,0.9056,0.484
P7,O7,Logistics Algorithmic Management Pathway,12,0.0,0.9205,0.4964
P7,O7,Logistics Algorithmic Management Pathway,13,0.0,0.9338,0.5088
P7,O7,Logistics Algorithmic Management Pathway,14,0.0,0.9458,0.5212
P7,O7,Logistics Algorithmic Management Pathway,15,0.0,0.9567,0.5336
P7,O7,Logistics Algorithmic Management Pathway,16,0.0,0.9664,0.546
P7,O7,Logistics Algorithmic Management Pathway,17,0.0,0.9751,0.5584
P7,O7,Logistics Algorithmic Management Pathway,18,0.0,0.983,0.5708
P7,O7,Logistics Algorithmic Management Pathway,19,0.0,0.9901,0.5832
P7,O7,Logistics Algorithmic Management Pathway,20,0.0,1.0565,0.5956
P7,O7,Logistics Algorithmic Management Pathway,21,0.0,1.0563,0.608
P7,O7,Logistics Algorithmic Management Pathway,22,0.0,1.056,0.6204
P7,O7,Logistics Algorithmic Management Pathway,23,0.0,1.0558,0.6328
P7,O7,Logistics Algorithmic Management Pathway,24,0.0,1.0557,0.6452
P7,O7,Logistics Algorithmic Management Pathway,25,0.0,1.0555,0.6576
P7,O7,Logistics Algorithmic Management Pathway,26,0.0,1.0553,0.67
P7,O7,Logistics Algorithmic Management Pathway,27,0.0,1.0552,0.6824
P7,O7,Logistics Algorithmic Management Pathway,28,0.0,1.0551,0.6948
P7,O7,Logistics Algorithmic Management Pathway,29,0.0,1.055,0.7072
P7,O7,Logistics Algorithmic Management Pathway,30,0.0,1.1149,0.7196
P7,O7,Logistics Algorithmic Management Pathway,31,0.0,1.1088,0.732
P7,O7,Logistics Algorithmic Management Pathway,32,0.0,1.1033,0.7444
P7,O7,Logistics Algorithmic Management Pathway,33,0.0,1.0984,0.7568
P7,O7,Logistics Algorithmic Management Pathway,34,0.0,1.0939,0.7692
P7,O7,Logistics Algorithmic Management Pathway,35,0.0,1.0899,0.7816
P7,O7,Logistics Algorithmic Management Pathway,36,0.0,1.0864,0.794
P7,O7,Logistics Algorithmic Management Pathway,37,0.0,1.0831,0.8064
P7,O7,Logistics Algorithmic Management Pathway,38,0.0,1.0802,0.8188
P7,O7,Logistics Algorithmic Management Pathway,39,0.0,1.0776,0.8312
P7,O7,Logistics Algorithmic Management Pathway,40,0.0,1.1352,0.8436
P8,O8,Education AI Augmentation Pathway,1,0.66,0.184,0.6
P8,O8,Education AI Augmentation Pathway,2,0.6862,0.2176,0.636
P8,O8,Education AI Augmentation Pathway,3,0.7124,0.2478,0.672
P8,O8,Education AI Augmentation Pathway,4,0.7386,0.2751,0.708
P8,O8,Education AI Augmentation Pathway,5,0.7648,0.2996,0.744
P8,O8,Education AI Augmentation Pathway,6,0.791,0.3216,0.78
P8,O8,Education AI Augmentation Pathway,7,0.8172,0.3414,0.816
P8,O8,Education AI Augmentation Pathway,8,0.8434,0.3593,0.852
P8,O8,Education AI Augmentation Pathway,9,0.8696,0.3754,0.888
P8,O8,Education AI Augmentation Pathway,10,0.8658,0.4498,0.924
P8,O8,Education AI Augmentation Pathway,11,0.892,0.4568,0.96
P8,O8,Education AI Augmentation Pathway,12,0.9182,0.4632,0.996
P8,O8,Education AI Augmentation Pathway,13,0.9444,0.4688,1.032
P8,O8,Education AI Augmentation Pathway,14,0.9706,0.474,1.068
P8,O8,Education AI Augmentation Pathway,15,0.9968,0.4786,1.104
P8,O8,Education AI Augmentation Pathway,16,1.023,0.4827,1.14
P8,O8,Education AI Augmentation Pathway,17,1.0492,0.4864,1.176
P8,O8,Education AI Augmentation Pathway,18,1.0754,0.4898,1.2
P8,O8,Education AI Augmentation Pathway,19,1.1016,0.4928,1.2
P8,O8,Education AI Augmentation Pathway,20,1.0978,0.5555,1.2
P8,O8,Education AI Augmentation Pathway,21,1.124,0.552,1.2
P8,O8,Education AI Augmentation Pathway,22,1.1502,0.5488,1.2
P8,O8,Education AI Augmentation Pathway,23,1.1764,0.5459,1.2
P8,O8,Education AI Augmentation Pathway,24,1.2026,0.5433,1.2
P8,O8,Education AI Augmentation Pathway,25,1.2288,0.541,1.2
P8,O8,Education AI Augmentation Pathway,26,1.255,0.5389,1.2
P8,O8,Education AI Augmentation Pathway,27,1.2812,0.537,1.2
P8,O8,Education AI Augmentation Pathway,28,1.3074,0.5353,1.2
P8,O8,Education AI Augmentation Pathway,29,1.3336,0.5338,1.2
P8,O8,Education AI Augmentation Pathway,30,1.3298,0.5924,1.2
P8,O8,Education AI Augmentation Pathway,31,1.356,0.5852,1.2
P8,O8,Education AI Augmentation Pathway,32,1.3822,0.5786,1.2
P8,O8,Education AI Augmentation Pathway,33,1.4084,0.5728,1.2
P8,O8,Education AI Augmentation Pathway,34,1.4346,0.5675,1.2
P8,O8,Education AI Augmentation Pathway,35,1.4608,0.5627,1.2
P8,O8,Education AI Augmentation Pathway,36,1.487,0.5585,1.2
P8,O8,Education AI Augmentation Pathway,37,1.5,0.5546,1.2
P8,O8,Education AI Augmentation Pathway,38,1.5,0.5512,1.2
P8,O8,Education AI Augmentation Pathway,39,1.5,0.548,1.2
P8,O8,Education AI Augmentation Pathway,40,1.4962,0.6052,1.2
