scenario_id,scenario_name,strategy_id,strategy_name,time_step,system_state,adaptive_capacity,governance_capacity,public_trust,distributional_pressure
S1,Baseline Continuity,T1,Efficiency Optimization,40,2.0,0.1976,0.66,0.64,0.48
S1,Baseline Continuity,T2,Robust Resilience Portfolio,1,1.04,0.05,0.66,0.64,0.48
S1,Baseline Continuity,T2,Robust Resilience Portfolio,2,1.1397,0.0572,0.66,0.64,0.48
S1,Baseline Continuity,T2,Robust Resilience Portfolio,3,1.2467,0.0644,0.66,0.64,0.48
S1,Baseline Continuity,T2,Robust Resilience Portfolio,4,1.3608,0.0716,0.66,0.64,0.48
S1,Baseline Continuity,T2,Robust Resilience Portfolio,5,1.4821,0.0788,0.66,0.64,0.48
S1,Baseline Continuity,T2,Robust Resilience Portfolio,6,1.6106,0.0859,0.66,0.64,0.48
S1,Baseline Continuity,T2,Robust Resilience Portfolio,7,1.7463,0.0931,0.66,0.64,0.48
S1,Baseline Continuity,T2,Robust Resilience Portfolio,8,1.8892,0.1003,0.66,0.64,0.48
S1,Baseline Continuity,T2,Robust Resilience Portfolio,9,2.0,0.1075,0.66,0.64,0.48
S1,Baseline Continuity,T2,Robust Resilience Portfolio,10,2.0,0.1147,0.66,0.64,0.48
S1,Baseline Continuity,T2,Robust Resilience Portfolio,11,2.0,0.1219,0.66,0.64,0.48
S1,Baseline Continuity,T2,Robust Resilience Portfolio,12,2.0,0.1291,0.66,0.64,0.48
S1,Baseline Continuity,T2,Robust Resilience Portfolio,13,2.0,0.1363,0.66,0.64,0.48
S1,Baseline Continuity,T2,Robust Resilience Portfolio,14,2.0,0.1434,0.66,0.64,0.48
S1,Baseline Continuity,T2,Robust Resilience Portfolio,15,2.0,0.1506,0.66,0.64,0.48
S1,Baseline Continuity,T2,Robust Resilience Portfolio,16,2.0,0.1578,0.66,0.64,0.48
S1,Baseline Continuity,T2,Robust Resilience Portfolio,17,2.0,0.165,0.66,0.64,0.48
S1,Baseline Continuity,T2,Robust Resilience Portfolio,18,2.0,0.1722,0.66,0.64,0.48
S1,Baseline Continuity,T2,Robust Resilience Portfolio,19,2.0,0.1794,0.66,0.64,0.48
S1,Baseline Continuity,T2,Robust Resilience Portfolio,20,2.0,0.1866,0.66,0.64,0.48
S1,Baseline Continuity,T2,Robust Resilience Portfolio,21,2.0,0.1938,0.66,0.64,0.48
S1,Baseline Continuity,T2,Robust Resilience Portfolio,22,2.0,0.2009,0.66,0.64,0.48
S1,Baseline Continuity,T2,Robust Resilience Portfolio,23,2.0,0.2081,0.66,0.64,0.48
S1,Baseline Continuity,T2,Robust Resilience Portfolio,24,2.0,0.2153,0.66,0.64,0.48
S1,Baseline Continuity,T2,Robust Resilience Portfolio,25,2.0,0.2225,0.66,0.64,0.48
S1,Baseline Continuity,T2,Robust Resilience Portfolio,26,2.0,0.2297,0.66,0.64,0.48
S1,Baseline Continuity,T2,Robust Resilience Portfolio,27,2.0,0.2369,0.66,0.64,0.48
S1,Baseline Continuity,T2,Robust Resilience Portfolio,28,2.0,0.2441,0.66,0.64,0.48
S1,Baseline Continuity,T2,Robust Resilience Portfolio,29,2.0,0.2513,0.66,0.64,0.48
S1,Baseline Continuity,T2,Robust Resilience Portfolio,30,2.0,0.2585,0.66,0.64,0.48
S1,Baseline Continuity,T2,Robust Resilience Portfolio,31,2.0,0.2656,0.66,0.64,0.48
S1,Baseline Continuity,T2,Robust Resilience Portfolio,32,2.0,0.2728,0.66,0.64,0.48
S1,Baseline Continuity,T2,Robust Resilience Portfolio,33,2.0,0.28,0.66,0.64,0.48
S1,Baseline Continuity,T2,Robust Resilience Portfolio,34,2.0,0.2872,0.66,0.64,0.48
S1,Baseline Continuity,T2,Robust Resilience Portfolio,35,2.0,0.2944,0.66,0.64,0.48
S1,Baseline Continuity,T2,Robust Resilience Portfolio,36,2.0,0.3,0.66,0.64,0.48
S1,Baseline Continuity,T2,Robust Resilience Portfolio,37,2.0,0.3,0.66,0.64,0.48
S1,Baseline Continuity,T2,Robust Resilience Portfolio,38,2.0,0.3,0.66,0.64,0.48
S1,Baseline Continuity,T2,Robust Resilience Portfolio,39,2.0,0.3,0.66,0.64,0.48
S1,Baseline Continuity,T2,Robust Resilience Portfolio,40,2.0,0.3,0.66,0.64,0.48
S1,Baseline Continuity,T3,Adaptive Governance,1,1.03,0.07,0.66,0.64,0.48
S1,Baseline Continuity,T3,Adaptive Governance,2,1.1509,0.078,0.66,0.64,0.48
S1,Baseline Continuity,T3,Adaptive Governance,3,1.2799,0.086,0.66,0.64,0.48
S1,Baseline Continuity,T3,Adaptive Governance,4,1.4169,0.0941,0.66,0.64,0.48
S1,Baseline Continuity,T3,Adaptive Governance,5,1.5619,0.1021,0.66,0.64,0.48
S1,Baseline Continuity,T3,Adaptive Governance,6,1.7149,0.1101,0.66,0.64,0.48
S1,Baseline Continuity,T3,Adaptive Governance,7,1.8759,0.1181,0.66,0.64,0.48
S1,Baseline Continuity,T3,Adaptive Governance,8,2.0,0.1261,0.66,0.64,0.48
S1,Baseline Continuity,T3,Adaptive Governance,9,2.0,0.1342,0.66,0.64,0.48
S1,Baseline Continuity,T3,Adaptive Governance,10,2.0,0.1422,0.66,0.64,0.48
S1,Baseline Continuity,T3,Adaptive Governance,11,2.0,0.1502,0.66,0.64,0.48
S1,Baseline Continuity,T3,Adaptive Governance,12,2.0,0.1582,0.66,0.64,0.48
S1,Baseline Continuity,T3,Adaptive Governance,13,2.0,0.1662,0.66,0.64,0.48
S1,Baseline Continuity,T3,Adaptive Governance,14,2.0,0.1743,0.66,0.64,0.48
S1,Baseline Continuity,T3,Adaptive Governance,15,2.0,0.1823,0.66,0.64,0.48
S1,Baseline Continuity,T3,Adaptive Governance,16,2.0,0.1903,0.66,0.64,0.48
S1,Baseline Continuity,T3,Adaptive Governance,17,2.0,0.1983,0.66,0.64,0.48
S1,Baseline Continuity,T3,Adaptive Governance,18,2.0,0.2063,0.66,0.64,0.48
S1,Baseline Continuity,T3,Adaptive Governance,19,2.0,0.2144,0.66,0.64,0.48
S1,Baseline Continuity,T3,Adaptive Governance,20,2.0,0.2224,0.66,0.64,0.48
S1,Baseline Continuity,T3,Adaptive Governance,21,2.0,0.2304,0.66,0.64,0.48
S1,Baseline Continuity,T3,Adaptive Governance,22,2.0,0.2384,0.66,0.64,0.48
S1,Baseline Continuity,T3,Adaptive Governance,23,2.0,0.2464,0.66,0.64,0.48
S1,Baseline Continuity,T3,Adaptive Governance,24,2.0,0.2545,0.66,0.64,0.48
S1,Baseline Continuity,T3,Adaptive Governance,25,2.0,0.2625,0.66,0.64,0.48
S1,Baseline Continuity,T3,Adaptive Governance,26,2.0,0.2705,0.66,0.64,0.48
S1,Baseline Continuity,T3,Adaptive Governance,27,2.0,0.2785,0.66,0.64,0.48
S1,Baseline Continuity,T3,Adaptive Governance,28,2.0,0.2865,0.66,0.64,0.48
S1,Baseline Continuity,T3,Adaptive Governance,29,2.0,0.2946,0.66,0.64,0.48
S1,Baseline Continuity,T3,Adaptive Governance,30,2.0,0.3,0.66,0.64,0.48
S1,Baseline Continuity,T3,Adaptive Governance,31,2.0,0.3,0.66,0.64,0.48
S1,Baseline Continuity,T3,Adaptive Governance,32,2.0,0.3,0.66,0.64,0.48
S1,Baseline Continuity,T3,Adaptive Governance,33,2.0,0.3,0.66,0.64,0.48
S1,Baseline Continuity,T3,Adaptive Governance,34,2.0,0.3,0.66,0.64,0.48
S1,Baseline Continuity,T3,Adaptive Governance,35,2.0,0.3,0.66,0.64,0.48
S1,Baseline Continuity,T3,Adaptive Governance,36,2.0,0.3,0.66,0.64,0.48
S1,Baseline Continuity,T3,Adaptive Governance,37,2.0,0.3,0.66,0.64,0.48
S1,Baseline Continuity,T3,Adaptive Governance,38,2.0,0.3,0.66,0.64,0.48
S1,Baseline Continuity,T3,Adaptive Governance,39,2.0,0.3,0.66,0.64,0.48
S1,Baseline Continuity,T3,Adaptive Governance,40,2.0,0.3,0.66,0.64,0.48
S1,Baseline Continuity,T4,Justice-Centered Transformation,1,1.02,0.08,0.66,0.64,0.48
S1,Baseline Continuity,T4,Justice-Centered Transformation,2,1.1502,0.0884,0.66,0.64,0.48
S1,Baseline Continuity,T4,Justice-Centered Transformation,3,1.2887,0.0969,0.66,0.64,0.48
S1,Baseline Continuity,T4,Justice-Centered Transformation,4,1.4358,0.1053,0.66,0.64,0.48
S1,Baseline Continuity,T4,Justice-Centered Transformation,5,1.5912,0.1137,0.66,0.64,0.48
S1,Baseline Continuity,T4,Justice-Centered Transformation,6,1.7551,0.1222,0.66,0.64,0.48
S1,Baseline Continuity,T4,Justice-Centered Transformation,7,1.9275,0.1306,0.66,0.64,0.48
S1,Baseline Continuity,T4,Justice-Centered Transformation,8,2.0,0.1391,0.66,0.64,0.48
S1,Baseline Continuity,T4,Justice-Centered Transformation,9,2.0,0.1475,0.66,0.64,0.48
S1,Baseline Continuity,T4,Justice-Centered Transformation,10,2.0,0.1559,0.66,0.64,0.48
S1,Baseline Continuity,T4,Justice-Centered Transformation,11,2.0,0.1644,0.66,0.64,0.48
S1,Baseline Continuity,T4,Justice-Centered Transformation,12,2.0,0.1728,0.66,0.64,0.48
S1,Baseline Continuity,T4,Justice-Centered Transformation,13,2.0,0.1812,0.66,0.64,0.48
S1,Baseline Continuity,T4,Justice-Centered Transformation,14,2.0,0.1897,0.66,0.64,0.48
S1,Baseline Continuity,T4,Justice-Centered Transformation,15,2.0,0.1981,0.66,0.64,0.48
S1,Baseline Continuity,T4,Justice-Centered Transformation,16,2.0,0.2065,0.66,0.64,0.48
S1,Baseline Continuity,T4,Justice-Centered Transformation,17,2.0,0.215,0.66,0.64,0.48
S1,Baseline Continuity,T4,Justice-Centered Transformation,18,2.0,0.2234,0.66,0.64,0.48
S1,Baseline Continuity,T4,Justice-Centered Transformation,19,2.0,0.2318,0.66,0.64,0.48
S1,Baseline Continuity,T4,Justice-Centered Transformation,20,2.0,0.2403,0.66,0.64,0.48
S1,Baseline Continuity,T4,Justice-Centered Transformation,21,2.0,0.2487,0.66,0.64,0.48
S1,Baseline Continuity,T4,Justice-Centered Transformation,22,2.0,0.2572,0.66,0.64,0.48
S1,Baseline Continuity,T4,Justice-Centered Transformation,23,2.0,0.2656,0.66,0.64,0.48
S1,Baseline Continuity,T4,Justice-Centered Transformation,24,2.0,0.274,0.66,0.64,0.48
S1,Baseline Continuity,T4,Justice-Centered Transformation,25,2.0,0.2825,0.66,0.64,0.48
S1,Baseline Continuity,T4,Justice-Centered Transformation,26,2.0,0.2909,0.66,0.64,0.48
S1,Baseline Continuity,T4,Justice-Centered Transformation,27,2.0,0.2993,0.66,0.64,0.48
S1,Baseline Continuity,T4,Justice-Centered Transformation,28,2.0,0.3,0.66,0.64,0.48
S1,Baseline Continuity,T4,Justice-Centered Transformation,29,2.0,0.3,0.66,0.64,0.48
S1,Baseline Continuity,T4,Justice-Centered Transformation,30,2.0,0.3,0.66,0.64,0.48
S1,Baseline Continuity,T4,Justice-Centered Transformation,31,2.0,0.3,0.66,0.64,0.48
S1,Baseline Continuity,T4,Justice-Centered Transformation,32,2.0,0.3,0.66,0.64,0.48
S1,Baseline Continuity,T4,Justice-Centered Transformation,33,2.0,0.3,0.66,0.64,0.48
S1,Baseline Continuity,T4,Justice-Centered Transformation,34,2.0,0.3,0.66,0.64,0.48
S1,Baseline Continuity,T4,Justice-Centered Transformation,35,2.0,0.3,0.66,0.64,0.48
S1,Baseline Continuity,T4,Justice-Centered Transformation,36,2.0,0.3,0.66,0.64,0.48
S1,Baseline Continuity,T4,Justice-Centered Transformation,37,2.0,0.3,0.66,0.64,0.48
S1,Baseline Continuity,T4,Justice-Centered Transformation,38,2.0,0.3,0.66,0.64,0.48
S1,Baseline Continuity,T4,Justice-Centered Transformation,39,2.0,0.3,0.66,0.64,0.48
S1,Baseline Continuity,T4,Justice-Centered Transformation,40,2.0,0.3,0.66,0.64,0.48
S1,Baseline Continuity,T5,Low-Cost Continuity,1,1.03,0.025,0.66,0.64,0.48
S1,Baseline Continuity,T5,Low-Cost Continuity,2,1.0889,0.0286,0.66,0.64,0.48
S1,Baseline Continuity,T5,Low-Cost Continuity,3,1.1514,0.0321,0.66,0.64,0.48
S1,Baseline Continuity,T5,Low-Cost Continuity,4,1.2175,0.0357,0.66,0.64,0.48
S1,Baseline Continuity,T5,Low-Cost Continuity,5,1.2872,0.0393,0.66,0.64,0.48
S1,Baseline Continuity,T5,Low-Cost Continuity,6,1.3604,0.0429,0.66,0.64,0.48
S1,Baseline Continuity,T5,Low-Cost Continuity,7,1.4372,0.0464,0.66,0.64,0.48
S1,Baseline Continuity,T5,Low-Cost Continuity,8,1.4842,0.05,0.66,0.64,0.48
S1,Baseline Continuity,T5,Low-Cost Continuity,9,1.5682,0.0536,0.66,0.64,0.48
S1,Baseline Continuity,T5,Low-Cost Continuity,10,1.6557,0.0572,0.66,0.64,0.48
S1,Baseline Continuity,T5,Low-Cost Continuity,11,1.7468,0.0607,0.66,0.64,0.48
S1,Baseline Continuity,T5,Low-Cost Continuity,12,1.8414,0.0643,0.66,0.64,0.48
S1,Baseline Continuity,T5,Low-Cost Continuity,13,1.9397,0.0679,0.66,0.64,0.48
S1,Baseline Continuity,T5,Low-Cost Continuity,14,2.0,0.0715,0.66,0.64,0.48
S1,Baseline Continuity,T5,Low-Cost Continuity,15,2.0,0.075,0.66,0.64,0.48
S1,Baseline Continuity,T5,Low-Cost Continuity,16,2.0,0.0786,0.66,0.64,0.48
S1,Baseline Continuity,T5,Low-Cost Continuity,17,2.0,0.0822,0.66,0.64,0.48
S1,Baseline Continuity,T5,Low-Cost Continuity,18,2.0,0.0858,0.66,0.64,0.48
S1,Baseline Continuity,T5,Low-Cost Continuity,19,2.0,0.0893,0.66,0.64,0.48
S1,Baseline Continuity,T5,Low-Cost Continuity,20,2.0,0.0929,0.66,0.64,0.48
S1,Baseline Continuity,T5,Low-Cost Continuity,21,2.0,0.0965,0.66,0.64,0.48
S1,Baseline Continuity,T5,Low-Cost Continuity,22,2.0,0.1001,0.66,0.64,0.48
S1,Baseline Continuity,T5,Low-Cost Continuity,23,2.0,0.1036,0.66,0.64,0.48
S1,Baseline Continuity,T5,Low-Cost Continuity,24,2.0,0.1072,0.66,0.64,0.48
S1,Baseline Continuity,T5,Low-Cost Continuity,25,2.0,0.1108,0.66,0.64,0.48
S1,Baseline Continuity,T5,Low-Cost Continuity,26,2.0,0.1143,0.66,0.64,0.48
S1,Baseline Continuity,T5,Low-Cost Continuity,27,2.0,0.1179,0.66,0.64,0.48
S1,Baseline Continuity,T5,Low-Cost Continuity,28,2.0,0.1215,0.66,0.64,0.48
S1,Baseline Continuity,T5,Low-Cost Continuity,29,2.0,0.1251,0.66,0.64,0.48
S1,Baseline Continuity,T5,Low-Cost Continuity,30,2.0,0.1286,0.66,0.64,0.48
S1,Baseline Continuity,T5,Low-Cost Continuity,31,2.0,0.1322,0.66,0.64,0.48
S1,Baseline Continuity,T5,Low-Cost Continuity,32,2.0,0.1358,0.66,0.64,0.48
S1,Baseline Continuity,T5,Low-Cost Continuity,33,2.0,0.1394,0.66,0.64,0.48
S1,Baseline Continuity,T5,Low-Cost Continuity,34,2.0,0.1429,0.66,0.64,0.48
S1,Baseline Continuity,T5,Low-Cost Continuity,35,2.0,0.1465,0.66,0.64,0.48
S1,Baseline Continuity,T5,Low-Cost Continuity,36,2.0,0.1501,0.66,0.64,0.48
S1,Baseline Continuity,T5,Low-Cost Continuity,37,2.0,0.1537,0.66,0.64,0.48
S1,Baseline Continuity,T5,Low-Cost Continuity,38,2.0,0.1572,0.66,0.64,0.48
S1,Baseline Continuity,T5,Low-Cost Continuity,39,2.0,0.1608,0.66,0.64,0.48
S1,Baseline Continuity,T5,Low-Cost Continuity,40,2.0,0.1644,0.66,0.64,0.48
S2,High Disruption,T1,Efficiency Optimization,1,1.08,0.01,0.42,0.38,0.82
S2,High Disruption,T1,Efficiency Optimization,2,1.0693,0.0129,0.42,0.38,0.82
S2,High Disruption,T1,Efficiency Optimization,3,1.0615,0.0158,0.42,0.38,0.82
S2,High Disruption,T1,Efficiency Optimization,4,1.0566,0.0187,0.42,0.38,0.82
S2,High Disruption,T1,Efficiency Optimization,5,1.0546,0.0216,0.42,0.38,0.82
S2,High Disruption,T1,Efficiency Optimization,6,1.0555,0.0245,0.42,0.38,0.82
S2,High Disruption,T1,Efficiency Optimization,7,1.0593,0.0274,0.42,0.38,0.82
S2,High Disruption,T1,Efficiency Optimization,8,0.9727,0.0303,0.42,0.38,0.82
S2,High Disruption,T1,Efficiency Optimization,9,0.9808,0.0333,0.42,0.38,0.82
S2,High Disruption,T1,Efficiency Optimization,10,0.9924,0.0363,0.42,0.38,0.82
S2,High Disruption,T1,Efficiency Optimization,11,1.0076,0.0393,0.42,0.38,0.82
S2,High Disruption,T1,Efficiency Optimization,12,1.0261,0.0421,0.42,0.38,0.82
S2,High Disruption,T1,Efficiency Optimization,13,1.0476,0.045,0.42,0.38,0.82
S2,High Disruption,T1,Efficiency Optimization,14,1.072,0.0479,0.42,0.38,0.82
S2,High Disruption,T1,Efficiency Optimization,15,1.0992,0.0508,0.42,0.38,0.82
S2,High Disruption,T1,Efficiency Optimization,16,1.036,0.0537,0.42,0.38,0.82
S2,High Disruption,T1,Efficiency Optimization,17,1.0691,0.0566,0.42,0.38,0.82
S2,High Disruption,T1,Efficiency Optimization,18,1.105,0.0595,0.42,0.38,0.82
S2,High Disruption,T1,Efficiency Optimization,19,1.1439,0.0624,0.42,0.38,0.82
S2,High Disruption,T1,Efficiency Optimization,20,1.1856,0.0653,0.42,0.38,0.82
S2,High Disruption,T1,Efficiency Optimization,21,1.2303,0.0682,0.42,0.38,0.82
S2,High Disruption,T1,Efficiency Optimization,22,1.2778,0.0711,0.42,0.38,0.82
S2,High Disruption,T1,Efficiency Optimization,23,1.3283,0.074,0.42,0.38,0.82
S2,High Disruption,T1,Efficiency Optimization,24,1.2883,0.0769,0.42,0.38,0.82
S2,High Disruption,T1,Efficiency Optimization,25,1.3445,0.0798,0.42,0.38,0.82
S2,High Disruption,T1,Efficiency Optimization,26,1.4036,0.0827,0.42,0.38,0.82
S2,High Disruption,T1,Efficiency Optimization,27,1.4657,0.0856,0.42,0.38,0.82
S2,High Disruption,T1,Efficiency Optimization,28,1.5306,0.0885,0.42,0.38,0.82
S2,High Disruption,T1,Efficiency Optimization,29,1.5984,0.0914,0.42,0.38,0.82
S2,High Disruption,T1,Efficiency Optimization,30,1.6692,0.0943,0.42,0.38,0.82
S2,High Disruption,T1,Efficiency Optimization,31,1.7428,0.0972,0.42,0.38,0.82
S2,High Disruption,T1,Efficiency Optimization,32,1.726,0.1001,0.42,0.38,0.82
S2,High Disruption,T1,Efficiency Optimization,33,1.8054,0.103,0.42,0.38,0.82
S2,High Disruption,T1,Efficiency Optimization,34,1.8877,0.1059,0.42,0.38,0.82
S2,High Disruption,T1,Efficiency Optimization,35,1.9729,0.1088,0.42,0.38,0.82
S2,High Disruption,T1,Efficiency Optimization,36,2.0,0.1117,0.42,0.38,0.82
S2,High Disruption,T1,Efficiency Optimization,37,2.0,0.1146,0.42,0.38,0.82
S2,High Disruption,T1,Efficiency Optimization,38,2.0,0.1175,0.42,0.38,0.82
S2,High Disruption,T1,Efficiency Optimization,39,2.0,0.1204,0.42,0.38,0.82
S2,High Disruption,T1,Efficiency Optimization,40,2.0,0.1233,0.42,0.38,0.82
S2,High Disruption,T2,Robust Resilience Portfolio,1,1.04,0.04,0.42,0.38,0.82
S2,High Disruption,T2,Robust Resilience Portfolio,2,1.1032,0.0446,0.42,0.38,0.82
S2,High Disruption,T2,Robust Resilience Portfolio,3,1.1709,0.0492,0.42,0.38,0.82
S2,High Disruption,T2,Robust Resilience Portfolio,4,1.2433,0.0538,0.42,0.38,0.82
S2,High Disruption,T2,Robust Resilience Portfolio,5,1.3202,0.0584,0.42,0.38,0.82
S2,High Disruption,T2,Robust Resilience Portfolio,6,1.4017,0.063,0.42,0.38,0.82
S2,High Disruption,T2,Robust Resilience Portfolio,7,1.4879,0.0676,0.42,0.38,0.82
S2,High Disruption,T2,Robust Resilience Portfolio,8,1.4986,0.0722,0.42,0.38,0.82
S2,High Disruption,T2,Robust Resilience Portfolio,9,1.5939,0.0768,0.42,0.38,0.82
S2,High Disruption,T2,Robust Resilience Portfolio,10,1.6939,0.0814,0.42,0.38,0.82
S2,High Disruption,T2,Robust Resilience Portfolio,11,1.7984,0.086,0.42,0.38,0.82
S2,High Disruption,T2,Robust Resilience Portfolio,12,1.9075,0.0906,0.42,0.38,0.82
S2,High Disruption,T2,Robust Resilience Portfolio,13,2.0,0.0952,0.42,0.38,0.82
S2,High Disruption,T2,Robust Resilience Portfolio,14,2.0,0.0997,0.42,0.38,0.82
S2,High Disruption,T2,Robust Resilience Portfolio,15,2.0,0.1043,0.42,0.38,0.82
S2,High Disruption,T2,Robust Resilience Portfolio,16,2.0,0.1089,0.42,0.38,0.82
S2,High Disruption,T2,Robust Resilience Portfolio,17,2.0,0.1135,0.42,0.38,0.82
S2,High Disruption,T2,Robust Resilience Portfolio,18,2.0,0.1181,0.42,0.38,0.82
S2,High Disruption,T2,Robust Resilience Portfolio,19,2.0,0.1227,0.42,0.38,0.82
S2,High Disruption,T2,Robust Resilience Portfolio,20,2.0,0.1273,0.42,0.38,0.82
S2,High Disruption,T2,Robust Resilience Portfolio,21,2.0,0.1319,0.42,0.38,0.82
S2,High Disruption,T2,Robust Resilience Portfolio,22,2.0,0.1365,0.42,0.38,0.82
S2,High Disruption,T2,Robust Resilience Portfolio,23,2.0,0.1411,0.42,0.38,0.82
S2,High Disruption,T2,Robust Resilience Portfolio,24,2.0,0.1457,0.42,0.38,0.82
S2,High Disruption,T2,Robust Resilience Portfolio,25,2.0,0.1503,0.42,0.38,0.82
S2,High Disruption,T2,Robust Resilience Portfolio,26,2.0,0.1549,0.42,0.38,0.82
S2,High Disruption,T2,Robust Resilience Portfolio,27,2.0,0.1595,0.42,0.38,0.82
S2,High Disruption,T2,Robust Resilience Portfolio,28,2.0,0.1641,0.42,0.38,0.82
S2,High Disruption,T2,Robust Resilience Portfolio,29,2.0,0.1687,0.42,0.38,0.82
S2,High Disruption,T2,Robust Resilience Portfolio,30,2.0,0.1733,0.42,0.38,0.82
S2,High Disruption,T2,Robust Resilience Portfolio,31,2.0,0.1779,0.42,0.38,0.82
S2,High Disruption,T2,Robust Resilience Portfolio,32,2.0,0.1825,0.42,0.38,0.82
S2,High Disruption,T2,Robust Resilience Portfolio,33,2.0,0.1871,0.42,0.38,0.82
S2,High Disruption,T2,Robust Resilience Portfolio,34,2.0,0.1917,0.42,0.38,0.82
S2,High Disruption,T2,Robust Resilience Portfolio,35,2.0,0.1963,0.42,0.38,0.82
S2,High Disruption,T2,Robust Resilience Portfolio,36,2.0,0.2009,0.42,0.38,0.82
S2,High Disruption,T2,Robust Resilience Portfolio,37,2.0,0.2055,0.42,0.38,0.82
S2,High Disruption,T2,Robust Resilience Portfolio,38,2.0,0.2101,0.42,0.38,0.82
S2,High Disruption,T2,Robust Resilience Portfolio,39,2.0,0.2146,0.42,0.38,0.82
S2,High Disruption,T2,Robust Resilience Portfolio,40,2.0,0.2192,0.42,0.38,0.82
S2,High Disruption,T3,Adaptive Governance,1,1.03,0.06,0.42,0.38,0.82
S2,High Disruption,T3,Adaptive Governance,2,1.1053,0.0651,0.42,0.38,0.82
S2,High Disruption,T3,Adaptive Governance,3,1.1857,0.0703,0.42,0.38,0.82
S2,High Disruption,T3,Adaptive Governance,4,1.2713,0.0754,0.42,0.38,0.82
S2,High Disruption,T3,Adaptive Governance,5,1.362,0.0806,0.42,0.38,0.82
S2,High Disruption,T3,Adaptive Governance,6,1.4579,0.0857,0.42,0.38,0.82
S2,High Disruption,T3,Adaptive Governance,7,1.5589,0.0908,0.42,0.38,0.82
