pathway_id,strategy_id,scenario_id,pathway_name,time_step,strategic_viability,strategic_option_value,fragility_score,learning_score
PW1,SP1,SC2,Legacy Strategy Under Fragmented Markets,32,1.8,1.4233,0.0,1.4
PW1,SP1,SC2,Legacy Strategy Under Fragmented Markets,33,1.8,1.458,0.0,1.4
PW1,SP1,SC2,Legacy Strategy Under Fragmented Markets,34,1.8,1.4927,0.0,1.4
PW1,SP1,SC2,Legacy Strategy Under Fragmented Markets,35,1.8,1.5,0.0,1.4
PW1,SP1,SC2,Legacy Strategy Under Fragmented Markets,36,1.8,1.5,0.0,1.4
PW1,SP1,SC2,Legacy Strategy Under Fragmented Markets,37,1.8,1.5,0.0,1.4
PW1,SP1,SC2,Legacy Strategy Under Fragmented Markets,38,1.8,1.5,0.0,1.4
PW1,SP1,SC2,Legacy Strategy Under Fragmented Markets,39,1.8,1.5,0.0,1.4
PW1,SP1,SC2,Legacy Strategy Under Fragmented Markets,40,1.8,1.5,0.0,1.4
PW2,SP2,SC1,Adaptive Innovation Under Automation Acceleration,1,1.0,0.77,0.2868,0.7714
PW2,SP2,SC1,Adaptive Innovation Under Automation Acceleration,2,1.1896,0.8449,0.2023,0.8462
PW2,SP2,SC1,Adaptive Innovation Under Automation Acceleration,3,1.3886,0.9198,0.1178,0.921
PW2,SP2,SC1,Adaptive Innovation Under Automation Acceleration,4,1.597,0.9947,0.0333,0.9958
PW2,SP2,SC1,Adaptive Innovation Under Automation Acceleration,5,1.8,1.0696,0.0,1.0706
PW2,SP2,SC1,Adaptive Innovation Under Automation Acceleration,6,1.8,1.1445,0.0,1.1454
PW2,SP2,SC1,Adaptive Innovation Under Automation Acceleration,7,1.8,1.2194,0.0,1.2202
PW2,SP2,SC1,Adaptive Innovation Under Automation Acceleration,8,1.8,1.2895,0.0,1.2926
PW2,SP2,SC1,Adaptive Innovation Under Automation Acceleration,9,1.8,1.3644,0.0,1.3674
PW2,SP2,SC1,Adaptive Innovation Under Automation Acceleration,10,1.8,1.4393,0.0,1.4
PW2,SP2,SC1,Adaptive Innovation Under Automation Acceleration,11,1.8,1.5,0.0,1.4
PW2,SP2,SC1,Adaptive Innovation Under Automation Acceleration,12,1.8,1.5,0.0,1.4
PW2,SP2,SC1,Adaptive Innovation Under Automation Acceleration,13,1.8,1.5,0.0,1.4
PW2,SP2,SC1,Adaptive Innovation Under Automation Acceleration,14,1.8,1.5,0.0,1.4
PW2,SP2,SC1,Adaptive Innovation Under Automation Acceleration,15,1.8,1.5,0.0,1.4
PW2,SP2,SC1,Adaptive Innovation Under Automation Acceleration,16,1.8,1.5,0.0,1.4
PW2,SP2,SC1,Adaptive Innovation Under Automation Acceleration,17,1.8,1.5,0.0,1.4
PW2,SP2,SC1,Adaptive Innovation Under Automation Acceleration,18,1.8,1.5,0.0,1.4
PW2,SP2,SC1,Adaptive Innovation Under Automation Acceleration,19,1.8,1.5,0.0,1.4
PW2,SP2,SC1,Adaptive Innovation Under Automation Acceleration,20,1.8,1.5,0.0,1.4
PW2,SP2,SC1,Adaptive Innovation Under Automation Acceleration,21,1.8,1.5,0.0,1.4
PW2,SP2,SC1,Adaptive Innovation Under Automation Acceleration,22,1.8,1.5,0.0,1.4
PW2,SP2,SC1,Adaptive Innovation Under Automation Acceleration,23,1.8,1.5,0.0,1.4
PW2,SP2,SC1,Adaptive Innovation Under Automation Acceleration,24,1.8,1.5,0.0,1.4
PW2,SP2,SC1,Adaptive Innovation Under Automation Acceleration,25,1.8,1.5,0.0,1.4
PW2,SP2,SC1,Adaptive Innovation Under Automation Acceleration,26,1.8,1.5,0.0,1.4
PW2,SP2,SC1,Adaptive Innovation Under Automation Acceleration,27,1.8,1.5,0.0,1.4
PW2,SP2,SC1,Adaptive Innovation Under Automation Acceleration,28,1.8,1.5,0.0,1.4
PW2,SP2,SC1,Adaptive Innovation Under Automation Acceleration,29,1.8,1.5,0.0,1.4
PW2,SP2,SC1,Adaptive Innovation Under Automation Acceleration,30,1.8,1.5,0.0,1.4
PW2,SP2,SC1,Adaptive Innovation Under Automation Acceleration,31,1.8,1.5,0.0,1.4
PW2,SP2,SC1,Adaptive Innovation Under Automation Acceleration,32,1.8,1.5,0.0,1.4
PW2,SP2,SC1,Adaptive Innovation Under Automation Acceleration,33,1.8,1.5,0.0,1.4
PW2,SP2,SC1,Adaptive Innovation Under Automation Acceleration,34,1.8,1.5,0.0,1.4
PW2,SP2,SC1,Adaptive Innovation Under Automation Acceleration,35,1.8,1.5,0.0,1.4
PW2,SP2,SC1,Adaptive Innovation Under Automation Acceleration,36,1.8,1.5,0.0,1.4
PW2,SP2,SC1,Adaptive Innovation Under Automation Acceleration,37,1.8,1.5,0.0,1.4
PW2,SP2,SC1,Adaptive Innovation Under Automation Acceleration,38,1.8,1.5,0.0,1.4
PW2,SP2,SC1,Adaptive Innovation Under Automation Acceleration,39,1.8,1.5,0.0,1.4
PW2,SP2,SC1,Adaptive Innovation Under Automation Acceleration,40,1.8,1.5,0.0,1.4
PW3,SP4,SC3,Resilient Portfolio Under Climate Constraint,1,1.0,0.7016,0.2488,0.6846
PW3,SP4,SC3,Resilient Portfolio Under Climate Constraint,2,1.1749,0.7692,0.1623,0.7525
PW3,SP4,SC3,Resilient Portfolio Under Climate Constraint,3,1.3588,0.8368,0.0758,0.8204
PW3,SP4,SC3,Resilient Portfolio Under Climate Constraint,4,1.551,0.9044,0.0,0.8883
PW3,SP4,SC3,Resilient Portfolio Under Climate Constraint,5,1.7487,0.972,0.0,0.9562
PW3,SP4,SC3,Resilient Portfolio Under Climate Constraint,6,1.8,1.0396,0.0,1.0241
PW3,SP4,SC3,Resilient Portfolio Under Climate Constraint,7,1.8,1.1072,0.0,1.092
PW3,SP4,SC3,Resilient Portfolio Under Climate Constraint,8,1.8,1.17,0.0,1.1575
PW3,SP4,SC3,Resilient Portfolio Under Climate Constraint,9,1.8,1.2376,0.0,1.2254
PW3,SP4,SC3,Resilient Portfolio Under Climate Constraint,10,1.8,1.3052,0.0,1.2933
PW3,SP4,SC3,Resilient Portfolio Under Climate Constraint,11,1.8,1.3728,0.0,1.3612
PW3,SP4,SC3,Resilient Portfolio Under Climate Constraint,12,1.8,1.4404,0.0,1.4
PW3,SP4,SC3,Resilient Portfolio Under Climate Constraint,13,1.8,1.5,0.0,1.4
PW3,SP4,SC3,Resilient Portfolio Under Climate Constraint,14,1.8,1.5,0.0,1.4
PW3,SP4,SC3,Resilient Portfolio Under Climate Constraint,15,1.8,1.5,0.0,1.4
PW3,SP4,SC3,Resilient Portfolio Under Climate Constraint,16,1.8,1.5,0.0,1.4
PW3,SP4,SC3,Resilient Portfolio Under Climate Constraint,17,1.8,1.5,0.0,1.4
PW3,SP4,SC3,Resilient Portfolio Under Climate Constraint,18,1.8,1.5,0.0,1.4
PW3,SP4,SC3,Resilient Portfolio Under Climate Constraint,19,1.8,1.5,0.0,1.4
PW3,SP4,SC3,Resilient Portfolio Under Climate Constraint,20,1.8,1.5,0.0,1.4
PW3,SP4,SC3,Resilient Portfolio Under Climate Constraint,21,1.8,1.5,0.0,1.4
PW3,SP4,SC3,Resilient Portfolio Under Climate Constraint,22,1.8,1.5,0.0,1.4
PW3,SP4,SC3,Resilient Portfolio Under Climate Constraint,23,1.8,1.5,0.0,1.4
PW3,SP4,SC3,Resilient Portfolio Under Climate Constraint,24,1.8,1.5,0.0,1.4
PW3,SP4,SC3,Resilient Portfolio Under Climate Constraint,25,1.8,1.5,0.0,1.4
PW3,SP4,SC3,Resilient Portfolio Under Climate Constraint,26,1.8,1.5,0.0,1.4
PW3,SP4,SC3,Resilient Portfolio Under Climate Constraint,27,1.8,1.5,0.0,1.4
PW3,SP4,SC3,Resilient Portfolio Under Climate Constraint,28,1.8,1.5,0.0,1.4
PW3,SP4,SC3,Resilient Portfolio Under Climate Constraint,29,1.8,1.5,0.0,1.4
PW3,SP4,SC3,Resilient Portfolio Under Climate Constraint,30,1.8,1.5,0.0,1.4
PW3,SP4,SC3,Resilient Portfolio Under Climate Constraint,31,1.8,1.5,0.0,1.4
PW3,SP4,SC3,Resilient Portfolio Under Climate Constraint,32,1.8,1.5,0.0,1.4
PW3,SP4,SC3,Resilient Portfolio Under Climate Constraint,33,1.8,1.5,0.0,1.4
PW3,SP4,SC3,Resilient Portfolio Under Climate Constraint,34,1.8,1.5,0.0,1.4
PW3,SP4,SC3,Resilient Portfolio Under Climate Constraint,35,1.8,1.5,0.0,1.4
PW3,SP4,SC3,Resilient Portfolio Under Climate Constraint,36,1.8,1.5,0.0,1.4
PW3,SP4,SC3,Resilient Portfolio Under Climate Constraint,37,1.8,1.5,0.0,1.4
PW3,SP4,SC3,Resilient Portfolio Under Climate Constraint,38,1.8,1.5,0.0,1.4
PW3,SP4,SC3,Resilient Portfolio Under Climate Constraint,39,1.8,1.5,0.0,1.4
PW3,SP4,SC3,Resilient Portfolio Under Climate Constraint,40,1.8,1.5,0.0,1.4
PW4,SP5,SC3,Sustainability Transition Under Climate Constraint,1,1.0,0.7132,0.2896,0.739
PW4,SP5,SC3,Sustainability Transition Under Climate Constraint,2,1.1783,0.78,0.2026,0.8114
PW4,SP5,SC3,Sustainability Transition Under Climate Constraint,3,1.3657,0.8468,0.1156,0.8838
PW4,SP5,SC3,Sustainability Transition Under Climate Constraint,4,1.562,0.9136,0.0286,0.9562
PW4,SP5,SC3,Sustainability Transition Under Climate Constraint,5,1.765,0.9804,0.0,1.0286
PW4,SP5,SC3,Sustainability Transition Under Climate Constraint,6,1.8,1.0472,0.0,1.101
PW4,SP5,SC3,Sustainability Transition Under Climate Constraint,7,1.8,1.114,0.0,1.1734
PW4,SP5,SC3,Sustainability Transition Under Climate Constraint,8,1.8,1.176,0.0,1.2434
PW4,SP5,SC3,Sustainability Transition Under Climate Constraint,9,1.8,1.2428,0.0,1.3158
PW4,SP5,SC3,Sustainability Transition Under Climate Constraint,10,1.8,1.3096,0.0,1.3882
PW4,SP5,SC3,Sustainability Transition Under Climate Constraint,11,1.8,1.3764,0.0,1.4
PW4,SP5,SC3,Sustainability Transition Under Climate Constraint,12,1.8,1.4432,0.0,1.4
PW4,SP5,SC3,Sustainability Transition Under Climate Constraint,13,1.8,1.5,0.0,1.4
PW4,SP5,SC3,Sustainability Transition Under Climate Constraint,14,1.8,1.5,0.0,1.4
PW4,SP5,SC3,Sustainability Transition Under Climate Constraint,15,1.8,1.5,0.0,1.4
PW4,SP5,SC3,Sustainability Transition Under Climate Constraint,16,1.8,1.5,0.0,1.4
PW4,SP5,SC3,Sustainability Transition Under Climate Constraint,17,1.8,1.5,0.0,1.4
PW4,SP5,SC3,Sustainability Transition Under Climate Constraint,18,1.8,1.5,0.0,1.4
PW4,SP5,SC3,Sustainability Transition Under Climate Constraint,19,1.8,1.5,0.0,1.4
PW4,SP5,SC3,Sustainability Transition Under Climate Constraint,20,1.8,1.5,0.0,1.4
PW4,SP5,SC3,Sustainability Transition Under Climate Constraint,21,1.8,1.5,0.0,1.4
PW4,SP5,SC3,Sustainability Transition Under Climate Constraint,22,1.8,1.5,0.0,1.4
PW4,SP5,SC3,Sustainability Transition Under Climate Constraint,23,1.8,1.5,0.0,1.4
PW4,SP5,SC3,Sustainability Transition Under Climate Constraint,24,1.8,1.5,0.0,1.4
PW4,SP5,SC3,Sustainability Transition Under Climate Constraint,25,1.8,1.5,0.0,1.4
PW4,SP5,SC3,Sustainability Transition Under Climate Constraint,26,1.8,1.5,0.0,1.4
PW4,SP5,SC3,Sustainability Transition Under Climate Constraint,27,1.8,1.5,0.0,1.4
PW4,SP5,SC3,Sustainability Transition Under Climate Constraint,28,1.8,1.5,0.0,1.4
PW4,SP5,SC3,Sustainability Transition Under Climate Constraint,29,1.8,1.5,0.0,1.4
PW4,SP5,SC3,Sustainability Transition Under Climate Constraint,30,1.8,1.5,0.0,1.4
PW4,SP5,SC3,Sustainability Transition Under Climate Constraint,31,1.8,1.5,0.0,1.4
PW4,SP5,SC3,Sustainability Transition Under Climate Constraint,32,1.8,1.5,0.0,1.4
PW4,SP5,SC3,Sustainability Transition Under Climate Constraint,33,1.8,1.5,0.0,1.4
PW4,SP5,SC3,Sustainability Transition Under Climate Constraint,34,1.8,1.5,0.0,1.4
PW4,SP5,SC3,Sustainability Transition Under Climate Constraint,35,1.8,1.5,0.0,1.4
PW4,SP5,SC3,Sustainability Transition Under Climate Constraint,36,1.8,1.5,0.0,1.4
PW4,SP5,SC3,Sustainability Transition Under Climate Constraint,37,1.8,1.5,0.0,1.4
PW4,SP5,SC3,Sustainability Transition Under Climate Constraint,38,1.8,1.5,0.0,1.4
PW4,SP5,SC3,Sustainability Transition Under Climate Constraint,39,1.8,1.5,0.0,1.4
PW4,SP5,SC3,Sustainability Transition Under Climate Constraint,40,1.8,1.5,0.0,1.4
PW5,SP7,SC4,Trust-Centered Strategy Under Legitimacy Crisis,1,1.0,0.672,0.2752,0.698
PW5,SP7,SC4,Trust-Centered Strategy Under Legitimacy Crisis,2,1.1679,0.7362,0.1898,0.767
PW5,SP7,SC4,Trust-Centered Strategy Under Legitimacy Crisis,3,1.3446,0.8004,0.1044,0.836
PW5,SP7,SC4,Trust-Centered Strategy Under Legitimacy Crisis,4,1.5299,0.8646,0.019,0.905
PW5,SP7,SC4,Trust-Centered Strategy Under Legitimacy Crisis,5,1.7212,0.9288,0.0,0.974
PW5,SP7,SC4,Trust-Centered Strategy Under Legitimacy Crisis,6,1.8,0.993,0.0,1.043
PW5,SP7,SC4,Trust-Centered Strategy Under Legitimacy Crisis,7,1.8,1.0572,0.0,1.112
PW5,SP7,SC4,Trust-Centered Strategy Under Legitimacy Crisis,8,1.8,1.1166,0.0,1.1786
PW5,SP7,SC4,Trust-Centered Strategy Under Legitimacy Crisis,9,1.8,1.1808,0.0,1.2476
PW5,SP7,SC4,Trust-Centered Strategy Under Legitimacy Crisis,10,1.8,1.245,0.0,1.3166
PW5,SP7,SC4,Trust-Centered Strategy Under Legitimacy Crisis,11,1.8,1.3092,0.0,1.3856
PW5,SP7,SC4,Trust-Centered Strategy Under Legitimacy Crisis,12,1.8,1.3734,0.0,1.4
PW5,SP7,SC4,Trust-Centered Strategy Under Legitimacy Crisis,13,1.8,1.4376,0.0,1.4
PW5,SP7,SC4,Trust-Centered Strategy Under Legitimacy Crisis,14,1.8,1.5,0.0,1.4
PW5,SP7,SC4,Trust-Centered Strategy Under Legitimacy Crisis,15,1.8,1.5,0.0,1.4
PW5,SP7,SC4,Trust-Centered Strategy Under Legitimacy Crisis,16,1.8,1.5,0.0,1.4
PW5,SP7,SC4,Trust-Centered Strategy Under Legitimacy Crisis,17,1.8,1.5,0.0,1.4
PW5,SP7,SC4,Trust-Centered Strategy Under Legitimacy Crisis,18,1.8,1.5,0.0,1.4
PW5,SP7,SC4,Trust-Centered Strategy Under Legitimacy Crisis,19,1.8,1.5,0.0,1.4
PW5,SP7,SC4,Trust-Centered Strategy Under Legitimacy Crisis,20,1.8,1.5,0.0,1.4
PW5,SP7,SC4,Trust-Centered Strategy Under Legitimacy Crisis,21,1.8,1.5,0.0,1.4
PW5,SP7,SC4,Trust-Centered Strategy Under Legitimacy Crisis,22,1.8,1.5,0.0,1.4
PW5,SP7,SC4,Trust-Centered Strategy Under Legitimacy Crisis,23,1.8,1.5,0.0,1.4
PW5,SP7,SC4,Trust-Centered Strategy Under Legitimacy Crisis,24,1.8,1.5,0.0,1.4
PW5,SP7,SC4,Trust-Centered Strategy Under Legitimacy Crisis,25,1.8,1.5,0.0,1.4
PW5,SP7,SC4,Trust-Centered Strategy Under Legitimacy Crisis,26,1.8,1.5,0.0,1.4
PW5,SP7,SC4,Trust-Centered Strategy Under Legitimacy Crisis,27,1.8,1.5,0.0,1.4
PW5,SP7,SC4,Trust-Centered Strategy Under Legitimacy Crisis,28,1.8,1.5,0.0,1.4
PW5,SP7,SC4,Trust-Centered Strategy Under Legitimacy Crisis,29,1.8,1.5,0.0,1.4
PW5,SP7,SC4,Trust-Centered Strategy Under Legitimacy Crisis,30,1.8,1.5,0.0,1.4
PW5,SP7,SC4,Trust-Centered Strategy Under Legitimacy Crisis,31,1.8,1.5,0.0,1.4
PW5,SP7,SC4,Trust-Centered Strategy Under Legitimacy Crisis,32,1.8,1.5,0.0,1.4
PW5,SP7,SC4,Trust-Centered Strategy Under Legitimacy Crisis,33,1.8,1.5,0.0,1.4
PW5,SP7,SC4,Trust-Centered Strategy Under Legitimacy Crisis,34,1.8,1.5,0.0,1.4
PW5,SP7,SC4,Trust-Centered Strategy Under Legitimacy Crisis,35,1.8,1.5,0.0,1.4
PW5,SP7,SC4,Trust-Centered Strategy Under Legitimacy Crisis,36,1.8,1.5,0.0,1.4
PW5,SP7,SC4,Trust-Centered Strategy Under Legitimacy Crisis,37,1.8,1.5,0.0,1.4
PW5,SP7,SC4,Trust-Centered Strategy Under Legitimacy Crisis,38,1.8,1.5,0.0,1.4
PW5,SP7,SC4,Trust-Centered Strategy Under Legitimacy Crisis,39,1.8,1.5,0.0,1.4
PW5,SP7,SC4,Trust-Centered Strategy Under Legitimacy Crisis,40,1.8,1.5,0.0,1.4
PW6,SP3,SC7,Platform Strategy Under Regulated Technology,1,1.0,0.6586,0.4156,0.6457
PW6,SP3,SC7,Platform Strategy Under Regulated Technology,2,1.1429,0.7235,0.3489,0.7075
PW6,SP3,SC7,Platform Strategy Under Regulated Technology,3,1.2936,0.7884,0.2822,0.7693
PW6,SP3,SC7,Platform Strategy Under Regulated Technology,4,1.452,0.8533,0.2155,0.8311
PW6,SP3,SC7,Platform Strategy Under Regulated Technology,5,1.6182,0.9182,0.1488,0.8929
PW6,SP3,SC7,Platform Strategy Under Regulated Technology,6,1.7921,0.9831,0.0821,0.9547
PW6,SP3,SC7,Platform Strategy Under Regulated Technology,7,1.8,1.048,0.0154,1.0165
PW6,SP3,SC7,Platform Strategy Under Regulated Technology,8,1.8,1.1081,0.0,1.0759
PW6,SP3,SC7,Platform Strategy Under Regulated Technology,9,1.8,1.173,0.0,1.1377
PW6,SP3,SC7,Platform Strategy Under Regulated Technology,10,1.8,1.2379,0.0,1.1995
PW6,SP3,SC7,Platform Strategy Under Regulated Technology,11,1.8,1.3028,0.0,1.2613
PW6,SP3,SC7,Platform Strategy Under Regulated Technology,12,1.8,1.3677,0.0,1.3231
PW6,SP3,SC7,Platform Strategy Under Regulated Technology,13,1.8,1.4326,0.0,1.3849
PW6,SP3,SC7,Platform Strategy Under Regulated Technology,14,1.8,1.4975,0.0,1.4
PW6,SP3,SC7,Platform Strategy Under Regulated Technology,15,1.8,1.5,0.0,1.4
PW6,SP3,SC7,Platform Strategy Under Regulated Technology,16,1.8,1.5,0.0,1.4
PW6,SP3,SC7,Platform Strategy Under Regulated Technology,17,1.8,1.5,0.0,1.4
PW6,SP3,SC7,Platform Strategy Under Regulated Technology,18,1.8,1.5,0.0,1.4
PW6,SP3,SC7,Platform Strategy Under Regulated Technology,19,1.8,1.5,0.0,1.4
PW6,SP3,SC7,Platform Strategy Under Regulated Technology,20,1.8,1.5,0.0,1.4
PW6,SP3,SC7,Platform Strategy Under Regulated Technology,21,1.8,1.5,0.0,1.4
PW6,SP3,SC7,Platform Strategy Under Regulated Technology,22,1.8,1.5,0.0,1.4
PW6,SP3,SC7,Platform Strategy Under Regulated Technology,23,1.8,1.5,0.0,1.4
PW6,SP3,SC7,Platform Strategy Under Regulated Technology,24,1.8,1.5,0.0,1.4
PW6,SP3,SC7,Platform Strategy Under Regulated Technology,25,1.8,1.5,0.0,1.4
PW6,SP3,SC7,Platform Strategy Under Regulated Technology,26,1.8,1.5,0.0,1.4
PW6,SP3,SC7,Platform Strategy Under Regulated Technology,27,1.8,1.5,0.0,1.4
PW6,SP3,SC7,Platform Strategy Under Regulated Technology,28,1.8,1.5,0.0,1.4
PW6,SP3,SC7,Platform Strategy Under Regulated Technology,29,1.8,1.5,0.0,1.4
PW6,SP3,SC7,Platform Strategy Under Regulated Technology,30,1.8,1.5,0.0,1.4
PW6,SP3,SC7,Platform Strategy Under Regulated Technology,31,1.8,1.5,0.0,1.4
PW6,SP3,SC7,Platform Strategy Under Regulated Technology,32,1.8,1.5,0.0,1.4
PW6,SP3,SC7,Platform Strategy Under Regulated Technology,33,1.8,1.5,0.0,1.4
PW6,SP3,SC7,Platform Strategy Under Regulated Technology,34,1.8,1.5,0.0,1.4
PW6,SP3,SC7,Platform Strategy Under Regulated Technology,35,1.8,1.5,0.0,1.4
PW6,SP3,SC7,Platform Strategy Under Regulated Technology,36,1.8,1.5,0.0,1.4
PW6,SP3,SC7,Platform Strategy Under Regulated Technology,37,1.8,1.5,0.0,1.4
PW6,SP3,SC7,Platform Strategy Under Regulated Technology,38,1.8,1.5,0.0,1.4
PW6,SP3,SC7,Platform Strategy Under Regulated Technology,39,1.8,1.5,0.0,1.4
PW6,SP3,SC7,Platform Strategy Under Regulated Technology,40,1.8,1.5,0.0,1.4
PW7,SP8,SC5,Fragile Growth Under High-Cost Capital,1,1.0,0.564,0.5408,0.5838
PW7,SP8,SC5,Fragile Growth Under High-Cost Capital,2,1.106,0.6206,0.49,0.6386
PW7,SP8,SC5,Fragile Growth Under High-Cost Capital,3,1.2185,0.6772,0.4392,0.6934
PW7,SP8,SC5,Fragile Growth Under High-Cost Capital,4,1.3375,0.7338,0.3884,0.7482
PW7,SP8,SC5,Fragile Growth Under High-Cost Capital,5,1.463,0.7904,0.3376,0.803
PW7,SP8,SC5,Fragile Growth Under High-Cost Capital,6,1.595,0.847,0.2868,0.8578
PW7,SP8,SC5,Fragile Growth Under High-Cost Capital,7,1.7335,0.9036,0.236,0.9126
PW7,SP8,SC5,Fragile Growth Under High-Cost Capital,8,1.7579,0.9554,0.1924,0.965
PW7,SP8,SC5,Fragile Growth Under High-Cost Capital,9,1.8,1.012,0.1416,1.0198
PW7,SP8,SC5,Fragile Growth Under High-Cost Capital,10,1.8,1.0686,0.0908,1.0746
PW7,SP8,SC5,Fragile Growth Under High-Cost Capital,11,1.8,1.1252,0.04,1.1294
PW7,SP8,SC5,Fragile Growth Under High-Cost Capital,12,1.8,1.1818,0.0,1.1842
PW7,SP8,SC5,Fragile Growth Under High-Cost Capital,13,1.8,1.2384,0.0,1.239
PW7,SP8,SC5,Fragile Growth Under High-Cost Capital,14,1.8,1.295,0.0,1.2938
PW7,SP8,SC5,Fragile Growth Under High-Cost Capital,15,1.8,1.3516,0.0,1.3486
PW7,SP8,SC5,Fragile Growth Under High-Cost Capital,16,1.8,1.4034,0.0,1.4
PW7,SP8,SC5,Fragile Growth Under High-Cost Capital,17,1.8,1.46,0.0,1.4
PW7,SP8,SC5,Fragile Growth Under High-Cost Capital,18,1.8,1.5,0.0,1.4
PW7,SP8,SC5,Fragile Growth Under High-Cost Capital,19,1.8,1.5,0.0,1.4
PW7,SP8,SC5,Fragile Growth Under High-Cost Capital,20,1.8,1.5,0.0,1.4
PW7,SP8,SC5,Fragile Growth Under High-Cost Capital,21,1.8,1.5,0.0,1.4
PW7,SP8,SC5,Fragile Growth Under High-Cost Capital,22,1.8,1.5,0.0,1.4
PW7,SP8,SC5,Fragile Growth Under High-Cost Capital,23,1.8,1.5,0.0,1.4
PW7,SP8,SC5,Fragile Growth Under High-Cost Capital,24,1.8,1.5,0.0,1.4
PW7,SP8,SC5,Fragile Growth Under High-Cost Capital,25,1.8,1.5,0.0,1.4
PW7,SP8,SC5,Fragile Growth Under High-Cost Capital,26,1.8,1.5,0.0,1.4
PW7,SP8,SC5,Fragile Growth Under High-Cost Capital,27,1.8,1.5,0.0,1.4
PW7,SP8,SC5,Fragile Growth Under High-Cost Capital,28,1.8,1.5,0.0,1.4
PW7,SP8,SC5,Fragile Growth Under High-Cost Capital,29,1.8,1.5,0.0,1.4
PW7,SP8,SC5,Fragile Growth Under High-Cost Capital,30,1.8,1.5,0.0,1.4
PW7,SP8,SC5,Fragile Growth Under High-Cost Capital,31,1.8,1.5,0.0,1.4
PW7,SP8,SC5,Fragile Growth Under High-Cost Capital,32,1.8,1.5,0.0,1.4
PW7,SP8,SC5,Fragile Growth Under High-Cost Capital,33,1.8,1.5,0.0,1.4
PW7,SP8,SC5,Fragile Growth Under High-Cost Capital,34,1.8,1.5,0.0,1.4
PW7,SP8,SC5,Fragile Growth Under High-Cost Capital,35,1.8,1.5,0.0,1.4
PW7,SP8,SC5,Fragile Growth Under High-Cost Capital,36,1.8,1.5,0.0,1.4
PW7,SP8,SC5,Fragile Growth Under High-Cost Capital,37,1.8,1.5,0.0,1.4
