pathway_id,profile_id,scenario_id,pathway_name,time_step,inherited_burden,future_freedom,institutional_capacity,ecological_damage,adaptive_capacity,future_representation,reparative_continuity,public_legitimacy,stewardship_score
ALP1,IGP1,FGS1,Stewardship State Pathway,23,0.0,1.3922,1.3148,0.0,1.2223,1.1671,1.1119,1.2114,1.1253
ALP1,IGP1,FGS1,Stewardship State Pathway,24,0.0,1.4296,1.3435,0.0,1.2571,1.1995,1.1467,1.2373,1.1547
ALP1,IGP1,FGS1,Stewardship State Pathway,25,0.0,1.4677,1.373,0.0,1.2804,1.2204,1.1699,1.2637,1.1794
ALP1,IGP1,FGS1,Stewardship State Pathway,26,0.0,1.5066,1.403,0.0,1.3042,1.2417,1.1935,1.2906,1.2046
ALP1,IGP1,FGS1,Stewardship State Pathway,27,0.0,1.5462,1.4336,0.0,1.3285,1.2635,1.2176,1.318,1.2303
ALP1,IGP1,FGS1,Stewardship State Pathway,28,0.0,1.5866,1.4648,0.0,1.3533,1.2858,1.2422,1.346,1.2565
ALP1,IGP1,FGS1,Stewardship State Pathway,29,0.0,1.6278,1.4965,0.0,1.3785,1.3085,1.2672,1.3746,1.2832
ALP1,IGP1,FGS1,Stewardship State Pathway,30,0.0,1.6699,1.5288,0.0,1.4043,1.3317,1.2928,1.4037,1.3105
ALP1,IGP1,FGS1,Stewardship State Pathway,31,0.0,1.7127,1.5618,0.0,1.4305,1.3554,1.3188,1.4334,1.3383
ALP1,IGP1,FGS1,Stewardship State Pathway,32,0.0,1.7564,1.5954,0.0,1.4573,1.3796,1.3454,1.4636,1.3666
ALP1,IGP1,FGS1,Stewardship State Pathway,33,0.0,1.8,1.6296,0.0,1.4847,1.4044,1.3725,1.4945,1.3953
ALP1,IGP1,FGS1,Stewardship State Pathway,34,0.0,1.8,1.6645,0.0,1.5126,1.4297,1.4001,1.526,1.4166
ALP1,IGP1,FGS1,Stewardship State Pathway,35,0.0,1.8,1.7,0.0,1.541,1.4555,1.4282,1.5581,1.4384
ALP1,IGP1,FGS1,Stewardship State Pathway,36,0.0,1.8,1.7362,0.0,1.582,1.4938,1.4691,1.591,1.4658
ALP1,IGP1,FGS1,Stewardship State Pathway,37,0.0,1.8,1.7733,0.0,1.6117,1.5207,1.4985,1.6246,1.4885
ALP1,IGP1,FGS1,Stewardship State Pathway,38,0.0,1.8,1.8,0.0,1.6418,1.5481,1.5283,1.6588,1.5095
ALP1,IGP1,FGS1,Stewardship State Pathway,39,0.0,1.8,1.8,0.0,1.6722,1.5757,1.5585,1.6933,1.526
ALP1,IGP1,FGS1,Stewardship State Pathway,40,0.0,1.8,1.8,0.0,1.7028,1.6037,1.5889,1.7283,1.5425
ALP1,IGP1,FGS1,Stewardship State Pathway,41,0.0,1.8,1.8,0.0,1.7337,1.6319,1.6197,1.7637,1.5593
ALP1,IGP1,FGS1,Stewardship State Pathway,42,0.0,1.8,1.8,0.0,1.7647,1.6604,1.6507,1.7994,1.5761
ALP1,IGP1,FGS1,Stewardship State Pathway,43,0.0,1.8,1.8,0.0,1.796,1.6892,1.682,1.8,1.5896
ALP1,IGP1,FGS1,Stewardship State Pathway,44,0.0,1.8,1.8,0.0,1.8,1.718,1.7135,1.8,1.5981
ALP1,IGP1,FGS1,Stewardship State Pathway,45,0.0,1.8,1.8,0.0,1.8,1.7468,1.7454,1.8,1.606
ALP1,IGP1,FGS1,Stewardship State Pathway,46,0.0,1.8,1.8,0.0,1.8,1.7756,1.7776,1.8,1.6139
ALP1,IGP1,FGS1,Stewardship State Pathway,47,0.0,1.8,1.8,0.0,1.8,1.8,1.8,1.8,1.62
ALP1,IGP1,FGS1,Stewardship State Pathway,48,0.0,1.8,1.8,0.0,1.8,1.8,1.8,1.8,1.62
ALP1,IGP1,FGS1,Stewardship State Pathway,49,0.0,1.8,1.8,0.0,1.8,1.8,1.8,1.8,1.62
ALP1,IGP1,FGS1,Stewardship State Pathway,50,0.0,1.8,1.8,0.0,1.8,1.8,1.8,1.8,1.62
ALP2,IGP2,FGS2,Short-Term Extraction Pathway,1,0.82,0.3,0.38,0.84,0.36,0.24,0.28,0.3,0.2016
ALP2,IGP2,FGS2,Short-Term Extraction Pathway,2,0.8194,0.2915,0.3805,0.8355,0.3525,0.2454,0.2772,0.2972,0.1992
ALP2,IGP2,FGS2,Short-Term Extraction Pathway,3,0.8189,0.283,0.381,0.8311,0.345,0.2509,0.2746,0.2944,0.1968
ALP2,IGP2,FGS2,Short-Term Extraction Pathway,4,0.8184,0.2745,0.3815,0.8268,0.3376,0.2563,0.272,0.2918,0.1944
ALP2,IGP2,FGS2,Short-Term Extraction Pathway,5,0.8178,0.266,0.382,0.8226,0.3304,0.2617,0.2694,0.2891,0.192
ALP2,IGP2,FGS2,Short-Term Extraction Pathway,6,0.8273,0.2574,0.3823,0.8186,0.3232,0.267,0.2669,0.2865,0.189
ALP2,IGP2,FGS2,Short-Term Extraction Pathway,7,0.8268,0.2488,0.3827,0.8148,0.316,0.2723,0.2645,0.2839,0.1866
ALP2,IGP2,FGS2,Short-Term Extraction Pathway,8,0.8263,0.2402,0.383,0.811,0.3089,0.2777,0.2621,0.2813,0.1842
ALP2,IGP2,FGS2,Short-Term Extraction Pathway,9,0.8259,0.2315,0.3833,0.8074,0.302,0.283,0.2598,0.2789,0.1819
ALP2,IGP2,FGS2,Short-Term Extraction Pathway,10,0.8254,0.2227,0.3837,0.8178,0.2949,0.2883,0.2576,0.2764,0.1789
ALP2,IGP2,FGS2,Short-Term Extraction Pathway,11,0.8251,0.2139,0.384,0.8144,0.288,0.2936,0.2554,0.2739,0.1765
ALP2,IGP2,FGS2,Short-Term Extraction Pathway,12,0.8348,0.2053,0.3841,0.8112,0.2931,0.3108,0.2653,0.2716,0.1788
ALP2,IGP2,FGS2,Short-Term Extraction Pathway,13,0.8342,0.1966,0.3845,0.8078,0.2863,0.316,0.2633,0.2694,0.1765
ALP2,IGP2,FGS2,Short-Term Extraction Pathway,14,0.8336,0.1879,0.3849,0.8045,0.2796,0.3213,0.2614,0.2672,0.1743
ALP2,IGP2,FGS2,Short-Term Extraction Pathway,15,0.8329,0.1792,0.3853,0.8013,0.2731,0.3265,0.2595,0.265,0.1721
ALP2,IGP2,FGS2,Short-Term Extraction Pathway,16,0.8323,0.1706,0.3857,0.7982,0.2665,0.3317,0.2577,0.2629,0.1699
ALP2,IGP2,FGS2,Short-Term Extraction Pathway,17,0.8318,0.1619,0.386,0.7952,0.2601,0.3369,0.256,0.2609,0.1677
ALP2,IGP2,FGS2,Short-Term Extraction Pathway,18,0.8412,0.1531,0.3862,0.7924,0.2537,0.342,0.2543,0.2589,0.1648
ALP2,IGP2,FGS2,Short-Term Extraction Pathway,19,0.8406,0.1442,0.3865,0.7896,0.2474,0.3472,0.2527,0.2569,0.1626
ALP2,IGP2,FGS2,Short-Term Extraction Pathway,20,0.8401,0.1353,0.3868,0.801,0.241,0.3523,0.251,0.2549,0.1598
ALP2,IGP2,FGS2,Short-Term Extraction Pathway,21,0.8397,0.1263,0.387,0.7985,0.2346,0.3574,0.2495,0.2529,0.1576
ALP2,IGP2,FGS2,Short-Term Extraction Pathway,22,0.8393,0.1173,0.3873,0.7961,0.2284,0.3626,0.248,0.251,0.1553
ALP2,IGP2,FGS2,Short-Term Extraction Pathway,23,0.8389,0.1083,0.3875,0.7937,0.2222,0.3677,0.2465,0.2491,0.1531
ALP2,IGP2,FGS2,Short-Term Extraction Pathway,24,0.8485,0.0994,0.3876,0.7915,0.228,0.3847,0.2572,0.2474,0.1556
ALP2,IGP2,FGS2,Short-Term Extraction Pathway,25,0.8478,0.0906,0.388,0.7892,0.222,0.3898,0.256,0.2457,0.1535
ALP2,IGP2,FGS2,Short-Term Extraction Pathway,26,0.8471,0.0817,0.3884,0.7869,0.216,0.3949,0.2548,0.2441,0.1515
ALP2,IGP2,FGS2,Short-Term Extraction Pathway,27,0.8463,0.0728,0.3887,0.7848,0.2101,0.3999,0.2537,0.2426,0.1494
ALP2,IGP2,FGS2,Short-Term Extraction Pathway,28,0.8456,0.064,0.3891,0.7827,0.2043,0.405,0.2527,0.2411,0.1474
ALP2,IGP2,FGS2,Short-Term Extraction Pathway,29,0.8449,0.0551,0.3895,0.7807,0.1986,0.41,0.2517,0.2396,0.1454
ALP2,IGP2,FGS2,Short-Term Extraction Pathway,30,0.8543,0.0459,0.3897,0.7928,0.1927,0.415,0.2507,0.2381,0.1421
ALP2,IGP2,FGS2,Short-Term Extraction Pathway,31,0.8537,0.0368,0.39,0.791,0.1869,0.42,0.2497,0.2366,0.14
ALP2,IGP2,FGS2,Short-Term Extraction Pathway,32,0.8532,0.0276,0.3903,0.7893,0.1811,0.425,0.2488,0.2351,0.1379
ALP2,IGP2,FGS2,Short-Term Extraction Pathway,33,0.8527,0.0185,0.3906,0.7877,0.1754,0.43,0.248,0.2337,0.1359
ALP2,IGP2,FGS2,Short-Term Extraction Pathway,34,0.8522,0.0093,0.3908,0.7862,0.1698,0.435,0.2472,0.2324,0.1338
ALP2,IGP2,FGS2,Short-Term Extraction Pathway,35,0.8517,0.0001,0.3911,0.7848,0.1643,0.44,0.2465,0.2311,0.1318
ALP2,IGP2,FGS2,Short-Term Extraction Pathway,36,0.8612,0.0,0.3913,0.7835,0.1707,0.4569,0.2579,0.23,0.136
ALP2,IGP2,FGS2,Short-Term Extraction Pathway,37,0.8604,0.0,0.3917,0.782,0.1653,0.4619,0.2573,0.2289,0.1358
ALP2,IGP2,FGS2,Short-Term Extraction Pathway,38,0.8595,0.0,0.3921,0.7806,0.1599,0.4669,0.2568,0.2278,0.1355
ALP2,IGP2,FGS2,Short-Term Extraction Pathway,39,0.8587,0.0,0.3926,0.7792,0.1546,0.4718,0.2564,0.2268,0.1353
ALP2,IGP2,FGS2,Short-Term Extraction Pathway,40,0.8579,0.0,0.393,0.7919,0.1493,0.4768,0.256,0.2258,0.1345
ALP2,IGP2,FGS2,Short-Term Extraction Pathway,41,0.8572,0.0,0.3935,0.7907,0.144,0.4818,0.2557,0.2249,0.1343
ALP2,IGP2,FGS2,Short-Term Extraction Pathway,42,0.8665,0.0,0.3938,0.7897,0.1387,0.4866,0.2553,0.2239,0.1334
ALP2,IGP2,FGS2,Short-Term Extraction Pathway,43,0.8658,0.0,0.3942,0.7887,0.1334,0.4916,0.2551,0.223,0.1332
ALP2,IGP2,FGS2,Short-Term Extraction Pathway,44,0.8651,0.0,0.3946,0.7877,0.1282,0.4965,0.2548,0.2221,0.133
ALP2,IGP2,FGS2,Short-Term Extraction Pathway,45,0.8645,0.0,0.395,0.7869,0.1231,0.5015,0.2547,0.2213,0.1328
ALP2,IGP2,FGS2,Short-Term Extraction Pathway,46,0.8638,0.0,0.3954,0.7861,0.118,0.5064,0.2546,0.2206,0.1327
ALP2,IGP2,FGS2,Short-Term Extraction Pathway,47,0.8632,0.0,0.3959,0.7853,0.113,0.5113,0.2545,0.2198,0.1325
ALP2,IGP2,FGS2,Short-Term Extraction Pathway,48,0.8725,0.0,0.3962,0.7847,0.12,0.5282,0.2666,0.2193,0.137
ALP2,IGP2,FGS2,Short-Term Extraction Pathway,49,0.8715,0.0,0.3967,0.7839,0.1151,0.5331,0.2668,0.2188,0.137
ALP2,IGP2,FGS2,Short-Term Extraction Pathway,50,0.8705,0.0,0.3973,0.7972,0.1101,0.5381,0.2669,0.2182,0.1364
ALP3,IGP3,FGS3,Climate Repair Pathway,1,0.38,0.76,0.76,0.24,0.82,0.72,0.8,0.74,0.6596
ALP3,IGP3,FGS3,Climate Repair Pathway,2,0.359,0.7773,0.7753,0.2174,0.8292,0.7321,0.8105,0.7529,0.6735
ALP3,IGP3,FGS3,Climate Repair Pathway,3,0.3374,0.7954,0.7911,0.1942,0.839,0.7445,0.8215,0.7663,0.688
ALP3,IGP3,FGS3,Climate Repair Pathway,4,0.3152,0.8144,0.8073,0.1705,0.8494,0.7571,0.8329,0.7803,0.703
ALP3,IGP3,FGS3,Climate Repair Pathway,5,0.2925,0.8343,0.824,0.1462,0.8605,0.7699,0.8449,0.7948,0.7186
ALP3,IGP3,FGS3,Climate Repair Pathway,6,0.2792,0.855,0.8411,0.1214,0.8722,0.7829,0.8573,0.8098,0.7342
ALP3,IGP3,FGS3,Climate Repair Pathway,7,0.2553,0.8767,0.8587,0.096,0.8845,0.7963,0.8702,0.8254,0.7509
ALP3,IGP3,FGS3,Climate Repair Pathway,8,0.2307,0.8994,0.8769,0.0699,0.8976,0.8099,0.8836,0.8416,0.7682
ALP3,IGP3,FGS3,Climate Repair Pathway,9,0.2054,0.9231,0.8956,0.0432,0.9114,0.8238,0.8976,0.8584,0.7862
ALP3,IGP3,FGS3,Climate Repair Pathway,10,0.1795,0.9477,0.9148,0.0297,0.9257,0.838,0.9121,0.8757,0.8043
ALP3,IGP3,FGS3,Climate Repair Pathway,11,0.153,0.9735,0.9346,0.0015,0.9408,0.8525,0.9272,0.8937,0.8235
ALP3,IGP3,FGS3,Climate Repair Pathway,12,0.1358,1.0002,0.9549,0.0,0.9684,0.8792,0.9548,0.9124,0.847
ALP3,IGP3,FGS3,Climate Repair Pathway,13,0.1078,1.0277,0.976,0.0,0.9845,0.8943,0.9709,0.9315,0.8663
ALP3,IGP3,FGS3,Climate Repair Pathway,14,0.0792,1.0561,0.9978,0.0,1.0012,0.9097,0.9875,0.9513,0.8862
ALP3,IGP3,FGS3,Climate Repair Pathway,15,0.0502,1.0855,1.0202,0.0,1.0184,0.9255,1.0047,0.9715,0.9066
ALP3,IGP3,FGS3,Climate Repair Pathway,16,0.0207,1.1157,1.0433,0.0,1.0361,0.9416,1.0223,0.9924,0.9276
ALP3,IGP3,FGS3,Climate Repair Pathway,17,0.0,1.1468,1.0669,0.0,1.0543,0.9581,1.0404,1.0137,0.9486
ALP3,IGP3,FGS3,Climate Repair Pathway,18,0.0,1.1784,1.0909,0.0,1.0729,0.9749,1.0589,1.0355,0.9687
ALP3,IGP3,FGS3,Climate Repair Pathway,19,0.0,1.2107,1.1155,0.0,1.0918,0.9921,1.0777,1.0577,0.9892
ALP3,IGP3,FGS3,Climate Repair Pathway,20,0.0,1.2436,1.1405,0.0,1.1112,1.0097,1.097,1.0804,1.0102
ALP3,IGP3,FGS3,Climate Repair Pathway,21,0.0,1.2771,1.1659,0.0,1.1309,1.0276,1.1166,1.1035,1.0315
ALP3,IGP3,FGS3,Climate Repair Pathway,22,0.0,1.3112,1.1919,0.0,1.151,1.046,1.1366,1.127,1.0533
ALP3,IGP3,FGS3,Climate Repair Pathway,23,0.0,1.346,1.2183,0.0,1.1716,1.0648,1.1569,1.151,1.0755
ALP3,IGP3,FGS3,Climate Repair Pathway,24,0.0,1.3817,1.2452,0.0,1.2046,1.0959,1.1899,1.1756,1.1034
ALP3,IGP3,FGS3,Climate Repair Pathway,25,0.0,1.4181,1.2728,0.0,1.2261,1.1155,1.2112,1.2007,1.1266
ALP3,IGP3,FGS3,Climate Repair Pathway,26,0.0,1.4552,1.301,0.0,1.248,1.1355,1.233,1.2263,1.1503
ALP3,IGP3,FGS3,Climate Repair Pathway,27,0.0,1.493,1.3297,0.0,1.2704,1.1559,1.2552,1.2524,1.1744
ALP3,IGP3,FGS3,Climate Repair Pathway,28,0.0,1.5316,1.3589,0.0,1.2932,1.1768,1.2778,1.279,1.1991
ALP3,IGP3,FGS3,Climate Repair Pathway,29,0.0,1.5708,1.3887,0.0,1.3165,1.1982,1.3009,1.3061,1.2241
ALP3,IGP3,FGS3,Climate Repair Pathway,30,0.0,1.6109,1.419,0.0,1.3403,1.2199,1.3244,1.3337,1.2497
ALP3,IGP3,FGS3,Climate Repair Pathway,31,0.0,1.6516,1.4499,0.0,1.3645,1.2422,1.3485,1.3619,1.2758
ALP3,IGP3,FGS3,Climate Repair Pathway,32,0.0,1.6932,1.4814,0.0,1.3893,1.2649,1.373,1.3906,1.3024
ALP3,IGP3,FGS3,Climate Repair Pathway,33,0.0,1.7356,1.5135,0.0,1.4146,1.2881,1.398,1.4199,1.3296
ALP3,IGP3,FGS3,Climate Repair Pathway,34,0.0,1.7788,1.5462,0.0,1.4403,1.3119,1.4234,1.4498,1.3572
ALP3,IGP3,FGS3,Climate Repair Pathway,35,0.0,1.8,1.5795,0.0,1.4666,1.3361,1.4494,1.4802,1.3813
ALP3,IGP3,FGS3,Climate Repair Pathway,36,0.0,1.8,1.6135,0.0,1.5054,1.3728,1.4881,1.5114,1.4073
ALP3,IGP3,FGS3,Climate Repair Pathway,37,0.0,1.8,1.6483,0.0,1.5329,1.3981,1.5152,1.5432,1.4285
ALP3,IGP3,FGS3,Climate Repair Pathway,38,0.0,1.8,1.6838,0.0,1.5609,1.4239,1.543,1.5757,1.4501
ALP3,IGP3,FGS3,Climate Repair Pathway,39,0.0,1.8,1.72,0.0,1.5895,1.4503,1.5712,1.6088,1.4722
ALP3,IGP3,FGS3,Climate Repair Pathway,40,0.0,1.8,1.7569,0.0,1.6187,1.4772,1.6,1.6425,1.4947
ALP3,IGP3,FGS3,Climate Repair Pathway,41,0.0,1.8,1.7944,0.0,1.6484,1.5047,1.6294,1.6768,1.5176
ALP3,IGP3,FGS3,Climate Repair Pathway,42,0.0,1.8,1.8,0.0,1.6785,1.5324,1.6592,1.7117,1.5349
ALP3,IGP3,FGS3,Climate Repair Pathway,43,0.0,1.8,1.8,0.0,1.7087,1.5605,1.6892,1.7469,1.5514
ALP3,IGP3,FGS3,Climate Repair Pathway,44,0.0,1.8,1.8,0.0,1.7392,1.5889,1.7195,1.7825,1.5681
ALP3,IGP3,FGS3,Climate Repair Pathway,45,0.0,1.8,1.8,0.0,1.7699,1.6176,1.75,1.8,1.5831
ALP3,IGP3,FGS3,Climate Repair Pathway,46,0.0,1.8,1.8,0.0,1.8,1.6464,1.7809,1.8,1.5962
ALP3,IGP3,FGS3,Climate Repair Pathway,47,0.0,1.8,1.8,0.0,1.8,1.6752,1.8,1.8,1.6025
ALP3,IGP3,FGS3,Climate Repair Pathway,48,0.0,1.8,1.8,0.0,1.8,1.7159,1.8,1.8,1.6082
ALP3,IGP3,FGS3,Climate Repair Pathway,49,0.0,1.8,1.8,0.0,1.8,1.7447,1.8,1.8,1.6123
ALP3,IGP3,FGS3,Climate Repair Pathway,50,0.0,1.8,1.8,0.0,1.8,1.7735,1.8,1.8,1.6163
ALP4,IGP4,FGS4,Technological Lock-In Pathway,1,0.64,0.42,0.46,0.48,0.48,0.38,0.44,0.42,0.3352
ALP4,IGP4,FGS4,Technological Lock-In Pathway,2,0.6317,0.4212,0.4651,0.4702,0.4792,0.3871,0.4419,0.4229,0.3386
ALP4,IGP4,FGS4,Technological Lock-In Pathway,3,0.6233,0.4227,0.4704,0.4603,0.4787,0.3942,0.444,0.4259,0.3422
ALP4,IGP4,FGS4,Technological Lock-In Pathway,4,0.6146,0.4245,0.4758,0.4503,0.4784,0.4014,0.4464,0.4292,0.346
ALP4,IGP4,FGS4,Technological Lock-In Pathway,5,0.6058,0.4266,0.4813,0.4401,0.4784,0.4087,0.4489,0.4327,0.3499
ALP4,IGP4,FGS4,Technological Lock-In Pathway,6,0.6068,0.4289,0.4869,0.4298,0.4786,0.416,0.4516,0.4364,0.3535
ALP4,IGP4,FGS4,Technological Lock-In Pathway,7,0.5976,0.4316,0.4928,0.4194,0.479,0.4235,0.4545,0.4402,0.3578
ALP4,IGP4,FGS4,Technological Lock-In Pathway,8,0.5881,0.4345,0.4988,0.4089,0.4798,0.431,0.4577,0.4444,0.3624
ALP4,IGP4,FGS4,Technological Lock-In Pathway,9,0.5785,0.4378,0.505,0.3981,0.4808,0.4386,0.461,0.4487,0.3672
ALP4,IGP4,FGS4,Technological Lock-In Pathway,10,0.5686,0.4414,0.5113,0.4012,0.482,0.4462,0.4646,0.4532,0.3716
ALP4,IGP4,FGS4,Technological Lock-In Pathway,11,0.5587,0.4453,0.5179,0.3901,0.4835,0.454,0.4683,0.458,0.3768
ALP4,IGP4,FGS4,Technological Lock-In Pathway,12,0.5585,0.4497,0.5245,0.3789,0.4973,0.4738,0.4844,0.4631,0.387
ALP4,IGP4,FGS4,Technological Lock-In Pathway,13,0.5477,0.4545,0.5316,0.3672,0.4994,0.4818,0.4887,0.4685,0.3928
ALP4,IGP4,FGS4,Technological Lock-In Pathway,14,0.5367,0.4598,0.539,0.3553,0.5019,0.4898,0.4933,0.4742,0.3989
ALP4,IGP4,FGS4,Technological Lock-In Pathway,15,0.5253,0.4654,0.5465,0.3431,0.5047,0.498,0.4981,0.4801,0.4053
ALP4,IGP4,FGS4,Technological Lock-In Pathway,16,0.5138,0.4715,0.5543,0.3307,0.5078,0.5063,0.5032,0.4863,0.4119
ALP4,IGP4,FGS4,Technological Lock-In Pathway,17,0.5019,0.4781,0.5623,0.318,0.5113,0.5147,0.5086,0.4928,0.4188
ALP4,IGP4,FGS4,Technological Lock-In Pathway,18,0.4998,0.485,0.5704,0.3052,0.5151,0.5231,0.5141,0.4995,0.4254
ALP4,IGP4,FGS4,Technological Lock-In Pathway,19,0.4873,0.4923,0.5789,0.292,0.5192,0.5317,0.52,0.5066,0.4329
ALP4,IGP4,FGS4,Technological Lock-In Pathway,20,0.4745,0.5001,0.5876,0.2926,0.5236,0.5405,0.5261,0.5139,0.44
ALP4,IGP4,FGS4,Technological Lock-In Pathway,21,0.4615,0.5083,0.5966,0.2789,0.5283,0.5494,0.5325,0.5215,0.4481
ALP4,IGP4,FGS4,Technological Lock-In Pathway,22,0.4482,0.517,0.6058,0.2649,0.5334,0.5584,0.5391,0.5294,0.4565
ALP4,IGP4,FGS4,Technological Lock-In Pathway,23,0.4346,0.5263,0.6154,0.2505,0.5389,0.5675,0.5461,0.5377,0.4652
ALP4,IGP4,FGS4,Technological Lock-In Pathway,24,0.4306,0.5363,0.6251,0.2359,0.5568,0.5888,0.5655,0.5464,0.4789
ALP4,IGP4,FGS4,Technological Lock-In Pathway,25,0.4158,0.5468,0.6354,0.2206,0.5631,0.5982,0.5732,0.5555,0.4885
ALP4,IGP4,FGS4,Technological Lock-In Pathway,26,0.4007,0.558,0.646,0.205,0.5699,0.6079,0.5812,0.5649,0.4984
ALP4,IGP4,FGS4,Technological Lock-In Pathway,27,0.3852,0.5697,0.6569,0.189,0.5772,0.6176,0.5896,0.5747,0.5087
ALP4,IGP4,FGS4,Technological Lock-In Pathway,28,0.3693,0.5821,0.6682,0.1726,0.5848,0.6276,0.5983,0.5849,0.5194
ALP4,IGP4,FGS4,Technological Lock-In Pathway,29,0.3529,0.5951,0.6799,0.1558,0.593,0.6377,0.6074,0.5955,0.5305
ALP4,IGP4,FGS4,Technological Lock-In Pathway,30,0.3461,0.6086,0.6917,0.1526,0.6014,0.6479,0.6167,0.6064,0.5408
ALP4,IGP4,FGS4,Technological Lock-In Pathway,31,0.329,0.6227,0.704,0.1349,0.6103,0.6584,0.6264,0.6177,0.5527
ALP4,IGP4,FGS4,Technological Lock-In Pathway,32,0.3115,0.6376,0.7167,0.1168,0.6197,0.6691,0.6365,0.6295,0.565
ALP4,IGP4,FGS4,Technological Lock-In Pathway,33,0.2934,0.6532,0.7298,0.0982,0.6296,0.68,0.647,0.6416,0.5777
ALP4,IGP4,FGS4,Technological Lock-In Pathway,34,0.2749,0.6695,0.7432,0.0792,0.64,0.691,0.6579,0.6543,0.591
ALP4,IGP4,FGS4,Technological Lock-In Pathway,35,0.2559,0.6867,0.7571,0.0595,0.651,0.7023,0.6692,0.6674,0.6047
ALP4,IGP4,FGS4,Technological Lock-In Pathway,36,0.2463,0.7048,0.7713,0.0395,0.6745,0.7258,0.693,0.6811,0.6236
ALP4,IGP4,FGS4,Technological Lock-In Pathway,37,0.2258,0.7237,0.7863,0.0186,0.6866,0.7375,0.7052,0.6952,0.6385
ALP4,IGP4,FGS4,Technological Lock-In Pathway,38,0.2047,0.7434,0.8017,0.0,0.6993,0.7495,0.7179,0.7099,0.6538
ALP4,IGP4,FGS4,Technological Lock-In Pathway,39,0.1831,0.7639,0.8176,0.0,0.7124,0.7617,0.7309,0.725,0.6687
ALP4,IGP4,FGS4,Technological Lock-In Pathway,40,0.1611,0.785,0.8339,0.0,0.7258,0.7742,0.7444,0.7406,0.6842
ALP4,IGP4,FGS4,Technological Lock-In Pathway,41,0.1386,0.8068,0.8508,0.0,0.7397,0.7869,0.7582,0.7565,0.7
ALP4,IGP4,FGS4,Technological Lock-In Pathway,42,0.1258,0.8292,0.8681,0.0,0.7539,0.7999,0.7724,0.7729,0.7156
