"response_id","expert_id","round","issue_id","issue_title","likelihood","impact","urgency","feasibility","confidence","low_estimate","high_estimate","rationale_code","uncertainty_range","judgment_profile"
"R025","E01",3,"I1","Public AI accountability before deployment",0.69,0.92,0.87,0.61,0.78,0.54,0.82,"GOVERNANCE_LAG",0.28,0.8035
"R026","E02",3,"I1","Public AI accountability before deployment",0.66,0.89,0.83,0.65,0.76,0.5,0.8,"PROCUREMENT_REFORM",0.3,0.7815
"R027","E03",3,"I1","Public AI accountability before deployment",0.59,0.82,0.74,0.58,0.68,0.42,0.76,"IMPLEMENTATION_CAPACITY",0.34,0.7065
"R028","E04",3,"I1","Public AI accountability before deployment",0.73,0.94,0.91,0.53,0.72,0.56,0.88,"COMMUNITY_HARM",0.32,0.8185
"R029","E05",3,"I1","Public AI accountability before deployment",0.63,0.85,0.8,0.58,0.7,0.46,0.78,"DATA_GOVERNANCE",0.32,0.742
"R030","E06",3,"I1","Public AI accountability before deployment",0.58,0.81,0.74,0.59,0.64,0.42,0.74,"INFRASTRUCTURE_ANALOGY",0.32,0.702
"R031","E07",3,"I1","Public AI accountability before deployment",0.74,0.9,0.89,0.51,0.74,0.56,0.89,"WORKER_IMPACT",0.33,0.799
"R032","E08",3,"I1","Public AI accountability before deployment",0.67,0.87,0.81,0.63,0.76,0.52,0.82,"FORESIGHT_SIGNAL",0.3,0.769
"R033","E09",3,"I1","Public AI accountability before deployment",0.76,0.95,0.93,0.49,0.78,0.58,0.91,"RIGHTS_RISK",0.33,0.8285
"R034","E10",3,"I1","Public AI accountability before deployment",0.62,0.83,0.77,0.61,0.68,0.44,0.78,"FUNDING_MODEL",0.34,0.7295
"R035","E11",3,"I1","Public AI accountability before deployment",0.56,0.8,0.72,0.56,0.64,0.4,0.74,"SYSTEMIC_UNCERTAINTY",0.34,0.684
"R036","E12",3,"I1","Public AI accountability before deployment",0.64,0.85,0.81,0.58,0.72,0.48,0.8,"FUTURE_SKILLS",0.32,0.747
