pathway_id,model_id,scenario_id,pathway_name,time_step,future_ready_regulatory_capacity,regulatory_lag_pressure,rights_protection,public_trust,learning_score
P6,RM7,SC1,Participatory Regulatory Foresight Pathway,5,1.233,0.1827,1.0204,0.9829,1.0672
P6,RM7,SC1,Participatory Regulatory Foresight Pathway,6,1.3594,0.1623,1.0825,1.0673,1.134
P6,RM7,SC1,Participatory Regulatory Foresight Pathway,7,1.4889,0.1417,1.1454,1.1552,1.2008
P6,RM7,SC1,Participatory Regulatory Foresight Pathway,8,1.618,0.1288,1.2088,1.2464,1.2656
P6,RM7,SC1,Participatory Regulatory Foresight Pathway,9,1.7531,0.1077,1.2731,1.3411,1.3324
P6,RM7,SC1,Participatory Regulatory Foresight Pathway,10,1.8,0.0863,1.3383,1.4,1.3992
P6,RM7,SC1,Participatory Regulatory Foresight Pathway,11,1.8,0.0647,1.4,1.4,1.4
P6,RM7,SC1,Participatory Regulatory Foresight Pathway,12,1.8,0.0431,1.4,1.4,1.4
P6,RM7,SC1,Participatory Regulatory Foresight Pathway,13,1.8,0.0215,1.4,1.4,1.4
P6,RM7,SC1,Participatory Regulatory Foresight Pathway,14,1.8,0.0,1.4,1.4,1.4
P6,RM7,SC1,Participatory Regulatory Foresight Pathway,15,1.8,0.0,1.4,1.4,1.4
P6,RM7,SC1,Participatory Regulatory Foresight Pathway,16,1.8,0.0,1.4,1.4,1.4
P6,RM7,SC1,Participatory Regulatory Foresight Pathway,17,1.8,0.0,1.4,1.4,1.4
P6,RM7,SC1,Participatory Regulatory Foresight Pathway,18,1.8,0.0,1.4,1.4,1.4
P6,RM7,SC1,Participatory Regulatory Foresight Pathway,19,1.8,0.0,1.4,1.4,1.4
P6,RM7,SC1,Participatory Regulatory Foresight Pathway,20,1.8,0.0,1.4,1.4,1.4
P6,RM7,SC1,Participatory Regulatory Foresight Pathway,21,1.8,0.0,1.4,1.4,1.4
P6,RM7,SC1,Participatory Regulatory Foresight Pathway,22,1.8,0.0,1.4,1.4,1.4
P6,RM7,SC1,Participatory Regulatory Foresight Pathway,23,1.8,0.0,1.4,1.4,1.4
P6,RM7,SC1,Participatory Regulatory Foresight Pathway,24,1.8,0.0,1.4,1.4,1.4
P6,RM7,SC1,Participatory Regulatory Foresight Pathway,25,1.8,0.0,1.4,1.4,1.4
P6,RM7,SC1,Participatory Regulatory Foresight Pathway,26,1.8,0.0,1.4,1.4,1.4
P6,RM7,SC1,Participatory Regulatory Foresight Pathway,27,1.8,0.0,1.4,1.4,1.4
P6,RM7,SC1,Participatory Regulatory Foresight Pathway,28,1.8,0.0,1.4,1.4,1.4
P6,RM7,SC1,Participatory Regulatory Foresight Pathway,29,1.8,0.0,1.4,1.4,1.4
P6,RM7,SC1,Participatory Regulatory Foresight Pathway,30,1.8,0.0,1.4,1.4,1.4
P6,RM7,SC1,Participatory Regulatory Foresight Pathway,31,1.8,0.0,1.4,1.4,1.4
P6,RM7,SC1,Participatory Regulatory Foresight Pathway,32,1.8,0.0,1.4,1.4,1.4
P6,RM7,SC1,Participatory Regulatory Foresight Pathway,33,1.8,0.0,1.4,1.4,1.4
P6,RM7,SC1,Participatory Regulatory Foresight Pathway,34,1.8,0.0,1.4,1.4,1.4
P6,RM7,SC1,Participatory Regulatory Foresight Pathway,35,1.8,0.0,1.4,1.4,1.4
P6,RM7,SC1,Participatory Regulatory Foresight Pathway,36,1.8,0.0,1.4,1.4,1.4
P6,RM7,SC1,Participatory Regulatory Foresight Pathway,37,1.8,0.0,1.4,1.4,1.4
P6,RM7,SC1,Participatory Regulatory Foresight Pathway,38,1.8,0.0,1.4,1.4,1.4
P6,RM7,SC1,Participatory Regulatory Foresight Pathway,39,1.8,0.0,1.4,1.4,1.4
P6,RM7,SC1,Participatory Regulatory Foresight Pathway,40,1.8,0.0,1.4,1.4,1.4
P7,RM8,SC7,Captured Innovation-First Regulation Pathway,1,0.4022,0.516,0.42,0.4,0.42
P7,RM8,SC7,Captured Innovation-First Regulation Pathway,2,0.4329,0.5057,0.434,0.4071,0.4574
P7,RM8,SC7,Captured Innovation-First Regulation Pathway,3,0.4653,0.4953,0.4484,0.4152,0.4948
P7,RM8,SC7,Captured Innovation-First Regulation Pathway,4,0.4993,0.4848,0.4632,0.4245,0.5322
P7,RM8,SC7,Captured Innovation-First Regulation Pathway,5,0.5351,0.4741,0.4784,0.435,0.5696
P7,RM8,SC7,Captured Innovation-First Regulation Pathway,6,0.5725,0.4633,0.4941,0.4466,0.607
P7,RM8,SC7,Captured Innovation-First Regulation Pathway,7,0.6117,0.4524,0.5102,0.4593,0.6444
P7,RM8,SC7,Captured Innovation-First Regulation Pathway,8,0.6489,0.4493,0.5264,0.4729,0.6798
P7,RM8,SC7,Captured Innovation-First Regulation Pathway,9,0.6909,0.4381,0.5431,0.4878,0.7172
P7,RM8,SC7,Captured Innovation-First Regulation Pathway,10,0.7346,0.4268,0.5602,0.5038,0.7546
P7,RM8,SC7,Captured Innovation-First Regulation Pathway,11,0.78,0.4153,0.5778,0.5212,0.792
P7,RM8,SC7,Captured Innovation-First Regulation Pathway,12,0.8273,0.4037,0.5958,0.5398,0.8294
P7,RM8,SC7,Captured Innovation-First Regulation Pathway,13,0.8763,0.3919,0.6144,0.5598,0.8668
P7,RM8,SC7,Captured Innovation-First Regulation Pathway,14,0.9271,0.3801,0.6334,0.5811,0.9042
P7,RM8,SC7,Captured Innovation-First Regulation Pathway,15,0.9797,0.368,0.6528,0.6038,0.9416
P7,RM8,SC7,Captured Innovation-First Regulation Pathway,16,1.0304,0.3639,0.6725,0.6275,0.977
P7,RM8,SC7,Captured Innovation-First Regulation Pathway,17,1.086,0.3516,0.6926,0.6527,1.0144
P7,RM8,SC7,Captured Innovation-First Regulation Pathway,18,1.1434,0.3392,0.7133,0.6792,1.0518
P7,RM8,SC7,Captured Innovation-First Regulation Pathway,19,1.2026,0.3267,0.7344,0.7073,1.0892
P7,RM8,SC7,Captured Innovation-First Regulation Pathway,20,1.2637,0.314,0.756,0.7368,1.1266
