pathway_id,governance_id,scenario_id,pathway_name,time_step,anticipatory_capacity,legitimacy_score,learning_score,risk_pressure
P2,G2,SC2,Strategic Foresight Unit Without Implementation,11,1.6334,0.7653,1.333,0.7167
P2,G2,SC2,Strategic Foresight Unit Without Implementation,12,1.7337,0.784,1.4,0.7234
P2,G2,SC2,Strategic Foresight Unit Without Implementation,13,1.8,0.8024,1.4,0.7301
P2,G2,SC2,Strategic Foresight Unit Without Implementation,14,1.8,0.8205,1.4,0.7367
P2,G2,SC2,Strategic Foresight Unit Without Implementation,15,1.8,0.8384,1.4,0.7434
P2,G2,SC2,Strategic Foresight Unit Without Implementation,16,1.8,0.852,1.4,0.8501
P2,G2,SC2,Strategic Foresight Unit Without Implementation,17,1.8,0.8653,1.4,0.8568
P2,G2,SC2,Strategic Foresight Unit Without Implementation,18,1.8,0.8784,1.4,0.8634
P2,G2,SC2,Strategic Foresight Unit Without Implementation,19,1.8,0.8912,1.4,0.8701
P2,G2,SC2,Strategic Foresight Unit Without Implementation,20,1.8,0.9037,1.4,0.8768
P2,G2,SC2,Strategic Foresight Unit Without Implementation,21,1.8,0.916,1.4,0.8834
P2,G2,SC2,Strategic Foresight Unit Without Implementation,22,1.8,0.928,1.4,0.8901
P2,G2,SC2,Strategic Foresight Unit Without Implementation,23,1.8,0.9397,1.4,0.8968
P2,G2,SC2,Strategic Foresight Unit Without Implementation,24,1.8,0.9471,1.4,1.0035
P2,G2,SC2,Strategic Foresight Unit Without Implementation,25,1.8,0.9543,1.4,1.0101
P2,G2,SC2,Strategic Foresight Unit Without Implementation,26,1.8,0.9613,1.4,1.0168
P2,G2,SC2,Strategic Foresight Unit Without Implementation,27,1.8,0.9679,1.4,1.0235
P2,G2,SC2,Strategic Foresight Unit Without Implementation,28,1.8,0.9743,1.4,1.0301
P2,G2,SC2,Strategic Foresight Unit Without Implementation,29,1.8,0.9804,1.4,1.0368
P2,G2,SC2,Strategic Foresight Unit Without Implementation,30,1.8,0.9863,1.4,1.0435
P2,G2,SC2,Strategic Foresight Unit Without Implementation,31,1.8,0.9919,1.4,1.0502
P2,G2,SC2,Strategic Foresight Unit Without Implementation,32,1.8,0.9932,1.4,1.1568
P2,G2,SC2,Strategic Foresight Unit Without Implementation,33,1.8,0.9943,1.4,1.1635
P2,G2,SC2,Strategic Foresight Unit Without Implementation,34,1.8,0.9951,1.4,1.1702
P2,G2,SC2,Strategic Foresight Unit Without Implementation,35,1.8,0.9956,1.4,1.1768
P2,G2,SC2,Strategic Foresight Unit Without Implementation,36,1.8,0.9959,1.4,1.1835
P2,G2,SC2,Strategic Foresight Unit Without Implementation,37,1.8,0.9959,1.4,1.1902
P2,G2,SC2,Strategic Foresight Unit Without Implementation,38,1.8,0.9956,1.4,1.1969
P2,G2,SC2,Strategic Foresight Unit Without Implementation,39,1.8,0.995,1.4,1.2035
P2,G2,SC2,Strategic Foresight Unit Without Implementation,40,1.8,0.9902,1.4,1.3102
P3,G3,SC3,Adaptive Regulation Under Technology Acceleration,1,0.66,0.56,0.75,0.55
P3,G3,SC3,Adaptive Regulation Under Technology Acceleration,2,0.7734,0.5901,0.8358,0.553
P3,G3,SC3,Adaptive Regulation Under Technology Acceleration,3,0.8889,0.62,0.9216,0.5561
P3,G3,SC3,Adaptive Regulation Under Technology Acceleration,4,1.0066,0.6499,1.0074,0.5591
P3,G3,SC3,Adaptive Regulation Under Technology Acceleration,5,1.1263,0.6796,1.0932,0.5621
P3,G3,SC3,Adaptive Regulation Under Technology Acceleration,6,1.2481,0.7092,1.179,0.5652
P3,G3,SC3,Adaptive Regulation Under Technology Acceleration,7,1.3721,0.7387,1.2648,0.5682
P3,G3,SC3,Adaptive Regulation Under Technology Acceleration,8,1.4881,0.764,1.3476,0.6712
P3,G3,SC3,Adaptive Regulation Under Technology Acceleration,9,1.6061,0.7892,1.4,0.6743
P3,G3,SC3,Adaptive Regulation Under Technology Acceleration,10,1.7255,0.8143,1.4,0.6773
P3,G3,SC3,Adaptive Regulation Under Technology Acceleration,11,1.8,0.8393,1.4,0.6803
P3,G3,SC3,Adaptive Regulation Under Technology Acceleration,12,1.8,0.8642,1.4,0.6834
P3,G3,SC3,Adaptive Regulation Under Technology Acceleration,13,1.8,0.8889,1.4,0.6864
P3,G3,SC3,Adaptive Regulation Under Technology Acceleration,14,1.8,0.9136,1.4,0.6894
P3,G3,SC3,Adaptive Regulation Under Technology Acceleration,15,1.8,0.9381,1.4,0.6924
P3,G3,SC3,Adaptive Regulation Under Technology Acceleration,16,1.8,0.9584,1.4,0.7955
P3,G3,SC3,Adaptive Regulation Under Technology Acceleration,17,1.8,0.9787,1.4,0.7985
P3,G3,SC3,Adaptive Regulation Under Technology Acceleration,18,1.8,0.9988,1.4,0.8015
P3,G3,SC3,Adaptive Regulation Under Technology Acceleration,19,1.8,1.0189,1.4,0.8046
P3,G3,SC3,Adaptive Regulation Under Technology Acceleration,20,1.8,1.0388,1.4,0.8076
P3,G3,SC3,Adaptive Regulation Under Technology Acceleration,21,1.8,1.0585,1.4,0.8106
P3,G3,SC3,Adaptive Regulation Under Technology Acceleration,22,1.8,1.0782,1.4,0.8137
P3,G3,SC3,Adaptive Regulation Under Technology Acceleration,23,1.8,1.0977,1.4,0.8167
P3,G3,SC3,Adaptive Regulation Under Technology Acceleration,24,1.8,1.1131,1.4,0.9197
P3,G3,SC3,Adaptive Regulation Under Technology Acceleration,25,1.8,1.1284,1.4,0.9228
P3,G3,SC3,Adaptive Regulation Under Technology Acceleration,26,1.8,1.1436,1.4,0.9258
P3,G3,SC3,Adaptive Regulation Under Technology Acceleration,27,1.8,1.1586,1.4,0.9288
P3,G3,SC3,Adaptive Regulation Under Technology Acceleration,28,1.8,1.1736,1.4,0.9319
P3,G3,SC3,Adaptive Regulation Under Technology Acceleration,29,1.8,1.1884,1.4,0.9349
P3,G3,SC3,Adaptive Regulation Under Technology Acceleration,30,1.8,1.203,1.4,0.9379
P3,G3,SC3,Adaptive Regulation Under Technology Acceleration,31,1.8,1.2176,1.4,0.941
P3,G3,SC3,Adaptive Regulation Under Technology Acceleration,32,1.8,1.228,1.4,1.044
P3,G3,SC3,Adaptive Regulation Under Technology Acceleration,33,1.8,1.2384,1.4,1.047
P3,G3,SC3,Adaptive Regulation Under Technology Acceleration,34,1.8,1.2486,1.4,1.0501
P3,G3,SC3,Adaptive Regulation Under Technology Acceleration,35,1.8,1.2586,1.4,1.0531
P3,G3,SC3,Adaptive Regulation Under Technology Acceleration,36,1.8,1.2686,1.4,1.0561
P3,G3,SC3,Adaptive Regulation Under Technology Acceleration,37,1.8,1.2784,1.4,1.0592
P3,G3,SC3,Adaptive Regulation Under Technology Acceleration,38,1.8,1.2881,1.4,1.0622
P3,G3,SC3,Adaptive Regulation Under Technology Acceleration,39,1.8,1.2977,1.4,1.0652
P3,G3,SC3,Adaptive Regulation Under Technology Acceleration,40,1.8,1.3032,1.4,1.1682
P4,G4,SC6,Participatory Anticipatory Governance Pathway,1,0.72,0.86,0.71,0.55
P4,G4,SC6,Participatory Anticipatory Governance Pathway,2,0.849,0.9127,0.795,0.5514
P4,G4,SC6,Participatory Anticipatory Governance Pathway,3,0.9807,0.9654,0.88,0.5529
P4,G4,SC6,Participatory Anticipatory Governance Pathway,4,1.1152,1.0181,0.965,0.5543
P4,G4,SC6,Participatory Anticipatory Governance Pathway,5,1.2526,1.0706,1.05,0.5558
P4,G4,SC6,Participatory Anticipatory Governance Pathway,6,1.3927,1.1231,1.135,0.5572
P4,G4,SC6,Participatory Anticipatory Governance Pathway,7,1.5355,1.1756,1.22,0.5587
P4,G4,SC6,Participatory Anticipatory Governance Pathway,8,1.6712,1.224,1.302,0.6601
P4,G4,SC6,Participatory Anticipatory Governance Pathway,9,1.8,1.2723,1.387,0.6616
P4,G4,SC6,Participatory Anticipatory Governance Pathway,10,1.8,1.3206,1.4,0.663
P4,G4,SC6,Participatory Anticipatory Governance Pathway,11,1.8,1.3688,1.4,0.6645
P4,G4,SC6,Participatory Anticipatory Governance Pathway,12,1.8,1.4,1.4,0.6659
P4,G4,SC6,Participatory Anticipatory Governance Pathway,13,1.8,1.4,1.4,0.6674
P4,G4,SC6,Participatory Anticipatory Governance Pathway,14,1.8,1.4,1.4,0.6688
P4,G4,SC6,Participatory Anticipatory Governance Pathway,15,1.8,1.4,1.4,0.6703
P4,G4,SC6,Participatory Anticipatory Governance Pathway,16,1.8,1.4,1.4,0.7717
P4,G4,SC6,Participatory Anticipatory Governance Pathway,17,1.8,1.4,1.4,0.7732
P4,G4,SC6,Participatory Anticipatory Governance Pathway,18,1.8,1.4,1.4,0.7746
P4,G4,SC6,Participatory Anticipatory Governance Pathway,19,1.8,1.4,1.4,0.7761
P4,G4,SC6,Participatory Anticipatory Governance Pathway,20,1.8,1.4,1.4,0.7775
P4,G4,SC6,Participatory Anticipatory Governance Pathway,21,1.8,1.4,1.4,0.779
P4,G4,SC6,Participatory Anticipatory Governance Pathway,22,1.8,1.4,1.4,0.7804
P4,G4,SC6,Participatory Anticipatory Governance Pathway,23,1.8,1.4,1.4,0.7819
P4,G4,SC6,Participatory Anticipatory Governance Pathway,24,1.8,1.4,1.4,0.8833
P4,G4,SC6,Participatory Anticipatory Governance Pathway,25,1.8,1.4,1.4,0.8848
P4,G4,SC6,Participatory Anticipatory Governance Pathway,26,1.8,1.4,1.4,0.8862
P4,G4,SC6,Participatory Anticipatory Governance Pathway,27,1.8,1.4,1.4,0.8876
P4,G4,SC6,Participatory Anticipatory Governance Pathway,28,1.8,1.4,1.4,0.8891
P4,G4,SC6,Participatory Anticipatory Governance Pathway,29,1.8,1.4,1.4,0.8905
P4,G4,SC6,Participatory Anticipatory Governance Pathway,30,1.8,1.4,1.4,0.892
P4,G4,SC6,Participatory Anticipatory Governance Pathway,31,1.8,1.4,1.4,0.8934
P4,G4,SC6,Participatory Anticipatory Governance Pathway,32,1.8,1.4,1.4,0.9949
P4,G4,SC6,Participatory Anticipatory Governance Pathway,33,1.8,1.4,1.4,0.9963
P4,G4,SC6,Participatory Anticipatory Governance Pathway,34,1.8,1.4,1.4,0.9978
P4,G4,SC6,Participatory Anticipatory Governance Pathway,35,1.8,1.4,1.4,0.9992
P4,G4,SC6,Participatory Anticipatory Governance Pathway,36,1.8,1.4,1.4,1.0007
P4,G4,SC6,Participatory Anticipatory Governance Pathway,37,1.8,1.4,1.4,1.0021
P4,G4,SC6,Participatory Anticipatory Governance Pathway,38,1.8,1.4,1.4,1.0036
P4,G4,SC6,Participatory Anticipatory Governance Pathway,39,1.8,1.4,1.4,1.005
P4,G4,SC6,Participatory Anticipatory Governance Pathway,40,1.8,1.4,1.4,1.1065
P5,G5,SC1,Preparedness and Early Warning Capacity Pathway,1,0.74,0.62,0.69,0.55
P5,G5,SC1,Preparedness and Early Warning Capacity Pathway,2,0.872,0.6596,0.773,0.5456
P5,G5,SC1,Preparedness and Early Warning Capacity Pathway,3,1.0071,0.6993,0.856,0.5412
P5,G5,SC1,Preparedness and Early Warning Capacity Pathway,4,1.1452,0.7393,0.939,0.5367
P5,G5,SC1,Preparedness and Early Warning Capacity Pathway,5,1.2863,0.7794,1.022,0.5323
P5,G5,SC1,Preparedness and Early Warning Capacity Pathway,6,1.4304,0.8197,1.105,0.5279
P5,G5,SC1,Preparedness and Early Warning Capacity Pathway,7,1.5776,0.8601,1.188,0.5235
P5,G5,SC1,Preparedness and Early Warning Capacity Pathway,8,1.7179,0.8968,1.268,0.619
P5,G5,SC1,Preparedness and Early Warning Capacity Pathway,9,1.8,0.9336,1.351,0.6146
P5,G5,SC1,Preparedness and Early Warning Capacity Pathway,10,1.8,0.9706,1.4,0.6102
P5,G5,SC1,Preparedness and Early Warning Capacity Pathway,11,1.8,1.0077,1.4,0.6058
P5,G5,SC1,Preparedness and Early Warning Capacity Pathway,12,1.8,1.0451,1.4,0.6013
P5,G5,SC1,Preparedness and Early Warning Capacity Pathway,13,1.8,1.0826,1.4,0.5969
P5,G5,SC1,Preparedness and Early Warning Capacity Pathway,14,1.8,1.1203,1.4,0.5925
P5,G5,SC1,Preparedness and Early Warning Capacity Pathway,15,1.8,1.1582,1.4,0.5881
P5,G5,SC1,Preparedness and Early Warning Capacity Pathway,16,1.8,1.1922,1.4,0.6836
P5,G5,SC1,Preparedness and Early Warning Capacity Pathway,17,1.8,1.2265,1.4,0.6792
P5,G5,SC1,Preparedness and Early Warning Capacity Pathway,18,1.8,1.2609,1.4,0.6748
P5,G5,SC1,Preparedness and Early Warning Capacity Pathway,19,1.8,1.2955,1.4,0.6704
P5,G5,SC1,Preparedness and Early Warning Capacity Pathway,20,1.8,1.3302,1.4,0.6659
P5,G5,SC1,Preparedness and Early Warning Capacity Pathway,21,1.8,1.3652,1.4,0.6615
P5,G5,SC1,Preparedness and Early Warning Capacity Pathway,22,1.8,1.4,1.4,0.6571
P5,G5,SC1,Preparedness and Early Warning Capacity Pathway,23,1.8,1.4,1.4,0.6527
P5,G5,SC1,Preparedness and Early Warning Capacity Pathway,24,1.8,1.4,1.4,0.7482
P5,G5,SC1,Preparedness and Early Warning Capacity Pathway,25,1.8,1.4,1.4,0.7438
P5,G5,SC1,Preparedness and Early Warning Capacity Pathway,26,1.8,1.4,1.4,0.7394
P5,G5,SC1,Preparedness and Early Warning Capacity Pathway,27,1.8,1.4,1.4,0.735
P5,G5,SC1,Preparedness and Early Warning Capacity Pathway,28,1.8,1.4,1.4,0.7306
P5,G5,SC1,Preparedness and Early Warning Capacity Pathway,29,1.8,1.4,1.4,0.7261
P5,G5,SC1,Preparedness and Early Warning Capacity Pathway,30,1.8,1.4,1.4,0.7217
P5,G5,SC1,Preparedness and Early Warning Capacity Pathway,31,1.8,1.4,1.4,0.7173
P5,G5,SC1,Preparedness and Early Warning Capacity Pathway,32,1.8,1.4,1.4,0.8129
P5,G5,SC1,Preparedness and Early Warning Capacity Pathway,33,1.8,1.4,1.4,0.8084
P5,G5,SC1,Preparedness and Early Warning Capacity Pathway,34,1.8,1.4,1.4,0.804
P5,G5,SC1,Preparedness and Early Warning Capacity Pathway,35,1.8,1.4,1.4,0.7996
P5,G5,SC1,Preparedness and Early Warning Capacity Pathway,36,1.8,1.4,1.4,0.7952
P5,G5,SC1,Preparedness and Early Warning Capacity Pathway,37,1.8,1.4,1.4,0.7907
P5,G5,SC1,Preparedness and Early Warning Capacity Pathway,38,1.8,1.4,1.4,0.7863
P5,G5,SC1,Preparedness and Early Warning Capacity Pathway,39,1.8,1.4,1.4,0.7819
P5,G5,SC1,Preparedness and Early Warning Capacity Pathway,40,1.8,1.4,1.4,0.8775
P6,G6,SC1,Policy Lab Experimentation and Learning Pathway,1,0.6,0.6,0.62,0.55
P6,G6,SC1,Policy Lab Experimentation and Learning Pathway,2,0.6972,0.6314,0.6946,0.5592
P6,G6,SC1,Policy Lab Experimentation and Learning Pathway,3,0.7957,0.6625,0.7692,0.5683
P6,G6,SC1,Policy Lab Experimentation and Learning Pathway,4,0.8955,0.6932,0.8438,0.5775
P6,G6,SC1,Policy Lab Experimentation and Learning Pathway,5,0.9966,0.7235,0.9184,0.5867
P6,G6,SC1,Policy Lab Experimentation and Learning Pathway,6,1.099,0.7535,0.993,0.5958
P6,G6,SC1,Policy Lab Experimentation and Learning Pathway,7,1.2027,0.7831,1.0676,0.605
P6,G6,SC1,Policy Lab Experimentation and Learning Pathway,8,1.2976,0.8083,1.1392,0.7142
P6,G6,SC1,Policy Lab Experimentation and Learning Pathway,9,1.3936,0.8332,1.2138,0.7233
P6,G6,SC1,Policy Lab Experimentation and Learning Pathway,10,1.4908,0.8577,1.2884,0.7325
P6,G6,SC1,Policy Lab Experimentation and Learning Pathway,11,1.5892,0.8818,1.363,0.7417
P6,G6,SC1,Policy Lab Experimentation and Learning Pathway,12,1.6886,0.9056,1.4,0.7508
P6,G6,SC1,Policy Lab Experimentation and Learning Pathway,13,1.7885,0.929,1.4,0.76
P6,G6,SC1,Policy Lab Experimentation and Learning Pathway,14,1.8,0.952,1.4,0.7692
P6,G6,SC1,Policy Lab Experimentation and Learning Pathway,15,1.8,0.9747,1.4,0.7784
P6,G6,SC1,Policy Lab Experimentation and Learning Pathway,16,1.8,0.993,1.4,0.8875
P6,G6,SC1,Policy Lab Experimentation and Learning Pathway,17,1.8,1.0109,1.4,0.8967
P6,G6,SC1,Policy Lab Experimentation and Learning Pathway,18,1.8,1.0285,1.4,0.9059
P6,G6,SC1,Policy Lab Experimentation and Learning Pathway,19,1.8,1.0457,1.4,0.915
P6,G6,SC1,Policy Lab Experimentation and Learning Pathway,20,1.8,1.0625,1.4,0.9242
P6,G6,SC1,Policy Lab Experimentation and Learning Pathway,21,1.8,1.079,1.4,0.9334
P6,G6,SC1,Policy Lab Experimentation and Learning Pathway,22,1.8,1.0951,1.4,0.9425
P6,G6,SC1,Policy Lab Experimentation and Learning Pathway,23,1.8,1.1108,1.4,0.9517
P6,G6,SC1,Policy Lab Experimentation and Learning Pathway,24,1.8,1.1222,1.4,1.0609
P6,G6,SC1,Policy Lab Experimentation and Learning Pathway,25,1.8,1.1332,1.4,1.07
P6,G6,SC1,Policy Lab Experimentation and Learning Pathway,26,1.8,1.1438,1.4,1.0792
P6,G6,SC1,Policy Lab Experimentation and Learning Pathway,27,1.8,1.1541,1.4,1.0884
P6,G6,SC1,Policy Lab Experimentation and Learning Pathway,28,1.8,1.164,1.4,1.0975
P6,G6,SC1,Policy Lab Experimentation and Learning Pathway,29,1.8,1.1735,1.4,1.1067
P6,G6,SC1,Policy Lab Experimentation and Learning Pathway,30,1.8,1.1827,1.4,1.1159
P6,G6,SC1,Policy Lab Experimentation and Learning Pathway,31,1.8,1.1915,1.4,1.125
P6,G6,SC1,Policy Lab Experimentation and Learning Pathway,32,1.8,1.1959,1.4,1.2342
P6,G6,SC1,Policy Lab Experimentation and Learning Pathway,33,1.8,1.2,1.4,1.2434
P6,G6,SC1,Policy Lab Experimentation and Learning Pathway,34,1.8,1.2037,1.4,1.2525
P6,G6,SC1,Policy Lab Experimentation and Learning Pathway,35,1.8,1.207,1.4,1.2617
P6,G6,SC1,Policy Lab Experimentation and Learning Pathway,36,1.8,1.21,1.4,1.2709
P6,G6,SC1,Policy Lab Experimentation and Learning Pathway,37,1.8,1.2126,1.4,1.28
P6,G6,SC1,Policy Lab Experimentation and Learning Pathway,38,1.8,1.2148,1.4,1.2892
P6,G6,SC1,Policy Lab Experimentation and Learning Pathway,39,1.8,1.2167,1.4,1.2984
P6,G6,SC1,Policy Lab Experimentation and Learning Pathway,40,1.8,1.2142,1.4,1.4076
P7,G7,SC1,Long Term Public Investment Pathway,1,0.68,0.64,0.63,0.55
P7,G7,SC1,Long Term Public Investment Pathway,2,0.7895,0.679,0.7058,0.5556
P7,G7,SC1,Long Term Public Investment Pathway,3,0.9008,0.7177,0.7816,0.5613
P7,G7,SC1,Long Term Public Investment Pathway,4,1.014,0.7562,0.8574,0.5669
P7,G7,SC1,Long Term Public Investment Pathway,5,1.1291,0.7945,0.9332,0.5726
P7,G7,SC1,Long Term Public Investment Pathway,6,1.246,0.8326,1.009,0.5782
P7,G7,SC1,Long Term Public Investment Pathway,7,1.3647,0.8705,1.0848,0.5839
P7,G7,SC1,Long Term Public Investment Pathway,8,1.4753,0.9041,1.1576,0.6895
P7,G7,SC1,Long Term Public Investment Pathway,9,1.5876,0.9375,1.2334,0.6952
P7,G7,SC1,Long Term Public Investment Pathway,10,1.7015,0.9706,1.3092,0.7008
P7,G7,SC1,Long Term Public Investment Pathway,11,1.8,1.0036,1.385,0.7065
P7,G7,SC1,Long Term Public Investment Pathway,12,1.8,1.0363,1.4,0.7121
P7,G7,SC1,Long Term Public Investment Pathway,13,1.8,1.0688,1.4,0.7178
P7,G7,SC1,Long Term Public Investment Pathway,14,1.8,1.101,1.4,0.7234
P7,G7,SC1,Long Term Public Investment Pathway,15,1.8,1.1331,1.4,0.7291
P7,G7,SC1,Long Term Public Investment Pathway,16,1.8,1.1609,1.4,0.8347
P7,G7,SC1,Long Term Public Investment Pathway,17,1.8,1.1885,1.4,0.8404
P7,G7,SC1,Long Term Public Investment Pathway,18,1.8,1.2158,1.4,0.846
P7,G7,SC1,Long Term Public Investment Pathway,19,1.8,1.243,1.4,0.8517
P7,G7,SC1,Long Term Public Investment Pathway,20,1.8,1.2699,1.4,0.8573
P7,G7,SC1,Long Term Public Investment Pathway,21,1.8,1.2966,1.4,0.863
P7,G7,SC1,Long Term Public Investment Pathway,22,1.8,1.323,1.4,0.8686
P7,G7,SC1,Long Term Public Investment Pathway,23,1.8,1.3492,1.4,0.8743
P7,G7,SC1,Long Term Public Investment Pathway,24,1.8,1.3712,1.4,0.9799
P7,G7,SC1,Long Term Public Investment Pathway,25,1.8,1.393,1.4,0.9856
P7,G7,SC1,Long Term Public Investment Pathway,26,1.8,1.4,1.4,0.9912
P7,G7,SC1,Long Term Public Investment Pathway,27,1.8,1.4,1.4,0.9968
P7,G7,SC1,Long Term Public Investment Pathway,28,1.8,1.4,1.4,1.0025
P7,G7,SC1,Long Term Public Investment Pathway,29,1.8,1.4,1.4,1.0081
P7,G7,SC1,Long Term Public Investment Pathway,30,1.8,1.4,1.4,1.0138
P7,G7,SC1,Long Term Public Investment Pathway,31,1.8,1.4,1.4,1.0194
P7,G7,SC1,Long Term Public Investment Pathway,32,1.8,1.4,1.4,1.1251
P7,G7,SC1,Long Term Public Investment Pathway,33,1.8,1.4,1.4,1.1307
P7,G7,SC1,Long Term Public Investment Pathway,34,1.8,1.4,1.4,1.1364
P7,G7,SC1,Long Term Public Investment Pathway,35,1.8,1.4,1.4,1.142
P7,G7,SC1,Long Term Public Investment Pathway,36,1.8,1.4,1.4,1.1477
P7,G7,SC1,Long Term Public Investment Pathway,37,1.8,1.4,1.4,1.1533
P7,G7,SC1,Long Term Public Investment Pathway,38,1.8,1.4,1.4,1.159
P7,G7,SC1,Long Term Public Investment Pathway,39,1.8,1.4,1.4,1.1646
P7,G7,SC1,Long Term Public Investment Pathway,40,1.8,1.4,1.4,1.2703
P8,G8,SC4,Security Dominated Anticipation Pathway,1,0.62,0.38,0.71,0.55
P8,G8,SC4,Security Dominated Anticipation Pathway,2,0.7305,0.3966,0.7882,0.5496
P8,G8,SC4,Security Dominated Anticipation Pathway,3,0.843,0.4132,0.8664,0.5493
P8,G8,SC4,Security Dominated Anticipation Pathway,4,0.9575,0.4299,0.9446,0.5489
P8,G8,SC4,Security Dominated Anticipation Pathway,5,1.0739,0.4465,1.0228,0.5485
P8,G8,SC4,Security Dominated Anticipation Pathway,6,1.1924,0.4632,1.101,0.5482
