pathway_id,scenario_id,pathway_name,time_step,transformation_viability,pressure_index,transformation_depth
PW2,SC2,Coordinated Adaptive Transformation Pathway,34,2.0,2.5,2.5
PW2,SC2,Coordinated Adaptive Transformation Pathway,35,2.0,2.5,2.5
PW2,SC2,Coordinated Adaptive Transformation Pathway,36,2.0,2.5,2.5
PW2,SC2,Coordinated Adaptive Transformation Pathway,37,2.0,2.5,2.5
PW2,SC2,Coordinated Adaptive Transformation Pathway,38,2.0,2.5,2.5
PW2,SC2,Coordinated Adaptive Transformation Pathway,39,2.0,2.5,2.5
PW2,SC2,Coordinated Adaptive Transformation Pathway,40,2.0,2.5,2.5
PW3,SC3,Technologically Accelerated Uneven Pathway,1,1.0,1.41,0.3
PW3,SC3,Technologically Accelerated Uneven Pathway,2,0.9149,1.8193,0.3946
PW3,SC3,Technologically Accelerated Uneven Pathway,3,0.8298,2.1959,0.4892
PW3,SC3,Technologically Accelerated Uneven Pathway,4,0.7446,2.5,0.5838
PW3,SC3,Technologically Accelerated Uneven Pathway,5,0.6595,2.5,0.6784
PW3,SC3,Technologically Accelerated Uneven Pathway,6,0.5744,2.5,0.773
PW3,SC3,Technologically Accelerated Uneven Pathway,7,0.4893,2.5,0.8676
PW3,SC3,Technologically Accelerated Uneven Pathway,8,0.4042,2.5,0.9622
PW3,SC3,Technologically Accelerated Uneven Pathway,9,0.3115,2.5,1.0568
PW3,SC3,Technologically Accelerated Uneven Pathway,10,0.2264,2.5,1.1514
PW3,SC3,Technologically Accelerated Uneven Pathway,11,0.1413,2.5,1.246
PW3,SC3,Technologically Accelerated Uneven Pathway,12,0.0561,2.5,1.3406
PW3,SC3,Technologically Accelerated Uneven Pathway,13,0.0,2.5,1.4352
PW3,SC3,Technologically Accelerated Uneven Pathway,14,0.0,2.5,1.5298
PW3,SC3,Technologically Accelerated Uneven Pathway,15,0.0,2.5,1.6244
PW3,SC3,Technologically Accelerated Uneven Pathway,16,0.0,2.5,1.719
PW3,SC3,Technologically Accelerated Uneven Pathway,17,0.0,2.5,1.8136
PW3,SC3,Technologically Accelerated Uneven Pathway,18,0.0,2.5,1.9082
PW3,SC3,Technologically Accelerated Uneven Pathway,19,0.0,2.5,2.0028
PW3,SC3,Technologically Accelerated Uneven Pathway,20,0.0,2.5,2.0974
PW3,SC3,Technologically Accelerated Uneven Pathway,21,0.0,2.5,2.192
PW3,SC3,Technologically Accelerated Uneven Pathway,22,0.0,2.5,2.2866
PW3,SC3,Technologically Accelerated Uneven Pathway,23,0.0,2.5,2.3812
PW3,SC3,Technologically Accelerated Uneven Pathway,24,0.0,2.5,2.4758
PW3,SC3,Technologically Accelerated Uneven Pathway,25,0.0,2.5,2.5
PW3,SC3,Technologically Accelerated Uneven Pathway,26,0.0,2.5,2.5
PW3,SC3,Technologically Accelerated Uneven Pathway,27,0.0,2.5,2.5
PW3,SC3,Technologically Accelerated Uneven Pathway,28,0.0,2.5,2.5
PW3,SC3,Technologically Accelerated Uneven Pathway,29,0.0,2.5,2.5
PW3,SC3,Technologically Accelerated Uneven Pathway,30,0.0,2.5,2.5
PW3,SC3,Technologically Accelerated Uneven Pathway,31,0.0,2.5,2.5
PW3,SC3,Technologically Accelerated Uneven Pathway,32,0.0,2.5,2.5
PW3,SC3,Technologically Accelerated Uneven Pathway,33,0.0,2.5,2.5
PW3,SC3,Technologically Accelerated Uneven Pathway,34,0.0,2.5,2.5
PW3,SC3,Technologically Accelerated Uneven Pathway,35,0.0,2.5,2.5
PW3,SC3,Technologically Accelerated Uneven Pathway,36,0.0,2.5,2.5
PW3,SC3,Technologically Accelerated Uneven Pathway,37,0.0,2.5,2.5
PW3,SC3,Technologically Accelerated Uneven Pathway,38,0.0,2.5,2.5
PW3,SC3,Technologically Accelerated Uneven Pathway,39,0.0,2.5,2.5
PW3,SC3,Technologically Accelerated Uneven Pathway,40,0.0,2.5,2.5
PW4,SC4,Ecologically Constrained Reordering Pathway,1,1.0,1.4,0.3
PW4,SC4,Ecologically Constrained Reordering Pathway,2,0.9119,1.8062,0.3776
PW4,SC4,Ecologically Constrained Reordering Pathway,3,0.8238,2.1799,0.4552
PW4,SC4,Ecologically Constrained Reordering Pathway,4,0.7357,2.5,0.5328
PW4,SC4,Ecologically Constrained Reordering Pathway,5,0.6476,2.5,0.6104
PW4,SC4,Ecologically Constrained Reordering Pathway,6,0.5596,2.5,0.688
PW4,SC4,Ecologically Constrained Reordering Pathway,7,0.4715,2.5,0.7656
PW4,SC4,Ecologically Constrained Reordering Pathway,8,0.3834,2.5,0.8432
PW4,SC4,Ecologically Constrained Reordering Pathway,9,0.2844,2.5,0.9208
PW4,SC4,Ecologically Constrained Reordering Pathway,10,0.1963,2.5,0.9984
PW4,SC4,Ecologically Constrained Reordering Pathway,11,0.1082,2.5,1.076
PW4,SC4,Ecologically Constrained Reordering Pathway,12,0.0201,2.5,1.1536
PW4,SC4,Ecologically Constrained Reordering Pathway,13,0.0,2.5,1.2312
PW4,SC4,Ecologically Constrained Reordering Pathway,14,0.0,2.5,1.3088
PW4,SC4,Ecologically Constrained Reordering Pathway,15,0.0,2.5,1.3864
PW4,SC4,Ecologically Constrained Reordering Pathway,16,0.0,2.5,1.464
PW4,SC4,Ecologically Constrained Reordering Pathway,17,0.0,2.5,1.5416
PW4,SC4,Ecologically Constrained Reordering Pathway,18,0.0,2.5,1.6192
PW4,SC4,Ecologically Constrained Reordering Pathway,19,0.0,2.5,1.6968
PW4,SC4,Ecologically Constrained Reordering Pathway,20,0.0,2.5,1.7744
PW4,SC4,Ecologically Constrained Reordering Pathway,21,0.0,2.5,1.852
PW4,SC4,Ecologically Constrained Reordering Pathway,22,0.0,2.5,1.9296
PW4,SC4,Ecologically Constrained Reordering Pathway,23,0.0,2.5,2.0072
PW4,SC4,Ecologically Constrained Reordering Pathway,24,0.0,2.5,2.0848
PW4,SC4,Ecologically Constrained Reordering Pathway,25,0.0,2.5,2.1624
PW4,SC4,Ecologically Constrained Reordering Pathway,26,0.0,2.5,2.24
PW4,SC4,Ecologically Constrained Reordering Pathway,27,0.0,2.5,2.3176
PW4,SC4,Ecologically Constrained Reordering Pathway,28,0.0,2.5,2.3952
PW4,SC4,Ecologically Constrained Reordering Pathway,29,0.0,2.5,2.4728
PW4,SC4,Ecologically Constrained Reordering Pathway,30,0.0,2.5,2.5
PW4,SC4,Ecologically Constrained Reordering Pathway,31,0.0,2.5,2.5
PW4,SC4,Ecologically Constrained Reordering Pathway,32,0.0,2.5,2.5
PW4,SC4,Ecologically Constrained Reordering Pathway,33,0.0,2.5,2.5
PW4,SC4,Ecologically Constrained Reordering Pathway,34,0.0,2.5,2.5
PW4,SC4,Ecologically Constrained Reordering Pathway,35,0.0,2.5,2.5
PW4,SC4,Ecologically Constrained Reordering Pathway,36,0.0,2.5,2.5
PW4,SC4,Ecologically Constrained Reordering Pathway,37,0.0,2.5,2.5
PW4,SC4,Ecologically Constrained Reordering Pathway,38,0.0,2.5,2.5
PW4,SC4,Ecologically Constrained Reordering Pathway,39,0.0,2.5,2.5
PW4,SC4,Ecologically Constrained Reordering Pathway,40,0.0,2.5,2.5
PW5,SC5,Justice-Centered Public Transformation Pathway,1,1.0,1.12,0.3
PW5,SC5,Justice-Centered Public Transformation Pathway,2,1.089,1.3338,0.3796
PW5,SC5,Justice-Centered Public Transformation Pathway,3,1.178,1.5305,0.4592
PW5,SC5,Justice-Centered Public Transformation Pathway,4,1.2671,1.7115,0.5388
PW5,SC5,Justice-Centered Public Transformation Pathway,5,1.3561,1.8779,0.6184
PW5,SC5,Justice-Centered Public Transformation Pathway,6,1.4451,2.0311,0.698
PW5,SC5,Justice-Centered Public Transformation Pathway,7,1.5341,2.172,0.7776
PW5,SC5,Justice-Centered Public Transformation Pathway,8,1.6231,2.3017,0.8572
PW5,SC5,Justice-Centered Public Transformation Pathway,9,1.7064,2.4495,0.9368
PW5,SC5,Justice-Centered Public Transformation Pathway,10,1.7955,2.5,1.0164
PW5,SC5,Justice-Centered Public Transformation Pathway,11,1.8845,2.5,1.096
PW5,SC5,Justice-Centered Public Transformation Pathway,12,1.9735,2.5,1.1756
PW5,SC5,Justice-Centered Public Transformation Pathway,13,2.0,2.5,1.2552
PW5,SC5,Justice-Centered Public Transformation Pathway,14,2.0,2.5,1.3348
PW5,SC5,Justice-Centered Public Transformation Pathway,15,2.0,2.5,1.4144
PW5,SC5,Justice-Centered Public Transformation Pathway,16,2.0,2.5,1.494
PW5,SC5,Justice-Centered Public Transformation Pathway,17,2.0,2.5,1.5736
PW5,SC5,Justice-Centered Public Transformation Pathway,18,2.0,2.5,1.6532
PW5,SC5,Justice-Centered Public Transformation Pathway,19,2.0,2.5,1.7328
PW5,SC5,Justice-Centered Public Transformation Pathway,20,2.0,2.5,1.8124
PW5,SC5,Justice-Centered Public Transformation Pathway,21,2.0,2.5,1.892
PW5,SC5,Justice-Centered Public Transformation Pathway,22,2.0,2.5,1.9716
PW5,SC5,Justice-Centered Public Transformation Pathway,23,2.0,2.5,2.0512
PW5,SC5,Justice-Centered Public Transformation Pathway,24,2.0,2.5,2.1308
PW5,SC5,Justice-Centered Public Transformation Pathway,25,2.0,2.5,2.2104
PW5,SC5,Justice-Centered Public Transformation Pathway,26,2.0,2.5,2.29
PW5,SC5,Justice-Centered Public Transformation Pathway,27,2.0,2.5,2.3696
PW5,SC5,Justice-Centered Public Transformation Pathway,28,2.0,2.5,2.4492
PW5,SC5,Justice-Centered Public Transformation Pathway,29,2.0,2.5,2.5
PW5,SC5,Justice-Centered Public Transformation Pathway,30,2.0,2.5,2.5
PW5,SC5,Justice-Centered Public Transformation Pathway,31,2.0,2.5,2.5
PW5,SC5,Justice-Centered Public Transformation Pathway,32,2.0,2.5,2.5
PW5,SC5,Justice-Centered Public Transformation Pathway,33,2.0,2.5,2.5
PW5,SC5,Justice-Centered Public Transformation Pathway,34,2.0,2.5,2.5
PW5,SC5,Justice-Centered Public Transformation Pathway,35,2.0,2.5,2.5
PW5,SC5,Justice-Centered Public Transformation Pathway,36,2.0,2.5,2.5
PW5,SC5,Justice-Centered Public Transformation Pathway,37,2.0,2.5,2.5
PW5,SC5,Justice-Centered Public Transformation Pathway,38,2.0,2.5,2.5
PW5,SC5,Justice-Centered Public Transformation Pathway,39,2.0,2.5,2.5
PW5,SC5,Justice-Centered Public Transformation Pathway,40,2.0,2.5,2.5
