pathway_id,system_id,pathway_name,time_step,decision_quality,uncertainty_pressure,harm_risk
P2,DS2,AI-Augmented Decision Pathway,20,1.8,0.6721,0.2955
P2,DS2,AI-Augmented Decision Pathway,21,1.8,0.6641,0.2955
P2,DS2,AI-Augmented Decision Pathway,22,1.8,0.6571,0.2955
P2,DS2,AI-Augmented Decision Pathway,23,1.8,0.651,0.2955
P2,DS2,AI-Augmented Decision Pathway,24,1.8,0.6456,0.2955
P2,DS2,AI-Augmented Decision Pathway,25,1.8,0.6408,0.2955
P2,DS2,AI-Augmented Decision Pathway,26,1.8,0.6366,0.2955
P2,DS2,AI-Augmented Decision Pathway,27,1.8,0.7329,0.3055
P2,DS2,AI-Augmented Decision Pathway,28,1.8,0.7177,0.2955
P2,DS2,AI-Augmented Decision Pathway,29,1.8,0.7043,0.2955
P2,DS2,AI-Augmented Decision Pathway,30,1.8,0.6925,0.2955
P2,DS2,AI-Augmented Decision Pathway,31,1.8,0.6821,0.2955
P2,DS2,AI-Augmented Decision Pathway,32,1.8,0.6729,0.2955
P2,DS2,AI-Augmented Decision Pathway,33,1.8,0.6649,0.2955
P2,DS2,AI-Augmented Decision Pathway,34,1.8,0.6578,0.2955
P2,DS2,AI-Augmented Decision Pathway,35,1.8,0.6516,0.2955
P2,DS2,AI-Augmented Decision Pathway,36,1.8,0.7461,0.3055
P2,DS2,AI-Augmented Decision Pathway,37,1.8,0.7293,0.2955
P2,DS2,AI-Augmented Decision Pathway,38,1.8,0.7145,0.2955
P2,DS2,AI-Augmented Decision Pathway,39,1.8,0.7014,0.2955
P2,DS2,AI-Augmented Decision Pathway,40,1.8,0.69,0.2955
P3,DS3,Automated Optimization Decision Pathway,1,1.0,0.2,0.2
P3,DS3,Automated Optimization Decision Pathway,2,1.0354,0.279,0.5046
P3,DS3,Automated Optimization Decision Pathway,3,1.0708,0.3485,0.5046
P3,DS3,Automated Optimization Decision Pathway,4,1.1062,0.4096,0.5046
P3,DS3,Automated Optimization Decision Pathway,5,1.1415,0.4635,0.5046
P3,DS3,Automated Optimization Decision Pathway,6,1.1769,0.5108,0.5046
P3,DS3,Automated Optimization Decision Pathway,7,1.2123,0.5525,0.5046
P3,DS3,Automated Optimization Decision Pathway,8,1.2477,0.5892,0.5046
P3,DS3,Automated Optimization Decision Pathway,9,1.1831,0.7215,0.5146
P3,DS3,Automated Optimization Decision Pathway,10,1.2185,0.7379,0.5046
P3,DS3,Automated Optimization Decision Pathway,11,1.2539,0.7523,0.5046
P3,DS3,Automated Optimization Decision Pathway,12,1.2893,0.765,0.5046
P3,DS3,Automated Optimization Decision Pathway,13,1.3246,0.7762,0.5046
P3,DS3,Automated Optimization Decision Pathway,14,1.36,0.786,0.5046
P3,DS3,Automated Optimization Decision Pathway,15,1.3954,0.7947,0.5046
P3,DS3,Automated Optimization Decision Pathway,16,1.4308,0.8023,0.5046
P3,DS3,Automated Optimization Decision Pathway,17,1.4662,0.809,0.5046
P3,DS3,Automated Optimization Decision Pathway,18,1.4016,0.9149,0.5146
P3,DS3,Automated Optimization Decision Pathway,19,1.437,0.9081,0.5046
P3,DS3,Automated Optimization Decision Pathway,20,1.4724,0.9021,0.5046
P3,DS3,Automated Optimization Decision Pathway,21,1.5077,0.8968,0.5046
P3,DS3,Automated Optimization Decision Pathway,22,1.5431,0.8922,0.5046
P3,DS3,Automated Optimization Decision Pathway,23,1.5785,0.8881,0.5046
P3,DS3,Automated Optimization Decision Pathway,24,1.6139,0.8845,0.5046
P3,DS3,Automated Optimization Decision Pathway,25,1.6493,0.8813,0.5046
P3,DS3,Automated Optimization Decision Pathway,26,1.6847,0.8786,0.5046
P3,DS3,Automated Optimization Decision Pathway,27,1.6201,0.9761,0.5146
P3,DS3,Automated Optimization Decision Pathway,28,1.6555,0.962,0.5046
P3,DS3,Automated Optimization Decision Pathway,29,1.6908,0.9495,0.5046
P3,DS3,Automated Optimization Decision Pathway,30,1.7262,0.9385,0.5046
P3,DS3,Automated Optimization Decision Pathway,31,1.7616,0.9289,0.5046
P3,DS3,Automated Optimization Decision Pathway,32,1.797,0.9204,0.5046
P3,DS3,Automated Optimization Decision Pathway,33,1.8,0.9129,0.5046
P3,DS3,Automated Optimization Decision Pathway,34,1.8,0.9064,0.5046
P3,DS3,Automated Optimization Decision Pathway,35,1.8,0.9006,0.5046
P3,DS3,Automated Optimization Decision Pathway,36,1.7354,0.9955,0.5146
P3,DS3,Automated Optimization Decision Pathway,37,1.7708,0.979,0.5046
P3,DS3,Automated Optimization Decision Pathway,38,1.8,0.9645,0.5046
P3,DS3,Automated Optimization Decision Pathway,39,1.8,0.9517,0.5046
P3,DS3,Automated Optimization Decision Pathway,40,1.8,0.9405,0.5046
P4,DS4,High-Governance Hybrid Decision Pathway,1,1.0,0.2,0.2
P4,DS4,High-Governance Hybrid Decision Pathway,2,1.1808,0.2387,0.1395
P4,DS4,High-Governance Hybrid Decision Pathway,3,1.3615,0.2727,0.1395
P4,DS4,High-Governance Hybrid Decision Pathway,4,1.5423,0.3026,0.1395
P4,DS4,High-Governance Hybrid Decision Pathway,5,1.723,0.329,0.1395
P4,DS4,High-Governance Hybrid Decision Pathway,6,1.8,0.3522,0.1395
P4,DS4,High-Governance Hybrid Decision Pathway,7,1.8,0.3726,0.1395
P4,DS4,High-Governance Hybrid Decision Pathway,8,1.8,0.3905,0.1395
P4,DS4,High-Governance Hybrid Decision Pathway,9,1.8,0.5063,0.1495
P4,DS4,High-Governance Hybrid Decision Pathway,10,1.8,0.5082,0.1395
P4,DS4,High-Governance Hybrid Decision Pathway,11,1.8,0.5099,0.1395
P4,DS4,High-Governance Hybrid Decision Pathway,12,1.8,0.5114,0.1395
P4,DS4,High-Governance Hybrid Decision Pathway,13,1.8,0.5127,0.1395
P4,DS4,High-Governance Hybrid Decision Pathway,14,1.8,0.5138,0.1395
P4,DS4,High-Governance Hybrid Decision Pathway,15,1.8,0.5148,0.1395
P4,DS4,High-Governance Hybrid Decision Pathway,16,1.8,0.5157,0.1395
P4,DS4,High-Governance Hybrid Decision Pathway,17,1.8,0.5165,0.1395
P4,DS4,High-Governance Hybrid Decision Pathway,18,1.8,0.6172,0.1495
P4,DS4,High-Governance Hybrid Decision Pathway,19,1.8,0.6058,0.1395
P4,DS4,High-Governance Hybrid Decision Pathway,20,1.8,0.5957,0.1395
P4,DS4,High-Governance Hybrid Decision Pathway,21,1.8,0.5869,0.1395
P4,DS4,High-Governance Hybrid Decision Pathway,22,1.8,0.5792,0.1395
P4,DS4,High-Governance Hybrid Decision Pathway,23,1.8,0.5723,0.1395
P4,DS4,High-Governance Hybrid Decision Pathway,24,1.8,0.5663,0.1395
P4,DS4,High-Governance Hybrid Decision Pathway,25,1.8,0.561,0.1395
P4,DS4,High-Governance Hybrid Decision Pathway,26,1.8,0.5564,0.1395
P4,DS4,High-Governance Hybrid Decision Pathway,27,1.8,0.6523,0.1495
P4,DS4,High-Governance Hybrid Decision Pathway,28,1.8,0.6367,0.1395
P4,DS4,High-Governance Hybrid Decision Pathway,29,1.8,0.6229,0.1395
P4,DS4,High-Governance Hybrid Decision Pathway,30,1.8,0.6108,0.1395
P4,DS4,High-Governance Hybrid Decision Pathway,31,1.8,0.6002,0.1395
P4,DS4,High-Governance Hybrid Decision Pathway,32,1.8,0.5908,0.1395
P4,DS4,High-Governance Hybrid Decision Pathway,33,1.8,0.5826,0.1395
P4,DS4,High-Governance Hybrid Decision Pathway,34,1.8,0.5754,0.1395
P4,DS4,High-Governance Hybrid Decision Pathway,35,1.8,0.569,0.1395
P4,DS4,High-Governance Hybrid Decision Pathway,36,1.8,0.6634,0.1495
P4,DS4,High-Governance Hybrid Decision Pathway,37,1.8,0.6464,0.1395
P4,DS4,High-Governance Hybrid Decision Pathway,38,1.8,0.6315,0.1395
P4,DS4,High-Governance Hybrid Decision Pathway,39,1.8,0.6184,0.1395
P4,DS4,High-Governance Hybrid Decision Pathway,40,1.8,0.6069,0.1395
P5,DS5,Public-Interest Decision Infrastructure Pathway,1,1.0,0.2,0.2
P5,DS5,Public-Interest Decision Infrastructure Pathway,2,1.1918,0.2372,0.0972
P5,DS5,Public-Interest Decision Infrastructure Pathway,3,1.3836,0.2699,0.0972
P5,DS5,Public-Interest Decision Infrastructure Pathway,4,1.5754,0.2987,0.0972
P5,DS5,Public-Interest Decision Infrastructure Pathway,5,1.7672,0.324,0.0972
P5,DS5,Public-Interest Decision Infrastructure Pathway,6,1.8,0.3463,0.0972
P5,DS5,Public-Interest Decision Infrastructure Pathway,7,1.8,0.3659,0.0972
P5,DS5,Public-Interest Decision Infrastructure Pathway,8,1.8,0.3832,0.0972
P5,DS5,Public-Interest Decision Infrastructure Pathway,9,1.8,0.4984,0.1072
P5,DS5,Public-Interest Decision Infrastructure Pathway,10,1.8,0.4998,0.0972
P5,DS5,Public-Interest Decision Infrastructure Pathway,11,1.8,0.501,0.0972
P5,DS5,Public-Interest Decision Infrastructure Pathway,12,1.8,0.502,0.0972
P5,DS5,Public-Interest Decision Infrastructure Pathway,13,1.8,0.503,0.0972
P5,DS5,Public-Interest Decision Infrastructure Pathway,14,1.8,0.5038,0.0972
P5,DS5,Public-Interest Decision Infrastructure Pathway,15,1.8,0.5045,0.0972
P5,DS5,Public-Interest Decision Infrastructure Pathway,16,1.8,0.5051,0.0972
P5,DS5,Public-Interest Decision Infrastructure Pathway,17,1.8,0.5057,0.0972
P5,DS5,Public-Interest Decision Infrastructure Pathway,18,1.8,0.6062,0.1072
P5,DS5,Public-Interest Decision Infrastructure Pathway,19,1.8,0.5946,0.0972
P5,DS5,Public-Interest Decision Infrastructure Pathway,20,1.8,0.5844,0.0972
P5,DS5,Public-Interest Decision Infrastructure Pathway,21,1.8,0.5755,0.0972
P5,DS5,Public-Interest Decision Infrastructure Pathway,22,1.8,0.5676,0.0972
P5,DS5,Public-Interest Decision Infrastructure Pathway,23,1.8,0.5607,0.0972
P5,DS5,Public-Interest Decision Infrastructure Pathway,24,1.8,0.5546,0.0972
P5,DS5,Public-Interest Decision Infrastructure Pathway,25,1.8,0.5492,0.0972
P5,DS5,Public-Interest Decision Infrastructure Pathway,26,1.8,0.5445,0.0972
P5,DS5,Public-Interest Decision Infrastructure Pathway,27,1.8,0.6403,0.1072
P5,DS5,Public-Interest Decision Infrastructure Pathway,28,1.8,0.6246,0.0972
P5,DS5,Public-Interest Decision Infrastructure Pathway,29,1.8,0.6109,0.0972
P5,DS5,Public-Interest Decision Infrastructure Pathway,30,1.8,0.5987,0.0972
P5,DS5,Public-Interest Decision Infrastructure Pathway,31,1.8,0.5881,0.0972
P5,DS5,Public-Interest Decision Infrastructure Pathway,32,1.8,0.5787,0.0972
P5,DS5,Public-Interest Decision Infrastructure Pathway,33,1.8,0.5704,0.0972
P5,DS5,Public-Interest Decision Infrastructure Pathway,34,1.8,0.5631,0.0972
P5,DS5,Public-Interest Decision Infrastructure Pathway,35,1.8,0.5567,0.0972
P5,DS5,Public-Interest Decision Infrastructure Pathway,36,1.8,0.6511,0.1072
P5,DS5,Public-Interest Decision Infrastructure Pathway,37,1.8,0.6341,0.0972
P5,DS5,Public-Interest Decision Infrastructure Pathway,38,1.8,0.6192,0.0972
P5,DS5,Public-Interest Decision Infrastructure Pathway,39,1.8,0.6061,0.0972
P5,DS5,Public-Interest Decision Infrastructure Pathway,40,1.8,0.5945,0.0972
P6,DS6,Vendor-Driven Black-Box Decision Pathway,1,1.0,0.2,0.2
P6,DS6,Vendor-Driven Black-Box Decision Pathway,2,1.0374,0.2782,0.5184
P6,DS6,Vendor-Driven Black-Box Decision Pathway,3,1.0748,0.347,0.5184
P6,DS6,Vendor-Driven Black-Box Decision Pathway,4,1.1122,0.4076,0.5184
P6,DS6,Vendor-Driven Black-Box Decision Pathway,5,1.1495,0.4609,0.5184
P6,DS6,Vendor-Driven Black-Box Decision Pathway,6,1.1869,0.5078,0.5184
P6,DS6,Vendor-Driven Black-Box Decision Pathway,7,1.2243,0.5491,0.5184
P6,DS6,Vendor-Driven Black-Box Decision Pathway,8,1.2617,0.5854,0.5184
P6,DS6,Vendor-Driven Black-Box Decision Pathway,9,1.1991,0.7174,0.5284
P6,DS6,Vendor-Driven Black-Box Decision Pathway,10,1.2365,0.7335,0.5184
P6,DS6,Vendor-Driven Black-Box Decision Pathway,11,1.2739,0.7477,0.5184
P6,DS6,Vendor-Driven Black-Box Decision Pathway,12,1.3113,0.7602,0.5184
P6,DS6,Vendor-Driven Black-Box Decision Pathway,13,1.3486,0.7712,0.5184
P6,DS6,Vendor-Driven Black-Box Decision Pathway,14,1.386,0.7809,0.5184
P6,DS6,Vendor-Driven Black-Box Decision Pathway,15,1.4234,0.7894,0.5184
P6,DS6,Vendor-Driven Black-Box Decision Pathway,16,1.4608,0.7969,0.5184
P6,DS6,Vendor-Driven Black-Box Decision Pathway,17,1.4982,0.8034,0.5184
P6,DS6,Vendor-Driven Black-Box Decision Pathway,18,1.4356,0.9092,0.5284
P6,DS6,Vendor-Driven Black-Box Decision Pathway,19,1.473,0.9023,0.5184
P6,DS6,Vendor-Driven Black-Box Decision Pathway,20,1.5103,0.8963,0.5184
P6,DS6,Vendor-Driven Black-Box Decision Pathway,21,1.5477,0.8909,0.5184
P6,DS6,Vendor-Driven Black-Box Decision Pathway,22,1.5851,0.8862,0.5184
P6,DS6,Vendor-Driven Black-Box Decision Pathway,23,1.6225,0.8821,0.5184
P6,DS6,Vendor-Driven Black-Box Decision Pathway,24,1.6599,0.8785,0.5184
P6,DS6,Vendor-Driven Black-Box Decision Pathway,25,1.6973,0.8753,0.5184
P6,DS6,Vendor-Driven Black-Box Decision Pathway,26,1.7347,0.8724,0.5184
P6,DS6,Vendor-Driven Black-Box Decision Pathway,27,1.672,0.97,0.5284
P6,DS6,Vendor-Driven Black-Box Decision Pathway,28,1.7094,0.9558,0.5184
P6,DS6,Vendor-Driven Black-Box Decision Pathway,29,1.7468,0.9433,0.5184
P6,DS6,Vendor-Driven Black-Box Decision Pathway,30,1.7842,0.9323,0.5184
P6,DS6,Vendor-Driven Black-Box Decision Pathway,31,1.8,0.9227,0.5184
P6,DS6,Vendor-Driven Black-Box Decision Pathway,32,1.8,0.9142,0.5184
P6,DS6,Vendor-Driven Black-Box Decision Pathway,33,1.8,0.9067,0.5184
P6,DS6,Vendor-Driven Black-Box Decision Pathway,34,1.8,0.9001,0.5184
P6,DS6,Vendor-Driven Black-Box Decision Pathway,35,1.8,0.8943,0.5184
P6,DS6,Vendor-Driven Black-Box Decision Pathway,36,1.7374,0.9892,0.5284
P6,DS6,Vendor-Driven Black-Box Decision Pathway,37,1.7748,0.9727,0.5184
P6,DS6,Vendor-Driven Black-Box Decision Pathway,38,1.8,0.9582,0.5184
P6,DS6,Vendor-Driven Black-Box Decision Pathway,39,1.8,0.9454,0.5184
P6,DS6,Vendor-Driven Black-Box Decision Pathway,40,1.8,0.9342,0.5184
