pathway_id,profile_id,scenario_id,pathway_name,time_step,hope,dread,agency,trust,future_fatigue,repair_capacity,polarization,narrative_accountability,mobilization_score,paralysis_risk_score,disciplined_hope_score,fear_politics_risk_score
AFP1,FEP1,FPS1,Disciplined Hope Democracy Pathway,21,1.4291,0.3107,1.1528,1.0142,0.0,1.103,0.0732,1.1626,1.8707,0.0,1.0864,0.0907
AFP1,FEP1,FPS1,Disciplined Hope Democracy Pathway,22,1.4707,0.2915,1.1746,1.0322,0.0,1.123,0.0551,1.1803,1.9775,0.0,1.1099,0.0821
AFP1,FEP1,FPS1,Disciplined Hope Democracy Pathway,23,1.5131,0.2718,1.1969,1.0505,0.0,1.1434,0.0367,1.1983,2.0906,0.0,1.1338,0.0733
AFP1,FEP1,FPS1,Disciplined Hope Democracy Pathway,24,1.5563,0.2696,1.2197,1.0692,0.0,1.1641,0.0179,1.2166,2.2229,0.0,1.1582,0.0686
AFP1,FEP1,FPS1,Disciplined Hope Democracy Pathway,25,1.6003,0.249,1.2431,1.0881,0.0,1.1852,0.0,1.2352,2.3499,0.0,1.183,0.0598
AFP1,FEP1,FPS1,Disciplined Hope Democracy Pathway,26,1.6452,0.2278,1.2669,1.0934,0.0,1.2067,0.0,1.254,2.4524,0.0,1.2051,0.0547
AFP1,FEP1,FPS1,Disciplined Hope Democracy Pathway,27,1.6909,0.2064,1.2913,1.113,0.0,1.2285,0.0,1.2733,2.5,0.0,1.2303,0.0495
AFP1,FEP1,FPS1,Disciplined Hope Democracy Pathway,28,1.7375,0.1846,1.3162,1.1329,0.0,1.2507,0.0,1.2929,2.5,0.0,1.256,0.0443
AFP1,FEP1,FPS1,Disciplined Hope Democracy Pathway,29,1.7851,0.1624,1.3418,1.1531,0.0,1.2733,0.0,1.3128,2.5,0.0,1.2822,0.039
AFP1,FEP1,FPS1,Disciplined Hope Democracy Pathway,30,1.8,0.1397,1.3831,1.1888,0.0,1.3117,0.0,1.3484,2.5,0.0,1.3122,0.0335
AFP1,FEP1,FPS1,Disciplined Hope Democracy Pathway,31,1.8,0.1164,1.4102,1.21,0.0,1.3355,0.0,1.3694,2.5,0.0,1.3288,0.0279
AFP1,FEP1,FPS1,Disciplined Hope Democracy Pathway,32,1.8,0.1106,1.4379,1.2315,0.0,1.3597,0.0,1.3907,2.5,0.0,1.3457,0.0265
AFP1,FEP1,FPS1,Disciplined Hope Democracy Pathway,33,1.8,0.0864,1.4663,1.2535,0.0,1.3844,0.0,1.4125,2.5,0.0,1.3629,0.0207
AFP1,FEP1,FPS1,Disciplined Hope Democracy Pathway,34,1.8,0.0617,1.4953,1.2758,0.0,1.4095,0.0,1.4346,2.5,0.0,1.3805,0.0148
AFP1,FEP1,FPS1,Disciplined Hope Democracy Pathway,35,1.8,0.0365,1.5249,1.2985,0.0,1.4352,0.0,1.4572,2.5,0.0,1.3984,0.0088
AFP1,FEP1,FPS1,Disciplined Hope Democracy Pathway,36,1.8,0.0109,1.5553,1.3216,0.0,1.4613,0.0,1.4802,2.5,0.0,1.4167,0.0026
AFP1,FEP1,FPS1,Disciplined Hope Democracy Pathway,37,1.8,0.0,1.5863,1.3451,0.0,1.4879,0.0,1.5037,2.5,0.0,1.4354,0.0
AFP1,FEP1,FPS1,Disciplined Hope Democracy Pathway,38,1.8,0.0,1.6178,1.369,0.0,1.5151,0.0,1.5276,2.5,0.0,1.4544,0.0
AFP1,FEP1,FPS1,Disciplined Hope Democracy Pathway,39,1.8,0.0,1.6498,1.3793,0.0,1.5426,0.0,1.5517,2.5,0.0,1.4711,0.0
AFP1,FEP1,FPS1,Disciplined Hope Democracy Pathway,40,1.8,0.0,1.6975,1.419,0.0,1.5859,0.0,1.5917,2.5,0.0,1.5013,0.0
AFP2,FEP2,FPS2,Apocalyptic Paralysis Pathway,1,0.18,0.9,0.22,0.2,0.82,0.2,0.6,0.28,0.0297,0.5616,0.1346,0.7728
AFP2,FEP2,FPS2,Apocalyptic Paralysis Pathway,2,0.178,0.908,0.2107,0.1988,0.8246,0.1988,0.6012,0.2833,0.0284,0.5742,0.1318,0.777
AFP2,FEP2,FPS2,Apocalyptic Paralysis Pathway,3,0.1758,0.9162,0.2014,0.1975,0.8293,0.1974,0.6024,0.2865,0.027,0.5872,0.1289,0.7812
AFP2,FEP2,FPS2,Apocalyptic Paralysis Pathway,4,0.1733,0.9245,0.1918,0.1962,0.8343,0.1958,0.6037,0.2896,0.0257,0.6005,0.1258,0.7856
AFP2,FEP2,FPS2,Apocalyptic Paralysis Pathway,5,0.1707,0.9329,0.1822,0.1949,0.8395,0.1942,0.605,0.2926,0.0243,0.6143,0.1227,0.7901
AFP2,FEP2,FPS2,Apocalyptic Paralysis Pathway,6,0.1679,0.9416,0.1724,0.1936,0.8449,0.1924,0.6064,0.2955,0.0229,0.6284,0.1194,0.7947
AFP2,FEP2,FPS2,Apocalyptic Paralysis Pathway,7,0.1649,0.9504,0.1625,0.1922,0.8506,0.1905,0.6077,0.2984,0.0215,0.643,0.1159,0.7994
AFP2,FEP2,FPS2,Apocalyptic Paralysis Pathway,8,0.1615,0.9774,0.1523,0.1908,0.8566,0.1884,0.6093,0.3011,0.0203,0.6704,0.1123,0.8086
AFP2,FEP2,FPS2,Apocalyptic Paralysis Pathway,9,0.158,0.9866,0.142,0.1893,0.8629,0.1861,0.6109,0.3037,0.0188,0.6862,0.1086,0.8136
AFP2,FEP2,FPS2,Apocalyptic Paralysis Pathway,10,0.1547,0.9959,0.1467,0.2028,0.869,0.199,0.6123,0.3215,0.0209,0.6775,0.1154,0.8123
AFP2,FEP2,FPS2,Apocalyptic Paralysis Pathway,11,0.1513,1.0052,0.1363,0.2015,0.8754,0.1967,0.6137,0.3242,0.0193,0.6932,0.1117,0.8173
AFP2,FEP2,FPS2,Apocalyptic Paralysis Pathway,12,0.1476,1.0147,0.1259,0.2002,0.8821,0.1943,0.6152,0.3269,0.0178,0.7094,0.1078,0.8224
AFP2,FEP2,FPS2,Apocalyptic Paralysis Pathway,13,0.1434,1.0243,0.1151,0.1848,0.9031,0.1915,0.6168,0.3292,0.015,0.7389,0.1004,0.8319
AFP2,FEP2,FPS2,Apocalyptic Paralysis Pathway,14,0.1389,1.0344,0.104,0.1833,0.9103,0.1885,0.6185,0.3315,0.0135,0.757,0.0961,0.8374
AFP2,FEP2,FPS2,Apocalyptic Paralysis Pathway,15,0.1342,1.0447,0.0927,0.1817,0.9179,0.1854,0.6203,0.3337,0.0119,0.7757,0.0915,0.8431
AFP2,FEP2,FPS2,Apocalyptic Paralysis Pathway,16,0.1291,1.0732,0.0811,0.1801,0.9258,0.1821,0.6223,0.3358,0.0105,0.8087,0.0868,0.8533
AFP2,FEP2,FPS2,Apocalyptic Paralysis Pathway,17,0.1237,1.084,0.0693,0.1783,0.934,0.1786,0.6363,0.3377,0.0089,0.829,0.0814,0.862
AFP2,FEP2,FPS2,Apocalyptic Paralysis Pathway,18,0.118,1.095,0.0573,0.1765,0.9425,0.175,0.6384,0.3396,0.0073,0.8501,0.0763,0.8682
AFP2,FEP2,FPS2,Apocalyptic Paralysis Pathway,19,0.112,1.1063,0.0451,0.1747,0.9513,0.1711,0.6405,0.3414,0.0057,0.8719,0.071,0.8746
AFP2,FEP2,FPS2,Apocalyptic Paralysis Pathway,20,0.1063,1.1178,0.0478,0.1877,0.96,0.1823,0.6425,0.3582,0.0065,0.8646,0.0762,0.8747
AFP2,FEP2,FPS2,Apocalyptic Paralysis Pathway,21,0.1003,1.1293,0.0355,0.1859,0.9691,0.1783,0.6445,0.36,0.0048,0.8867,0.0708,0.8812
AFP2,FEP2,FPS2,Apocalyptic Paralysis Pathway,22,0.0939,1.141,0.0229,0.1841,0.9783,0.1742,0.6467,0.3617,0.003,0.9097,0.0653,0.8878
AFP2,FEP2,FPS2,Apocalyptic Paralysis Pathway,23,0.0872,1.153,0.0101,0.1821,0.9879,0.1698,0.6488,0.3632,0.0013,0.9335,0.0595,0.8946
AFP2,FEP2,FPS2,Apocalyptic Paralysis Pathway,24,0.0801,1.1832,0.0,0.1801,0.998,0.1653,0.6512,0.3647,0.0,0.9701,0.0541,0.9054
AFP2,FEP2,FPS2,Apocalyptic Paralysis Pathway,25,0.0729,1.1956,0.0,0.1779,1.0081,0.1606,0.6537,0.3661,0.0,0.9829,0.0509,0.9104
AFP2,FEP2,FPS2,Apocalyptic Paralysis Pathway,26,0.0651,1.2082,0.0,0.1617,1.0326,0.1557,0.6564,0.3673,0.0,1.0129,0.0442,0.9198
AFP2,FEP2,FPS2,Apocalyptic Paralysis Pathway,27,0.0572,1.2212,0.0,0.1592,1.0432,0.1507,0.6592,0.3686,0.0,1.0267,0.0407,0.9251
AFP2,FEP2,FPS2,Apocalyptic Paralysis Pathway,28,0.0491,1.2343,0.0,0.1567,1.054,0.1457,0.6621,0.3698,0.0,1.0409,0.037,0.9306
AFP2,FEP2,FPS2,Apocalyptic Paralysis Pathway,29,0.0408,1.2475,0.0,0.154,1.0649,0.1405,0.665,0.371,0.0,1.0554,0.0333,0.9361
AFP2,FEP2,FPS2,Apocalyptic Paralysis Pathway,30,0.0326,1.2609,0.0001,0.1663,1.0759,0.1504,0.6678,0.3874,0.0,1.0511,0.0369,0.9377
AFP2,FEP2,FPS2,Apocalyptic Paralysis Pathway,31,0.0242,1.2744,0.0,0.1637,1.087,0.1452,0.6707,0.3887,0.0,1.0658,0.0331,0.9433
AFP2,FEP2,FPS2,Apocalyptic Paralysis Pathway,32,0.0156,1.306,0.0,0.1609,1.0984,0.1399,0.6738,0.39,0.0,1.0958,0.0292,0.9533
AFP2,FEP2,FPS2,Apocalyptic Paralysis Pathway,33,0.0067,1.3197,0.0,0.1581,1.1101,0.1345,0.677,0.3912,0.0,1.1111,0.0253,0.9591
AFP2,FEP2,FPS2,Apocalyptic Paralysis Pathway,34,0.0,1.3336,0.0,0.1551,1.1218,0.129,0.6924,0.3925,0.0,1.1268,0.0214,0.9677
AFP2,FEP2,FPS2,Apocalyptic Paralysis Pathway,35,0.0,1.3477,0.0,0.152,1.1338,0.1234,0.6958,0.3937,0.0,1.1429,0.0193,0.9737
AFP2,FEP2,FPS2,Apocalyptic Paralysis Pathway,36,0.0,1.362,0.0,0.1488,1.1459,0.1177,0.6993,0.3949,0.0,1.1594,0.0171,0.9799
AFP2,FEP2,FPS2,Apocalyptic Paralysis Pathway,37,0.0,1.3765,0.0,0.1455,1.1582,0.1119,0.7029,0.396,0.0,1.1762,0.0149,0.9861
AFP2,FEP2,FPS2,Apocalyptic Paralysis Pathway,38,0.0,1.3911,0.0,0.142,1.1707,0.106,0.7067,0.3972,0.0,1.1936,0.0126,0.9925
AFP2,FEP2,FPS2,Apocalyptic Paralysis Pathway,39,0.0,1.4059,0.0,0.1244,1.1975,0.0999,0.7107,0.3981,0.0,1.231,0.0069,1.0032
AFP2,FEP2,FPS2,Apocalyptic Paralysis Pathway,40,0.0,1.4392,0.0,0.1356,1.2106,0.1087,0.7147,0.4142,0.0,1.244,0.0117,1.0103
AFP3,FEP3,FPS3,Techno-Optimist Delay Pathway,1,0.74,0.34,0.42,0.46,0.5,0.3,0.48,0.34,0.1791,0.1065,0.3934,0.49
AFP3,FEP3,FPS3,Techno-Optimist Delay Pathway,2,0.7495,0.34,0.4212,0.462,0.4937,0.3049,0.4746,0.3471,0.1822,0.1059,0.3983,0.4869
AFP3,FEP3,FPS3,Techno-Optimist Delay Pathway,3,0.7592,0.3399,0.4225,0.4642,0.4874,0.31,0.4692,0.3542,0.1856,0.1052,0.4034,0.4838
AFP3,FEP3,FPS3,Techno-Optimist Delay Pathway,4,0.769,0.3396,0.424,0.4665,0.4811,0.315,0.4637,0.3613,0.1891,0.1044,0.4085,0.4805
AFP3,FEP3,FPS3,Techno-Optimist Delay Pathway,5,0.7791,0.3392,0.4256,0.4689,0.4747,0.3202,0.4581,0.3684,0.1927,0.1035,0.4138,0.4772
AFP3,FEP3,FPS3,Techno-Optimist Delay Pathway,6,0.7893,0.3387,0.4274,0.4715,0.4682,0.3254,0.4524,0.3756,0.1966,0.1025,0.4192,0.4737
AFP3,FEP3,FPS3,Techno-Optimist Delay Pathway,7,0.7998,0.3381,0.4293,0.4742,0.4617,0.3308,0.4466,0.3829,0.2007,0.1014,0.4248,0.4701
AFP3,FEP3,FPS3,Techno-Optimist Delay Pathway,8,0.8104,0.3553,0.4313,0.477,0.4553,0.3362,0.4409,0.3901,0.2069,0.1057,0.4304,0.4708
AFP3,FEP3,FPS3,Techno-Optimist Delay Pathway,9,0.8212,0.3544,0.4335,0.48,0.4488,0.3416,0.435,0.3974,0.2114,0.1044,0.4361,0.4671
AFP3,FEP3,FPS3,Techno-Optimist Delay Pathway,10,0.8328,0.3533,0.4509,0.4981,0.442,0.3625,0.4288,0.42,0.2307,0.0974,0.4528,0.4567
AFP3,FEP3,FPS3,Techno-Optimist Delay Pathway,11,0.8446,0.3518,0.4538,0.5016,0.435,0.3684,0.4225,0.4277,0.2363,0.0958,0.4591,0.4525
AFP3,FEP3,FPS3,Techno-Optimist Delay Pathway,12,0.8567,0.3501,0.4568,0.5053,0.428,0.3745,0.416,0.4354,0.2422,0.0941,0.4657,0.4481
AFP3,FEP3,FPS3,Techno-Optimist Delay Pathway,13,0.8687,0.3483,0.4599,0.495,0.435,0.3804,0.4096,0.4429,0.2414,0.095,0.469,0.4478
AFP3,FEP3,FPS3,Techno-Optimist Delay Pathway,14,0.881,0.3465,0.463,0.4989,0.4279,0.3865,0.4031,0.4506,0.2475,0.0933,0.4756,0.4433
AFP3,FEP3,FPS3,Techno-Optimist Delay Pathway,15,0.8936,0.3446,0.4663,0.5029,0.4208,0.3926,0.3965,0.4584,0.254,0.0914,0.4824,0.4386
AFP3,FEP3,FPS3,Techno-Optimist Delay Pathway,16,0.9063,0.3605,0.4697,0.507,0.4136,0.3989,0.3898,0.4662,0.2631,0.0942,0.4894,0.4382
AFP3,FEP3,FPS3,Techno-Optimist Delay Pathway,17,0.9193,0.3582,0.4733,0.5113,0.4064,0.4053,0.3951,0.4741,0.2702,0.0922,0.4961,0.436
AFP3,FEP3,FPS3,Techno-Optimist Delay Pathway,18,0.9326,0.3558,0.4772,0.5158,0.3991,0.4118,0.3882,0.482,0.2777,0.0901,0.5034,0.431
AFP3,FEP3,FPS3,Techno-Optimist Delay Pathway,19,0.9462,0.3533,0.4812,0.5204,0.3917,0.4184,0.3812,0.49,0.2856,0.0879,0.5108,0.4258
AFP3,FEP3,FPS3,Techno-Optimist Delay Pathway,20,0.9606,0.3505,0.5006,0.5402,0.3838,0.4404,0.3738,0.5133,0.3119,0.0805,0.5292,0.414
AFP3,FEP3,FPS3,Techno-Optimist Delay Pathway,21,0.9753,0.3472,0.5054,0.5454,0.3757,0.4476,0.3663,0.5218,0.3215,0.0781,0.5373,0.4082
AFP3,FEP3,FPS3,Techno-Optimist Delay Pathway,22,0.9904,0.3438,0.5105,0.5507,0.3675,0.4549,0.3586,0.5302,0.3316,0.0756,0.5457,0.4023
AFP3,FEP3,FPS3,Techno-Optimist Delay Pathway,23,1.0057,0.3401,0.5158,0.5563,0.3592,0.4624,0.3507,0.5388,0.3422,0.0731,0.5543,0.3961
AFP3,FEP3,FPS3,Techno-Optimist Delay Pathway,24,1.0214,0.3542,0.5212,0.562,0.3508,0.47,0.3429,0.5475,0.3562,0.0743,0.563,0.3942
AFP3,FEP3,FPS3,Techno-Optimist Delay Pathway,25,1.0373,0.35,0.5269,0.5678,0.3423,0.4777,0.3348,0.5562,0.368,0.0716,0.5719,0.3877
AFP3,FEP3,FPS3,Techno-Optimist Delay Pathway,26,1.0534,0.3457,0.5328,0.5599,0.3478,0.4854,0.3268,0.5649,0.3709,0.0711,0.5777,0.3854
AFP3,FEP3,FPS3,Techno-Optimist Delay Pathway,27,1.0698,0.3413,0.5387,0.5661,0.3391,0.4933,0.3186,0.5737,0.3835,0.0683,0.5869,0.3787
AFP3,FEP3,FPS3,Techno-Optimist Delay Pathway,28,1.0866,0.3367,0.545,0.5724,0.3302,0.5014,0.3102,0.5827,0.3967,0.0655,0.5963,0.3718
AFP3,FEP3,FPS3,Techno-Optimist Delay Pathway,29,1.1038,0.3318,0.5515,0.5789,0.3211,0.5096,0.3017,0.5917,0.4107,0.0627,0.606,0.3648
AFP3,FEP3,FPS3,Techno-Optimist Delay Pathway,30,1.1219,0.3267,0.5734,0.6006,0.3115,0.5333,0.2927,0.6161,0.4483,0.0557,0.6267,0.351
AFP3,FEP3,FPS3,Techno-Optimist Delay Pathway,31,1.1404,0.321,0.5809,0.6078,0.3016,0.5421,0.2836,0.6256,0.465,0.0528,0.6372,0.3432
AFP3,FEP3,FPS3,Techno-Optimist Delay Pathway,32,1.1593,0.3331,0.5885,0.6152,0.2918,0.5512,0.2743,0.6352,0.486,0.0527,0.6479,0.3396
AFP3,FEP3,FPS3,Techno-Optimist Delay Pathway,33,1.1786,0.3268,0.5965,0.6227,0.2816,0.5604,0.2649,0.645,0.5046,0.0498,0.6589,0.3314
AFP3,FEP3,FPS3,Techno-Optimist Delay Pathway,34,1.1983,0.3203,0.6048,0.6305,0.2713,0.5699,0.2673,0.6549,0.5241,0.0468,0.6698,0.3256
AFP3,FEP3,FPS3,Techno-Optimist Delay Pathway,35,1.2185,0.3135,0.6134,0.6385,0.2607,0.5796,0.2574,0.6649,0.5448,0.0438,0.6813,0.3169
AFP3,FEP3,FPS3,Techno-Optimist Delay Pathway,36,1.2392,0.3064,0.6224,0.6467,0.2498,0.5895,0.2474,0.6751,0.5666,0.0409,0.6932,0.308
AFP3,FEP3,FPS3,Techno-Optimist Delay Pathway,37,1.2603,0.299,0.6317,0.6552,0.2387,0.5996,0.2372,0.6853,0.5897,0.038,0.7053,0.2987
AFP3,FEP3,FPS3,Techno-Optimist Delay Pathway,38,1.2819,0.2913,0.6414,0.6639,0.2272,0.61,0.2267,0.6958,0.6141,0.0351,0.7178,0.2893
AFP3,FEP3,FPS3,Techno-Optimist Delay Pathway,39,1.3038,0.2832,0.6513,0.6588,0.2297,0.6204,0.2162,0.7062,0.6263,0.0337,0.7272,0.2838
AFP3,FEP3,FPS3,Techno-Optimist Delay Pathway,40,1.3267,0.293,0.6766,0.6828,0.2176,0.6463,0.2053,0.7321,0.6874,0.0301,0.7508,0.2719
AFP4,FEP4,FPS4,Authoritarian Fear Future Pathway,1,0.3,0.82,0.3,0.28,0.68,0.24,0.88,0.26,0.0631,0.4133,0.1964,0.7728
AFP4,FEP4,FPS4,Authoritarian Fear Future Pathway,2,0.3016,0.8268,0.2939,0.2799,0.6819,0.2411,0.88,0.2646,0.0622,0.4204,0.196,0.7753
AFP4,FEP4,FPS4,Authoritarian Fear Future Pathway,3,0.303,0.8338,0.2878,0.2798,0.684,0.2421,0.8801,0.2691,0.0613,0.4277,0.1956,0.7779
AFP4,FEP4,FPS4,Authoritarian Fear Future Pathway,4,0.3044,0.8408,0.2816,0.2797,0.6863,0.243,0.8802,0.2736,0.0604,0.4351,0.1951,0.7805
AFP4,FEP4,FPS4,Authoritarian Fear Future Pathway,5,0.3057,0.8479,0.2754,0.2797,0.6886,0.2439,0.8802,0.2781,0.0595,0.4426,0.1946,0.7831
AFP4,FEP4,FPS4,Authoritarian Fear Future Pathway,6,0.307,0.855,0.2691,0.2796,0.6912,0.2447,0.8803,0.2825,0.0585,0.4502,0.194,0.7858
AFP4,FEP4,FPS4,Authoritarian Fear Future Pathway,7,0.3081,0.8623,0.2627,0.2796,0.6938,0.2454,0.8804,0.2868,0.0575,0.458,0.1934,0.7886
AFP4,FEP4,FPS4,Authoritarian Fear Future Pathway,8,0.309,0.8877,0.2562,0.2797,0.6968,0.246,0.8806,0.2911,0.0571,0.4756,0.1926,0.7958
AFP4,FEP4,FPS4,Authoritarian Fear Future Pathway,9,0.3099,0.8951,0.2496,0.2797,0.7,0.2465,0.8808,0.2953,0.056,0.4838,0.1918,0.7987
AFP4,FEP4,FPS4,Authoritarian Fear Future Pathway,10,0.3112,0.9027,0.2581,0.2947,0.703,0.2622,0.8807,0.3147,0.0614,0.4723,0.2017,0.7952
AFP4,FEP4,FPS4,Authoritarian Fear Future Pathway,11,0.3124,0.91,0.2517,0.295,0.7061,0.2629,0.8807,0.3191,0.0604,0.4801,0.2011,0.798
AFP4,FEP4,FPS4,Authoritarian Fear Future Pathway,12,0.3136,0.9175,0.2452,0.2953,0.7094,0.2634,0.8807,0.3234,0.0593,0.488,0.2004,0.8008
AFP4,FEP4,FPS4,Authoritarian Fear Future Pathway,13,0.3143,0.9251,0.2386,0.2816,0.727,0.2637,0.8808,0.3275,0.0553,0.506,0.1963,0.808
AFP4,FEP4,FPS4,Authoritarian Fear Future Pathway,14,0.315,0.933,0.2317,0.2819,0.7307,0.2639,0.8809,0.3316,0.0541,0.5148,0.1953,0.8111
AFP4,FEP4,FPS4,Authoritarian Fear Future Pathway,15,0.3155,0.941,0.2247,0.2821,0.7346,0.264,0.881,0.3357,0.0528,0.5237,0.1943,0.8142
AFP4,FEP4,FPS4,Authoritarian Fear Future Pathway,16,0.3158,0.9671,0.2176,0.2824,0.7388,0.264,0.8813,0.3397,0.0521,0.543,0.1931,0.8218
AFP4,FEP4,FPS4,Authoritarian Fear Future Pathway,17,0.316,0.9754,0.2103,0.2826,0.7432,0.2639,0.8936,0.3436,0.0507,0.5525,0.1914,0.8279
AFP4,FEP4,FPS4,Authoritarian Fear Future Pathway,18,0.3161,0.9838,0.203,0.2829,0.7478,0.2637,0.8939,0.3475,0.0492,0.5623,0.1901,0.8313
AFP4,FEP4,FPS4,Authoritarian Fear Future Pathway,19,0.316,0.9923,0.1956,0.2831,0.7525,0.2634,0.8942,0.3513,0.0477,0.5723,0.1886,0.8348
AFP4,FEP4,FPS4,Authoritarian Fear Future Pathway,20,0.3164,1.001,0.2032,0.2983,0.7571,0.2783,0.8942,0.3703,0.0525,0.5597,0.1979,0.832
AFP4,FEP4,FPS4,Authoritarian Fear Future Pathway,21,0.3166,1.0095,0.1959,0.2988,0.7619,0.2781,0.8943,0.3743,0.051,0.5693,0.1966,0.8354
AFP4,FEP4,FPS4,Authoritarian Fear Future Pathway,22,0.3167,1.0182,0.1885,0.2992,0.7668,0.2778,0.8944,0.3782,0.0494,0.579,0.1952,0.8389
AFP4,FEP4,FPS4,Authoritarian Fear Future Pathway,23,0.3167,1.0269,0.181,0.2997,0.7719,0.2773,0.8945,0.382,0.0478,0.589,0.1938,0.8424
AFP4,FEP4,FPS4,Authoritarian Fear Future Pathway,24,0.3164,1.0538,0.1733,0.3001,0.7774,0.2768,0.8948,0.3858,0.0466,0.6098,0.1922,0.8504
AFP4,FEP4,FPS4,Authoritarian Fear Future Pathway,25,0.316,1.0628,0.1654,0.3005,0.783,0.2762,0.895,0.3896,0.0448,0.6204,0.1905,0.8542
AFP4,FEP4,FPS4,Authoritarian Fear Future Pathway,26,0.3151,1.072,0.1573,0.2869,0.803,0.2752,0.8954,0.393,0.0408,0.6441,0.1853,0.8624
AFP4,FEP4,FPS4,Authoritarian Fear Future Pathway,27,0.3141,1.0815,0.149,0.2872,0.8091,0.2741,0.8959,0.3965,0.0389,0.656,0.1832,0.8665
AFP4,FEP4,FPS4,Authoritarian Fear Future Pathway,28,0.3129,1.0912,0.1405,0.2875,0.8155,0.273,0.8963,0.3999,0.0369,0.6682,0.181,0.8707
AFP4,FEP4,FPS4,Authoritarian Fear Future Pathway,29,0.3115,1.101,0.1319,0.2877,0.822,0.2716,0.8969,0.4033,0.0348,0.6808,0.1786,0.875
AFP4,FEP4,FPS4,Authoritarian Fear Future Pathway,30,0.3105,1.111,0.1383,0.3029,0.8285,0.2855,0.8971,0.4218,0.0386,0.6673,0.187,0.873
AFP4,FEP4,FPS4,Authoritarian Fear Future Pathway,31,0.3094,1.1208,0.1298,0.3033,0.8351,0.2842,0.8974,0.4253,0.0364,0.6795,0.1847,0.8772
