pathway_id,institution_id,scenario_id,pathway_name,time_step,signal_detection,scenario_capability,learning_capacity,governance_integration,adaptive_flexibility,participatory_legitimacy,ethical_accountability,data_infrastructure,foresight_capability_score,legitimacy_score
ASP2,FCP2,FSS4,Corporate AI-Augmented Foresight Pathway,6,0.7897,0.8319,0.7407,0.6357,0.7547,0.3684,0.4236,0.8176,0.6873,0.4546
ASP2,FCP2,FSS4,Corporate AI-Augmented Foresight Pathway,7,0.7976,0.8427,0.7512,0.6453,0.7703,0.3744,0.4327,0.8296,0.6975,0.4625
ASP2,FCP2,FSS4,Corporate AI-Augmented Foresight Pathway,8,0.8055,0.8537,0.7619,0.655,0.7861,0.3805,0.442,0.8418,0.7078,0.4707
ASP2,FCP2,FSS4,Corporate AI-Augmented Foresight Pathway,9,0.8136,0.8647,0.7728,0.6649,0.8021,0.3867,0.4514,0.8541,0.7182,0.4789
ASP2,FCP2,FSS4,Corporate AI-Augmented Foresight Pathway,10,0.8218,0.876,0.7837,0.6749,0.8183,0.393,0.4609,0.8665,0.7288,0.4873
ASP2,FCP2,FSS4,Corporate AI-Augmented Foresight Pathway,11,0.8301,0.8873,0.7949,0.6851,0.8348,0.3994,0.4706,0.8791,0.7395,0.4958
ASP2,FCP2,FSS4,Corporate AI-Augmented Foresight Pathway,12,0.8506,0.9129,0.8203,0.6956,0.8517,0.42,0.4806,0.8921,0.758,0.5101
ASP2,FCP2,FSS4,Corporate AI-Augmented Foresight Pathway,13,0.8592,0.9247,0.8318,0.7064,0.8688,0.4266,0.4907,0.9052,0.7692,0.519
ASP2,FCP2,FSS4,Corporate AI-Augmented Foresight Pathway,14,0.868,0.9366,0.8436,0.7173,0.8862,0.4334,0.501,0.9184,0.7805,0.528
ASP2,FCP2,FSS4,Corporate AI-Augmented Foresight Pathway,15,0.8769,0.9487,0.8555,0.7284,0.9039,0.4402,0.5114,0.9319,0.792,0.5372
ASP2,FCP2,FSS4,Corporate AI-Augmented Foresight Pathway,16,0.8859,0.9609,0.8675,0.7397,0.9217,0.4472,0.522,0.9454,0.8037,0.5465
ASP2,FCP2,FSS4,Corporate AI-Augmented Foresight Pathway,17,0.895,0.9732,0.8797,0.7411,0.9398,0.4543,0.5327,0.9592,0.814,0.5534
ASP2,FCP2,FSS4,Corporate AI-Augmented Foresight Pathway,18,0.9163,0.9858,0.8921,0.7527,0.9581,0.4614,0.5435,0.9732,0.8279,0.563
ASP2,FCP2,FSS4,Corporate AI-Augmented Foresight Pathway,19,0.9257,0.9986,0.9046,0.7646,0.9767,0.4687,0.5545,0.9873,0.8401,0.5727
ASP2,FCP2,FSS4,Corporate AI-Augmented Foresight Pathway,20,0.9352,1.0115,0.9172,0.7765,0.9955,0.4762,0.5657,1.0017,0.8524,0.5826
ASP2,FCP2,FSS4,Corporate AI-Augmented Foresight Pathway,21,0.9449,1.0245,0.93,0.7887,1.0146,0.4837,0.577,1.0162,0.8649,0.5926
ASP2,FCP2,FSS4,Corporate AI-Augmented Foresight Pathway,22,0.9547,1.0378,0.9431,0.8011,1.034,0.4914,0.5886,1.0309,0.8775,0.6028
ASP2,FCP2,FSS4,Corporate AI-Augmented Foresight Pathway,23,0.9646,1.0511,0.9563,0.8137,1.0536,0.4993,0.6003,1.0457,0.8904,0.6132
ASP2,FCP2,FSS4,Corporate AI-Augmented Foresight Pathway,24,0.9867,1.0788,0.9838,0.8266,1.0737,0.5212,0.6123,1.061,0.911,0.6294
ASP2,FCP2,FSS4,Corporate AI-Augmented Foresight Pathway,25,0.997,1.0926,0.9975,0.8397,1.0942,0.5293,0.6245,1.0764,0.9244,0.6402
ASP2,FCP2,FSS4,Corporate AI-Augmented Foresight Pathway,26,1.0075,1.1067,1.0114,0.8531,1.1149,0.5376,0.6369,1.092,0.9379,0.6512
ASP2,FCP2,FSS4,Corporate AI-Augmented Foresight Pathway,27,1.0181,1.1209,1.0255,0.8667,1.1359,0.5459,0.6495,1.1079,0.9516,0.6624
ASP2,FCP2,FSS4,Corporate AI-Augmented Foresight Pathway,28,1.0288,1.1353,1.0398,0.8805,1.1571,0.5545,0.6622,1.1239,0.9655,0.6737
ASP2,FCP2,FSS4,Corporate AI-Augmented Foresight Pathway,29,1.0397,1.1498,1.0543,0.8945,1.1787,0.5631,0.6752,1.1401,0.9796,0.6852
ASP2,FCP2,FSS4,Corporate AI-Augmented Foresight Pathway,30,1.0627,1.1647,1.0689,0.9087,1.2006,0.572,0.6883,1.1566,0.9959,0.6969
ASP2,FCP2,FSS4,Corporate AI-Augmented Foresight Pathway,31,1.0739,1.1797,1.0838,0.9232,1.2228,0.581,0.7016,1.1732,1.0104,0.7087
ASP2,FCP2,FSS4,Corporate AI-Augmented Foresight Pathway,32,1.0853,1.1949,1.0989,0.9378,1.2453,0.5901,0.7152,1.1901,1.0251,0.7208
ASP2,FCP2,FSS4,Corporate AI-Augmented Foresight Pathway,33,1.0969,1.2102,1.1142,0.9528,1.2681,0.5994,0.729,1.2072,1.0401,0.7331
ASP2,FCP2,FSS4,Corporate AI-Augmented Foresight Pathway,34,1.1086,1.2257,1.1297,0.9579,1.2912,0.6087,0.7429,1.2245,1.0538,0.743
ASP2,FCP2,FSS4,Corporate AI-Augmented Foresight Pathway,35,1.1204,1.2415,1.1454,0.9733,1.3147,0.6183,0.757,1.242,1.0692,0.7556
ASP2,FCP2,FSS4,Corporate AI-Augmented Foresight Pathway,36,1.1445,1.2715,1.1754,0.989,1.3386,0.642,0.7715,1.2599,1.0923,0.7741
ASP2,FCP2,FSS4,Corporate AI-Augmented Foresight Pathway,37,1.1567,1.2878,1.1916,1.0051,1.3629,0.6519,0.7862,1.278,1.1083,0.7872
ASP2,FCP2,FSS4,Corporate AI-Augmented Foresight Pathway,38,1.1692,1.3043,1.2081,1.0214,1.3875,0.662,0.8012,1.2964,1.1244,0.8005
ASP2,FCP2,FSS4,Corporate AI-Augmented Foresight Pathway,39,1.1818,1.321,1.2248,1.0379,1.4125,0.6722,0.8163,1.315,1.1408,0.8141
ASP2,FCP2,FSS4,Corporate AI-Augmented Foresight Pathway,40,1.1945,1.3379,1.2416,1.0547,1.4378,0.6826,0.8317,1.3338,1.1573,0.8278
ASP2,FCP2,FSS4,Corporate AI-Augmented Foresight Pathway,41,1.2075,1.355,1.2588,1.0717,1.4635,0.6932,0.8473,1.3529,1.1742,0.8418
ASP2,FCP2,FSS4,Corporate AI-Augmented Foresight Pathway,42,1.2326,1.3724,1.2762,1.0891,1.4896,0.704,0.8631,1.3723,1.1932,0.8559
ASP2,FCP2,FSS4,Corporate AI-Augmented Foresight Pathway,43,1.246,1.3901,1.2939,1.1067,1.516,0.7149,0.8792,1.3919,1.2105,0.8704
ASP2,FCP2,FSS4,Corporate AI-Augmented Foresight Pathway,44,1.2595,1.4079,1.3118,1.1245,1.5428,0.7261,0.8956,1.4117,1.2281,0.885
ASP2,FCP2,FSS4,Corporate AI-Augmented Foresight Pathway,45,1.2732,1.426,1.3299,1.1427,1.57,0.7374,0.9122,1.4318,1.2459,0.8999
ASP2,FCP2,FSS4,Corporate AI-Augmented Foresight Pathway,46,1.2871,1.4442,1.3483,1.1611,1.5976,0.7489,0.929,1.4521,1.264,0.915
ASP2,FCP2,FSS4,Corporate AI-Augmented Foresight Pathway,47,1.3012,1.4627,1.367,1.1798,1.6256,0.7606,0.9462,1.4727,1.2823,0.9304
ASP2,FCP2,FSS4,Corporate AI-Augmented Foresight Pathway,48,1.3275,1.4956,1.4,1.1989,1.6541,0.7866,0.9637,1.4938,1.3086,0.9516
ASP2,FCP2,FSS4,Corporate AI-Augmented Foresight Pathway,49,1.3421,1.5147,1.4194,1.2184,1.6831,0.7987,0.9815,1.5151,1.3276,0.9676
ASP2,FCP2,FSS4,Corporate AI-Augmented Foresight Pathway,50,1.3568,1.5341,1.4389,1.2381,1.7124,0.811,0.9994,1.5366,1.3468,0.9837
ASP3,FCP3,FSS5,City Participatory Scenario Pathway,1,0.58,0.55,0.61,0.52,0.49,0.7,0.64,0.5,0.5718,0.634
ASP3,FCP3,FSS5,City Participatory Scenario Pathway,2,0.5854,0.5583,0.6176,0.5317,0.502,0.7064,0.6499,0.5088,0.5805,0.643
ASP3,FCP3,FSS5,City Participatory Scenario Pathway,3,0.591,0.5668,0.6253,0.5436,0.5142,0.7129,0.6599,0.5177,0.5893,0.652
ASP3,FCP3,FSS5,City Participatory Scenario Pathway,4,0.5966,0.5753,0.6332,0.5556,0.5266,0.7195,0.6701,0.5266,0.5982,0.6613
ASP3,FCP3,FSS5,City Participatory Scenario Pathway,5,0.6023,0.5839,0.6412,0.5678,0.5392,0.7263,0.6805,0.5357,0.6073,0.6706
ASP3,FCP3,FSS5,City Participatory Scenario Pathway,6,0.62,0.5927,0.6493,0.5801,0.552,0.7332,0.6909,0.545,0.6184,0.6801
ASP3,FCP3,FSS5,City Participatory Scenario Pathway,7,0.6259,0.6016,0.6576,0.5925,0.5651,0.7402,0.7016,0.5544,0.6278,0.6897
ASP3,FCP3,FSS5,City Participatory Scenario Pathway,8,0.6319,0.6106,0.6661,0.6051,0.5783,0.7473,0.7123,0.5639,0.6372,0.6995
ASP3,FCP3,FSS5,City Participatory Scenario Pathway,9,0.6379,0.6197,0.6747,0.6179,0.5917,0.7546,0.7233,0.5736,0.6469,0.7095
ASP3,FCP3,FSS5,City Participatory Scenario Pathway,10,0.644,0.6289,0.6833,0.6308,0.6053,0.762,0.7343,0.5833,0.6566,0.7195
ASP3,FCP3,FSS5,City Participatory Scenario Pathway,11,0.6502,0.6382,0.6922,0.6439,0.6192,0.7695,0.7456,0.5932,0.6665,0.7297
ASP3,FCP3,FSS5,City Participatory Scenario Pathway,12,0.6686,0.6617,0.7154,0.6572,0.6335,0.7912,0.7571,0.6033,0.6841,0.7458
ASP3,FCP3,FSS5,City Participatory Scenario Pathway,13,0.675,0.6714,0.7247,0.6708,0.648,0.799,0.7688,0.6136,0.6944,0.7564
ASP3,FCP3,FSS5,City Participatory Scenario Pathway,14,0.6816,0.6812,0.7342,0.6846,0.6627,0.807,0.7807,0.6241,0.7049,0.7672
ASP3,FCP3,FSS5,City Participatory Scenario Pathway,15,0.6883,0.6911,0.7438,0.6985,0.6777,0.8151,0.7928,0.6346,0.7155,0.7781
ASP3,FCP3,FSS5,City Participatory Scenario Pathway,16,0.6951,0.7012,0.7536,0.7127,0.693,0.8233,0.805,0.6453,0.7263,0.7892
ASP3,FCP3,FSS5,City Participatory Scenario Pathway,17,0.702,0.7112,0.7636,0.717,0.7084,0.8316,0.8173,0.6561,0.7358,0.7979
ASP3,FCP3,FSS5,City Participatory Scenario Pathway,18,0.721,0.7216,0.7736,0.7315,0.724,0.8401,0.8299,0.6671,0.7488,0.8093
ASP3,FCP3,FSS5,City Participatory Scenario Pathway,19,0.7281,0.7321,0.7839,0.7461,0.7399,0.8487,0.8426,0.6783,0.76,0.8209
ASP3,FCP3,FSS5,City Participatory Scenario Pathway,20,0.7352,0.7426,0.7942,0.761,0.7559,0.8575,0.8554,0.6896,0.7713,0.8326
ASP3,FCP3,FSS5,City Participatory Scenario Pathway,21,0.7425,0.7533,0.8048,0.776,0.7723,0.8664,0.8685,0.7011,0.7829,0.8445
ASP3,FCP3,FSS5,City Participatory Scenario Pathway,22,0.7499,0.7642,0.8156,0.7913,0.789,0.8755,0.8817,0.7126,0.7946,0.8566
ASP3,FCP3,FSS5,City Participatory Scenario Pathway,23,0.7575,0.7751,0.8265,0.8067,0.8059,0.8847,0.8952,0.7244,0.8065,0.8689
ASP3,FCP3,FSS5,City Participatory Scenario Pathway,24,0.7771,0.8003,0.8518,0.8225,0.8233,0.9081,0.909,0.7364,0.8262,0.887
ASP3,FCP3,FSS5,City Participatory Scenario Pathway,25,0.785,0.8117,0.8632,0.8385,0.8409,0.9177,0.923,0.7487,0.8386,0.8998
ASP3,FCP3,FSS5,City Participatory Scenario Pathway,26,0.7929,0.8232,0.8748,0.8547,0.8588,0.9275,0.9372,0.761,0.8511,0.9127
ASP3,FCP3,FSS5,City Participatory Scenario Pathway,27,0.801,0.8349,0.8866,0.8712,0.877,0.9374,0.9516,0.7736,0.8639,0.9258
ASP3,FCP3,FSS5,City Participatory Scenario Pathway,28,0.8092,0.8467,0.8986,0.8879,0.8955,0.9475,0.9662,0.7862,0.8768,0.9391
ASP3,FCP3,FSS5,City Participatory Scenario Pathway,29,0.8175,0.8586,0.9108,0.9048,0.9143,0.9577,0.981,0.7991,0.8899,0.9526
ASP3,FCP3,FSS5,City Participatory Scenario Pathway,30,0.8379,0.8708,0.9232,0.9218,0.9333,0.9682,0.996,0.8122,0.9051,0.9663
ASP3,FCP3,FSS5,City Participatory Scenario Pathway,31,0.8464,0.8831,0.9357,0.9392,0.9526,0.9788,1.0112,0.8254,0.9185,0.9802
ASP3,FCP3,FSS5,City Participatory Scenario Pathway,32,0.8551,0.8955,0.9485,0.9567,0.9723,0.9896,1.0267,0.8388,0.9322,0.9943
ASP3,FCP3,FSS5,City Participatory Scenario Pathway,33,0.8639,0.9081,0.9616,0.9745,0.9922,1.0005,1.0424,0.8524,0.9461,1.0087
ASP3,FCP3,FSS5,City Participatory Scenario Pathway,34,0.8729,0.9208,0.9748,0.9826,1.0124,1.0116,1.0582,0.8661,0.9588,1.0207
ASP3,FCP3,FSS5,City Participatory Scenario Pathway,35,0.882,0.9337,0.9881,1.0008,1.0329,1.0229,1.0743,0.88,0.9731,1.0354
ASP3,FCP3,FSS5,City Participatory Scenario Pathway,36,0.9032,0.9609,1.0158,1.0195,1.054,1.0484,1.0908,0.8943,0.9951,1.056
ASP3,FCP3,FSS5,City Participatory Scenario Pathway,37,0.9127,0.9743,1.0297,1.0384,1.0753,1.0601,1.1075,0.9087,1.01,1.0713
ASP3,FCP3,FSS5,City Participatory Scenario Pathway,38,0.9222,0.9878,1.0439,1.0576,1.097,1.072,1.1245,0.9234,1.025,1.0868
ASP3,FCP3,FSS5,City Participatory Scenario Pathway,39,0.9319,1.0016,1.0582,1.0771,1.119,1.0841,1.1417,0.9382,1.0402,1.1025
ASP3,FCP3,FSS5,City Participatory Scenario Pathway,40,0.9418,1.0154,1.0727,1.0967,1.1413,1.0963,1.1591,0.9532,1.0556,1.1184
ASP3,FCP3,FSS5,City Participatory Scenario Pathway,41,0.9518,1.0295,1.0876,1.1167,1.164,1.1088,1.1768,0.9684,1.0713,1.1346
ASP3,FCP3,FSS5,City Participatory Scenario Pathway,42,0.9739,1.0438,1.1026,1.137,1.187,1.1215,1.1947,0.9839,1.0892,1.151
ASP3,FCP3,FSS5,City Participatory Scenario Pathway,43,0.9842,1.0583,1.1179,1.1575,1.2104,1.1345,1.213,0.9996,1.1053,1.1677
ASP3,FCP3,FSS5,City Participatory Scenario Pathway,44,0.9947,1.073,1.1334,1.1783,1.2342,1.1476,1.2314,1.0155,1.1217,1.1846
ASP3,FCP3,FSS5,City Participatory Scenario Pathway,45,1.0053,1.0878,1.1492,1.1994,1.2583,1.161,1.2502,1.0315,1.1383,1.2018
ASP3,FCP3,FSS5,City Participatory Scenario Pathway,46,1.0161,1.1028,1.1652,1.2208,1.2828,1.1745,1.2692,1.0478,1.1552,1.2192
ASP3,FCP3,FSS5,City Participatory Scenario Pathway,47,1.0271,1.118,1.1815,1.2424,1.3076,1.1883,1.2885,1.0643,1.1723,1.2369
ASP3,FCP3,FSS5,City Participatory Scenario Pathway,48,1.0502,1.1475,1.2121,1.2645,1.3331,1.2164,1.3083,1.0812,1.1973,1.2606
ASP3,FCP3,FSS5,City Participatory Scenario Pathway,49,1.0615,1.1633,1.229,1.2869,1.3589,1.2306,1.3283,1.0983,1.215,1.2789
ASP3,FCP3,FSS5,City Participatory Scenario Pathway,50,1.073,1.1793,1.2461,1.3096,1.385,1.2451,1.3486,1.1156,1.233,1.2975
ASP4,FCP4,FSS1,Research Network Translation Pathway,1,0.81,0.83,0.8,0.48,0.72,0.46,0.52,0.78,0.6884,0.486
ASP4,FCP4,FSS1,Research Network Translation Pathway,2,0.8179,0.8413,0.8096,0.491,0.735,0.4655,0.529,0.7924,0.6986,0.4941
ASP4,FCP4,FSS1,Research Network Translation Pathway,3,0.8259,0.8528,0.8194,0.5022,0.7501,0.4712,0.5381,0.8048,0.7089,0.5024
ASP4,FCP4,FSS1,Research Network Translation Pathway,4,0.834,0.8644,0.8293,0.5135,0.7656,0.477,0.5474,0.8175,0.7194,0.5107
ASP4,FCP4,FSS1,Research Network Translation Pathway,5,0.8422,0.8761,0.8394,0.525,0.7812,0.4829,0.5568,0.8303,0.7301,0.5193
ASP4,FCP4,FSS1,Research Network Translation Pathway,6,0.8625,0.888,0.8497,0.5366,0.7971,0.4889,0.5663,0.8433,0.7428,0.5279
ASP4,FCP4,FSS1,Research Network Translation Pathway,7,0.871,0.9001,0.8601,0.5484,0.8132,0.495,0.576,0.8565,0.7538,0.5367
ASP4,FCP4,FSS1,Research Network Translation Pathway,8,0.8796,0.9123,0.8707,0.5604,0.8296,0.5012,0.5859,0.8698,0.7649,0.5456
ASP4,FCP4,FSS1,Research Network Translation Pathway,9,0.8883,0.9246,0.8814,0.5725,0.8462,0.5076,0.5959,0.8833,0.7762,0.5547
ASP4,FCP4,FSS1,Research Network Translation Pathway,10,0.897,0.9371,0.8923,0.5847,0.863,0.5141,0.606,0.8969,0.7876,0.5639
ASP4,FCP4,FSS1,Research Network Translation Pathway,11,0.906,0.9497,0.9034,0.5971,0.8801,0.5207,0.6163,0.9107,0.7991,0.5733
ASP4,FCP4,FSS1,Research Network Translation Pathway,12,0.9271,0.9765,0.9288,0.6098,0.8976,0.5414,0.6269,0.9249,0.8185,0.5885
ASP4,FCP4,FSS1,Research Network Translation Pathway,13,0.9363,0.9896,0.9404,0.6228,0.9154,0.5483,0.6377,0.9392,0.8306,0.5982
ASP4,FCP4,FSS1,Research Network Translation Pathway,14,0.9457,1.0028,0.9521,0.6359,0.9335,0.5553,0.6487,0.9537,0.8428,0.6081
ASP4,FCP4,FSS1,Research Network Translation Pathway,15,0.9553,1.0162,0.9641,0.6493,0.9519,0.5624,0.6598,0.9684,0.8552,0.6182
ASP4,FCP4,FSS1,Research Network Translation Pathway,16,0.9649,1.0297,0.9762,0.6628,0.9705,0.5697,0.6711,0.9832,0.8678,0.6285
ASP4,FCP4,FSS1,Research Network Translation Pathway,17,0.9747,1.0433,0.9885,0.6665,0.9893,0.577,0.6825,0.9982,0.8791,0.6363
ASP4,FCP4,FSS1,Research Network Translation Pathway,18,0.9967,1.0572,1.001,0.6803,1.0084,0.5845,0.6941,1.0135,0.894,0.6468
